size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,22.6799,23.082,3.601029787926439,17.186,20.5885,24.4565,18.714,24.568,88.798,9
1112,139,random,1000,29.094932,16.169,378.9320524823968,12.494,14.241,16.734,13.4019,24.308,11998.87,200
1216,152,random,1000,9.952244,9.642,1.5963297582771427,8.218,8.993500000000001,10.778,8.8139,11.14,34.252,4
1328,166,random,1000,9.280918,8.958,1.1618165375578635,7.768,8.564,9.856,8.268,10.895099999999998,34.162,2
1448,181,random,1000,9.176828,8.9,1.4171299289943924,7.302,8.285499999999999,9.95,8.2537,10.286,35.34,3
1576,197,random,1000,9.175614,8.9,1.337928744114696,7.592,8.274,9.977,8.188,10.286,32.51,4
1720,215,random,1000,9.141542,8.9,0.9977928727210135,7.55,8.2875,9.939499999999999,8.2558,10.284,25.206,3
1872,234,random,1000,9.002512,8.9,1.0068973712212044,7.414,8.268,9.5425,8.19,10.262,23.566,4
2048,256,random,1000,9.207678,8.9,1.0096846891418565,7.618,8.345,9.982,8.2619,10.286,23.39,3
2232,279,random,1000,9.23777,8.9,1.087138042855747,7.294,8.2915,10.138,8.1199,10.2942,23.584,4
2432,304,random,1000,9.249416,8.9,1.1273810140741658,7.374,8.501000000000001,10.0085,8.2579,10.286,24.464,4
2656,332,random,1000,9.31549,9.172,1.0634063122273087,7.2,8.5475,10.22,8.2477,10.288,20.67,4
2896,362,random,1000,9.353234,9.362,1.20846843450758,7.224,8.402,10.266,7.8579,10.322,24.0,4
3152,394,random,1000,9.433312,9.651,1.132421932889897,7.508,8.544,10.276,7.9156,10.3181,27.228,3
3440,430,random,1000,9.443762,9.52,1.2153110319009945,7.356,8.651499999999999,10.2725,7.8857,10.328,25.17,4
3752,469,random,1000,9.283784,9.215,1.0909104266175582,7.548,8.37,10.204,8.117700000000001,10.308,22.518,4
4096,512,random,1000,9.349214,9.294,1.2036450421912563,7.502,8.52,10.2505,7.876,10.312,26.956,3
4464,558,random,1000,9.046302,8.825,1.4449019975688935,7.19,8.272,10.109,7.348,10.3021,29.87,4
4864,608,random,1000,8.170262,7.344,1.4868858668159224,7.05,7.216,9.0505,7.1999,10.2941,26.69,3
5312,664,random,1000,7.534008,7.332,0.90111581144803,7.19,7.272,7.388,7.206,9.007999999999996,20.524,116
5792,724,random,1000,9.10577,9.103,1.482381539999109,7.194,8.1455,10.252,7.3,10.31,37.564,3
6312,789,random,1000,9.445296,9.556,1.0548841020950372,7.386,8.632,10.2585,8.0539,10.31,21.87,3
