size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,25.37785,25.064,18.983490462495027,18.546,23.142,26.892,20.438,27.0962,618.648,10
1112,139,sequential,1000,29.663644,16.528,401.20081640633583,13.716,15.354,16.53,15.1999,23.14,12703.76,195
1216,152,sequential,1000,10.691424,10.530000000000001,0.9454358006110606,8.94,10.236,11.02,10.234,11.02,26.426,19
1328,166,sequential,1000,8.358556,8.622,1.7068217514888175,6.474,7.714,8.912,7.166,9.22,55.784,3
1448,181,sequential,1000,7.288758,7.412,0.8057790350271528,6.448,6.624,7.978,6.576,7.98,20.364,3
1576,197,sequential,1000,8.113406,7.98,0.8944184499033591,6.462,7.414,8.974,7.412,9.192,18.824,3
1720,215,sequential,1000,8.59433,8.884,0.8987894645586372,6.246,8.622,8.92,6.976,9.22,18.59,243
1872,234,sequential,1000,7.716404,7.414,0.5885816248517389,6.46,7.412,7.98,7.412,7.98,18.98,4
2048,256,sequential,1000,7.747808,7.712,0.692877364457938,6.622,7.412,7.98,7.166,8.624,18.93,33
2232,279,sequential,1000,7.469596,7.414,0.56098109823467,6.244,7.166,7.714,7.164,7.714,19.144,4
2432,304,sequential,1000,7.930814,7.978,0.9512574373512757,6.692,7.412,8.096,7.406,9.142,26.208,54
2656,332,sequential,1000,7.630802,7.414,0.5979645695377132,6.622,7.412,7.978,7.166,7.98,18.398,4
2896,362,sequential,1000,7.626046,7.417999999999999,0.6136965058441227,6.402,7.412,7.978,7.166,7.98,21.862,6
3152,394,sequential,1000,7.72488,7.414,0.7301821194246869,6.46,7.412,7.98,7.412,7.98,22.07,4
3440,430,sequential,1000,7.63386,7.422,0.6953580885207788,6.574,7.412,7.978,7.164,7.99,20.478,12
3752,469,sequential,1000,8.333174,8.273,0.9414697100485703,6.666,7.522,9.192,7.189900000000001,9.246,19.358,3
4096,512,sequential,1000,8.009652,7.821,0.9894815615546643,6.748,7.216,8.892,7.0184,8.944,22.322,3
4464,558,sequential,1000,8.405982,8.32,0.9339979549527161,6.522,7.678,9.2,7.226,9.4109,20.518,2
4864,608,sequential,1000,8.271074,8.032,0.9428359847917442,6.772,7.426,9.164,7.23,9.24,17.98,3
5312,664,sequential,1000,7.79324,7.576,0.8751629726106038,6.528,7.172,8.45,7.05,8.936,21.262,3
5792,724,sequential,1000,8.599986,8.654,0.9258524712947537,6.818,7.874,9.2545,7.4099,9.5641,19.486,3
6312,789,sequential,1000,8.077992,7.984,0.8824608734267652,6.744,7.418,8.7135,7.2079,9.236,18.336,3
6888,861,sequential,1000,7.917816,7.721,0.8236612021455908,6.354,7.414,8.289,7.1018,9.198,19.086,3
7512,939,sequential,1000,8.226374,7.992,0.8789989438374014,6.63,7.424,9.124,7.207,9.24,17.334,3
8192,1024,sequential,1000,7.983328,7.728,0.9089502136568905,6.244,7.394,8.776,7.152,9.22,19.93,3
8928,1116,sequential,1000,8.191364,8.002,0.9378434804901604,6.798,7.43,8.99,7.0813999999999995,9.242,18.796,4
9736,1217,sequential,1000,7.945848,7.737,0.9449689684043848,6.332,7.18,8.8185,6.919,8.9301,19.648,3
10624,1328,sequential,1000,8.230734,8.017,0.8955037689726628,6.628,7.428,9.144,7.2156,9.238,17.604,3
11584,1448,sequential,1000,8.03824,7.761,1.7417597990531295,6.606,7.322,8.7945,7.0158,9.1981,55.652,3
12632,1579,sequential,1000,8.272374,8.146,0.9544319422863301,6.608,7.442,9.156,7.0976,9.2361,19.92,3
13776,1722,sequential,1000,7.966222,7.817,0.8732121931410775,6.332,7.186,8.767,6.906,8.9842,17.968,3
15024,1878,sequential,1000,8.218762,8.023,0.8849827579325136,6.61,7.43,9.0505,7.2128000000000005,9.236,18.23,3
16384,2048,sequential,1000,8.31686,8.337,0.9309277258900558,6.686,7.506,9.05,7.19,9.238,19.082,4
17864,2233,sequential,1000,8.31722,8.195,0.9296994808671912,6.61,7.5075,9.176,7.1653,9.246,20.118,3
19480,2435,sequential,1000,7.871476,7.718,0.9389273230351441,6.044,7.174,8.62,6.8559,8.9442,18.864,3
21240,2655,sequential,1000,8.429674,8.284,0.9529469227410106,6.69,7.689500000000001,9.216,7.288,9.5661,19.828,3
23168,2896,sequential,1000,8.033966,7.957000000000001,0.9056678359492917,6.542,7.204,8.8355,6.9859,8.932,17.062,4
25264,3158,sequential,1000,8.317596,8.29,0.9263997221659931,6.772,7.5115,9.16,7.1096,9.262,18.922,3
27552,3444,sequential,1000,7.929532,7.742,0.8769301382912116,6.536,7.188,8.71,6.9476,8.9281,18.558,3
30048,3756,sequential,1000,8.368058,8.357,0.9150547118952843,6.784,7.492,9.188,7.2298,9.248,17.85,3
32768,4096,sequential,1000,8.100692,8.0,0.9112858492454686,6.582,7.402,8.898,7.042,9.034699999999996,18.008,4
35728,4466,sequential,1000,8.24407,8.053999999999998,0.9041654595693636,6.46,7.44,9.1125,7.1853,9.238,18.852,3
38968,4871,sequential,1000,8.367494,8.296,1.012132469640264,6.61,7.552,9.192,7.2239,9.248,23.452,3
42488,5311,sequential,1000,7.917064,7.74,0.8992529186584359,6.334,7.202,8.7685,6.8,8.934,17.83,3
46336,5792,sequential,1000,8.351628,8.31,0.9558494430472687,6.486,7.456,9.166,7.0559,9.242,18.228,4
50528,6316,sequential,1000,8.31635,8.544,0.9654421370646818,6.496,7.5465,8.9505,6.8943,9.2501,18.296,3
55104,6888,sequential,1000,8.084342,8.145,0.9437582013304989,6.488,7.275,8.892,6.808,8.94,20.186,3
60096,7512,sequential,1000,8.496192,8.547,0.9975054748262329,6.754,7.706,9.226500000000001,7.0658,9.57,20.73,3
65536,8192,sequential,1000,8.101506,8.209,0.923097752908881,6.474,7.322,8.898,6.8079,8.944,17.634,3
71464,8933,sequential,1000,8.100042,8.042,1.0057610041324099,6.712,7.2415,8.904,6.814,9.23,20.514,4
77936,9742,sequential,1000,8.250234,8.273,1.0425860419643547,6.576,7.3575,9.156,6.8438,9.2722,18.312,4
84984,10623,sequential,1000,8.187578,8.139,1.0466546478508887,6.498,7.3875,8.9365,6.984,9.2421,20.268,4
92680,11585,sequential,1000,8.00013,7.962,1.0346711804005906,6.256,7.181,8.892,6.798,8.944,21.642,3
101064,12633,sequential,1000,8.206608,8.161999999999999,1.1074050931688804,6.522,7.3895,9.114,7.024,9.2501,25.66,3
110216,13777,sequential,1000,7.990706,7.948,1.0366175425360569,6.548,7.1975,8.874,6.7939,8.936,22.262,3
120192,15024,sequential,1000,8.422628,8.492,1.0016424537833952,6.548,7.5920000000000005,9.220500000000001,7.048,9.544,20.314,3
131072,16384,sequential,1000,8.512516,8.594,1.2122863869680414,6.654,7.6155,9.234,7.058,9.568,24.494,4
142928,17866,sequential,1000,8.528988,8.536999999999999,1.0496723125908485,6.478,7.6835,9.471,7.264,9.576,19.65,3
155872,19484,sequential,1000,8.184174,8.224,1.029720479542866,6.21,7.3420000000000005,8.934,6.82,9.2341,18.346,4
169976,21247,sequential,1000,7.977126,7.908,1.0945850485698005,6.248,7.16,8.8765,6.802,8.95,21.908,4
185360,23170,sequential,1000,8.607366,8.539,1.0787904221019107,6.716,7.7135,9.5365,7.292,9.8901,21.022,3
202136,25267,sequential,1000,8.469424,8.416,1.0634149103221637,6.772,7.6445,9.248,7.0559,9.592,19.014,4
220432,27554,sequential,1000,7.998538,8.004000000000001,1.0222884466843125,6.188,7.175,8.8905,6.794,8.9481,22.588,3
240384,30048,sequential,1000,8.657654,8.748,1.0097537436954156,6.84,7.7955000000000005,9.534,7.292,9.588,18.864,3
262144,32768,sequential,1000,8.39665,8.494,1.0234635524253628,6.738,7.568,9.208,7.048,9.26,20.728,3
285864,35733,sequential,1000,8.262628,8.2,1.1973895453607983,6.788,7.4255,9.194,7.036,9.26,25.264,4
311744,38968,sequential,1000,8.157964,8.289000000000001,0.9741667534706611,6.558,7.377,8.9045,6.812,8.9601,19.792,3
339952,42494,sequential,1000,8.612408,8.602,1.1151060070428027,6.958,7.7010000000000005,9.5205,7.29,9.892199999999999,20.602,3
370728,46341,sequential,1000,8.042054,7.993,1.1008477982713865,6.598,7.1815,8.8985,6.8159,9.0962,24.66,3
404280,50535,sequential,1000,8.305088,8.126,1.108800713960484,6.618,7.4195,9.218,7.052,9.576,22.268,3
440872,55109,sequential,1000,8.245258,8.153,1.1637303406467245,6.5,7.446,9.186,7.026,9.248,24.298,3
480768,60096,sequential,1000,8.260192,8.335,1.0656484156051103,6.456,7.471500000000001,8.926,6.822,9.246,20.42,4
524288,65536,sequential,1000,8.717588,8.855,1.0065282914342037,6.77,7.874,9.544,7.298,9.58,19.746,3
571736,71467,sequential,1000,8.21964,8.144,1.0747727307774528,6.396,7.4055,9.1225,7.0279,9.25,21.55,4
623480,77935,sequential,1000,7.737386,7.683,1.0108862280048976,6.05,6.9675,8.5905,6.584,8.6661,24.04,3
679912,84989,sequential,1000,8.167972,8.035,1.0758321049001718,6.552,7.336,9.114,7.0139000000000005,9.2461,23.448,3
