size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1923096,240387,sequential,1000,17.345798,17.218,4.820913593404374,10.952,13.8345,20.8125,11.3878,22.356,90.926,6
1951064,243883,sequential,1000,9.32831,9.312999999999999,1.6340097477542035,7.532,8.329,10.262,7.858,10.3321,31.258,4
1979440,247430,sequential,1000,7.523106,7.433,1.5396020353296471,6.056,6.726,8.334,6.384,8.4041,35.716,3
2008232,251029,sequential,1000,7.535918,7.461,1.384419028084099,5.886,6.748,8.332,6.378,8.418099999999999,35.05,3
2037448,254681,sequential,1000,7.612218,7.5809999999999995,1.4214176643944778,6.116,6.842,8.336500000000001,6.394,8.4001,35.538,3
2067080,258385,sequential,1000,7.727204,7.840999999999999,1.5749418529660784,5.862,7.016,8.356,6.4078,8.436399999999999,45.64,3
2097144,262143,sequential,1000,7.392096,7.2829999999999995,1.3382076006234482,5.782,6.6115,8.11,6.221900000000001,8.376,31.95,3
2127648,265956,sequential,1000,7.692024,7.678,1.8325725485146747,6.156,6.929,8.352,6.396,8.4161,45.85,3
2158600,269825,sequential,1000,7.61755,7.627000000000001,1.4654050981218816,5.678,6.851,8.3345,6.3798,8.4041,39.0,3
2190000,273750,sequential,1000,7.42491,7.372,1.4660253661769547,5.936,6.624,8.106,6.202,8.372,32.14,3
2221848,277731,sequential,1000,7.606234,7.606,1.6287622047320363,6.152,6.7975,8.346,6.37,8.398,38.122,3
2254168,281771,sequential,1000,7.575824,7.495,1.5105313164187897,5.872,6.796,8.334,6.383900000000001,8.4001,33.154,3
2286952,285869,sequential,1000,7.443628,7.386,1.4019172306300887,5.998,6.6815,8.106,6.2039,8.372,34.028,3
2320224,290028,sequential,1000,7.622462,7.605,1.625781639857117,6.116,6.8,8.346,6.3879,8.406,39.342,3
2353968,294246,sequential,1000,7.40067,7.329000000000001,1.4556904498504433,5.922,6.638,8.098,6.204,8.358,35.638,3
2388208,298526,sequential,1000,7.542412,7.468,1.6359774510904717,6.068,6.737,8.3305,6.378,8.3982,39.034,3
2422944,302868,sequential,1000,7.670598,7.7,1.4574268102732648,6.084,6.93,8.348,6.394,8.396,35.85,3
2458192,307274,sequential,1000,7.406934,7.35,1.133767185834762,5.934,6.6865,8.108,6.3338,8.3681,27.072,2
2493944,311743,sequential,1000,7.3562899999999996,7.247999999999999,1.2613277716944347,5.84,6.5809999999999995,8.098,6.1919,8.378,28.932,3
2530216,316277,sequential,1000,7.523014,7.493,1.1816135588280994,6.138,6.7675,8.324,6.368,8.4,30.51,2
2567024,320878,sequential,1000,7.390774,7.305,1.1612972471422724,5.662,6.6035,8.134,6.3579,8.378,28.796,2
2604360,325545,sequential,1000,7.578118,7.5,3.1963749083345387,5.826,6.7330000000000005,8.12,6.3358,8.3841,100.552,3
2642240,330280,sequential,1000,7.424598,7.417,1.310620404327752,5.944,6.6855,8.1,6.2019,8.286299999999999,29.452,3
2680672,335084,sequential,1000,7.321912,7.306,1.1380628960700772,5.86,6.588,8.082,6.189900000000001,8.134,28.694,2
2719664,339958,sequential,1000,7.300834,7.221,1.5606004633634611,5.754,6.5015,8.088,6.182,8.156,35.346,3
2759224,344903,sequential,1000,7.380272,7.273,1.4213085900409257,5.82,6.59,8.094,6.196,8.366,32.386,3
2799360,349920,sequential,1000,7.492692,7.606,1.14687064371245,5.672,6.769,8.106,6.202,8.3721,27.58,3
2840072,355009,sequential,1000,7.362016,7.3629999999999995,1.230535295250346,5.874,6.5955,8.086500000000001,6.188,8.1381,30.692,2
2881384,360173,sequential,1000,7.392424,7.439,1.163700282104705,5.954,6.6655,8.086,6.1919,8.14,27.626,3
2923296,365412,sequential,1000,7.386162,7.386,1.3984602750514215,5.682,6.61,8.088,6.19,8.162,30.436,3
2965816,370727,sequential,1000,7.361672,7.298,1.1989304360998625,5.882,6.564,8.094,6.1959,8.354,28.638,4
3008952,376119,sequential,1000,7.531484,7.434,1.2058292640162445,5.932,6.7735,8.33,6.386,8.386099999999999,24.94,3
3052720,381590,sequential,1000,7.501848,7.404,1.2001642934312067,5.888,6.7535,8.3325,6.3799,8.3941,26.566,3
3097128,387141,sequential,1000,7.473756,7.452,1.0112877391501172,5.894,6.7155000000000005,8.324,6.368,8.382,20.62,3
3142176,392772,sequential,1000,7.510204,7.452,1.0974044135280443,5.956,6.7515,8.324,6.376,8.38,24.006,3
3187880,398485,sequential,1000,7.493374,7.420999999999999,1.1907580732092111,5.864,6.736,8.298,6.372,8.382,27.124,3
3234248,404281,sequential,1000,7.435452,7.539,1.124715208395439,5.824,6.6615,8.102,6.214,8.346,25.002,3
