size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,26.769838,25.708,39.89115445646598,19.8,23.884,25.87,21.494,29.712,1221.444,81
1112,139,sequential,1000,32.875676,19.28,438.05058435606014,11.336,17.914,21.118000000000002,14.372,22.284,13870.896,37
1216,152,sequential,1000,11.59175,11.944,7.135955574094857,7.76,8.57,12.856,7.962,14.854,223.93,5
1328,166,sequential,1000,8.673566,8.57,0.9316316875489183,6.94,7.962,9.58,7.96,9.904,21.346,3
1448,181,sequential,1000,7.150596,7.012,0.775320696851933,5.7,6.514,8.074,6.514,8.078,19.01,2
1576,197,sequential,1000,7.411938,7.012,3.2341826357640158,5.678,6.514,8.102,6.342,8.15,105.908,3
1720,215,sequential,1000,7.171402,7.012,0.8126057090830917,5.678,6.514,7.84,6.514,8.102,18.35,3
1872,234,sequential,1000,7.3933539999999995,7.462,0.8021091183384725,6.016,6.734,8.088,6.368,8.126,16.28,3
2048,256,sequential,1000,7.38976,7.462,0.8559105451279715,5.89,6.656,8.09,6.196,8.146,17.754,3
2232,279,sequential,1000,7.486146,7.666,0.920971640957227,5.72,6.8055,8.114,6.2598,8.152,20.86,3
2432,304,sequential,1000,7.493036,7.604,1.1668319259633957,5.748,6.804,8.1,6.414,8.144,33.556,3
2656,332,sequential,1000,7.5414959999999995,7.766,0.8347478984927355,5.674,6.9135,8.114,6.3596,8.144,21.076,3
2896,362,sequential,1000,7.87189,8.039,1.004906111132872,5.89,7.1705,8.586500000000001,6.5939000000000005,8.662,22.738,3
3152,394,sequential,1000,7.457378,7.383,0.9495982318422449,5.858,6.738,8.12,6.3837,8.378,21.792,3
3440,430,sequential,1000,7.315408,7.28,0.8174168850102742,5.912,6.544,8.0505,6.26,8.12,19.122,2
3752,469,sequential,1000,7.386486,7.378,0.9777701377349618,5.762,6.713,8.084,6.348,8.128,24.242,2
4096,512,sequential,1000,7.283686,7.094,0.9655534655827708,5.746,6.554,8.086,6.35,8.126,24.646,3
4464,558,sequential,1000,7.462984,7.268,0.9663203106044531,5.948,6.734,8.302999999999999,6.414,8.372,22.336,3
4864,608,sequential,1000,7.318426,7.142,0.8602940615838264,6.01,6.718,8.054,6.47,8.3205,18.008,3
5312,664,sequential,1000,7.082922,6.888,0.7593523990756742,5.864,6.52,7.682,6.41,8.124,16.35,3
5792,724,sequential,1000,7.507716,7.692,0.7828629418549136,5.946,6.87,8.0945,6.3579,8.144,16.976,3
6312,789,sequential,1000,7.292002,7.1579999999999995,0.8937305356013445,5.87,6.538,8.0685,6.2639000000000005,8.128,20.308,3
6888,861,sequential,1000,7.281564,7.157,0.8813691652817846,5.676,6.5475,8.0645,6.277399999999999,8.128,18.072,3
7512,939,sequential,1000,7.384046,7.461,0.8431978086003477,5.932,6.732,8.086,6.3405,8.126,18.024,3
8192,1024,sequential,1000,7.164838,7.019,0.9326694495147024,6.062,6.5335,7.942,6.3539,8.12,20.884,3
8928,1116,sequential,1000,7.273692,7.067,0.8385623673764403,5.858,6.572,8.034,6.3738,8.3042,18.588,3
9736,1217,sequential,1000,7.377574,7.284,0.9255561553578047,5.932,6.7355,8.0825,6.3459,8.3321,20.002,3
10624,1328,sequential,1000,7.400548,7.5329999999999995,0.8434760978377654,6.072,6.6705,8.088,6.3559,8.1341,19.29,3
11584,1448,sequential,1000,7.207384,7.024,0.802983653190581,6.002,6.534,8.0225,6.3859,8.118,15.552,3
12632,1579,sequential,1000,7.43069,7.522,0.8259426985216597,5.898,6.7565,8.09,6.3479,8.132,17.1,3
13776,1722,sequential,1000,7.208936,7.03,0.8722739671558345,5.686,6.528,7.975,6.3319,8.12,19.87,3
15024,1878,sequential,1000,7.302688,7.199,0.8253623723563497,5.678,6.5675,8.068,6.3396,8.1261,17.408,3
16384,2048,sequential,1000,7.192968,6.924,0.8350504776816048,5.778,6.532,8.016,6.344,8.1242,17.67,3
17864,2233,sequential,1000,7.267174,7.122,0.7768177492433728,5.784,6.5495,8.052,6.3336,8.124,15.426,3
19480,2435,sequential,1000,7.310682,7.207000000000001,0.8400139774779694,5.746,6.573,8.064,6.293900000000001,8.124,17.682,3
21240,2655,sequential,1000,7.36989,7.301,0.8410717410385238,5.758,6.737500000000001,8.0745,6.4016,8.126,18.974,3
23168,2896,sequential,1000,7.448862,7.531,0.7845963984523918,5.878,6.812,8.0945,6.352,8.132,16.646,3
25264,3158,sequential,1000,7.37821,7.3580000000000005,0.8375571561928714,5.9,6.732,8.082,6.3677,8.128,18.5,3
27552,3444,sequential,1000,7.267214,7.078,0.8547992114502071,5.68,6.55,8.052,6.3352,8.120099999999999,17.676,3
30048,3756,sequential,1000,7.293798,7.138,0.8216448085318786,5.744,6.57,8.072,6.3438,8.13,16.648,3
32768,4096,sequential,1000,7.20849,6.922,0.8866034906595223,5.778,6.532,8.018,6.344,8.132,18.786,3
35728,4466,sequential,1000,7.299314,7.189,0.8059719673885787,5.682,6.584,8.0485,6.3518,8.122,17.75,3
38968,4871,sequential,1000,7.357312,7.324999999999999,0.859423965344351,5.782,6.678,8.08,6.344,8.128,18.676,3
42488,5311,sequential,1000,7.252522,7.138999999999999,0.8505654643383571,5.68,6.53,8.0205,6.2436,8.12,18.532,3
46336,5792,sequential,1000,7.315926,7.2620000000000005,0.8074056963401252,5.946,6.627,8.076,6.1959,8.13,18.114,3
50528,6316,sequential,1000,7.57945,8.064,0.9504443497448769,5.682,6.8995,8.1,6.196,8.13,20.382,3
55104,6888,sequential,1000,7.417484,7.53,0.8162926702276994,5.708,6.714,8.09,6.206,8.132,17.678,3
60096,7512,sequential,1000,7.404784,7.501,0.7582908718891389,5.686,6.672,8.092,6.2039,8.136,14.46,2
65536,8192,sequential,1000,7.438086,7.614,0.7734829645832547,5.694,6.806,8.092,6.2498000000000005,8.136,18.016,2
71464,8933,sequential,1000,7.219596,7.163,0.9159912383493265,5.708,6.504,8.065,6.1719,8.126,17.766,3
77936,9742,sequential,1000,7.274406,7.244,0.8542540214111357,5.826,6.5395,8.08,6.176,8.1321,15.93,3
84984,10623,sequential,1000,7.296272,7.295,0.9002183463399794,5.692,6.5635,8.088,6.182,8.134,17.92,3
92680,11585,sequential,1000,7.279418,7.292999999999999,0.8799439383339206,5.708,6.5495,8.082,6.174,8.128,16.528,3
101064,12633,sequential,1000,7.225852,7.182,0.8571409526493928,5.71,6.5195,8.0705,6.174,8.1221,16.764,3
110216,13777,sequential,1000,7.230986,7.199,0.8547096632262984,5.694,6.518,8.0565,6.173900000000001,8.126,15.896,3
120192,15024,sequential,1000,7.41627,7.590999999999999,0.8322068561069125,5.694,6.6395,8.088,6.3411,8.126,17.634,3
131072,16384,sequential,1000,7.411508,7.484,0.8141092825044189,5.69,6.7115,8.09,6.2,8.138,16.106,3
142928,17866,sequential,1000,7.270822,7.215,0.9886287124330585,5.78,6.5635,8.06,6.194,8.132,20.28,3
155872,19484,sequential,1000,7.378398,7.46,0.8290111900023721,5.836,6.6525,8.086,6.2,8.136,17.74,2
169976,21247,sequential,1000,7.274298,7.225,1.0335927230360675,5.716,6.5395,8.076,6.182,8.132,21.596,3
185360,23170,sequential,1000,7.269374,7.245,0.9547676163995746,5.798,6.5615000000000006,8.0785,6.1959,8.136,19.494,3
202136,25267,sequential,1000,7.264742,7.256,0.8945322271116571,5.716,6.526,8.0785,6.188,8.13,18.0,3
220432,27554,sequential,1000,7.268396,7.269,0.9447468686530958,5.684,6.524,8.07,6.173900000000001,8.1241,19.294,3
240384,30048,sequential,1000,7.432418,7.481,0.8340250422181861,5.724,6.721500000000001,8.0965,6.212,8.14,18.702,2
262144,32768,sequential,1000,7.433372,7.526,0.8143603357067265,5.688,6.8025,8.092,6.2559000000000005,8.1341,17.568,3
285864,35733,sequential,1000,7.268116,7.261,0.8789016228262447,5.682,6.5395,8.0685,6.18,8.1261,17.464,3
311744,38968,sequential,1000,7.475832,7.705,0.8332809183371864,5.692,6.8105,8.094,6.3374999999999995,8.13,17.268,3
339952,42494,sequential,1000,7.267336,7.225,0.8731905845237343,5.698,6.56,8.0705,6.176,8.13,16.652,3
370728,46341,sequential,1000,7.267798,7.275,0.9318093753058658,5.752,6.534,8.0805,6.186,8.132,19.154,3
404280,50535,sequential,1000,7.302634,7.3260000000000005,0.8059194427436233,5.686,6.574,8.086,6.192,8.136,14.68,2
440872,55109,sequential,1000,7.312256,7.361000000000001,0.9723612769526134,5.704,6.5525,8.086,6.182,8.132,20.17,3
480768,60096,sequential,1000,7.54365,7.8309999999999995,0.8698107634791974,5.694,6.9435,8.092,6.366,8.136,21.55,3
524288,65536,sequential,1000,7.545556,7.848,0.9134440052979792,5.824,6.9575,8.096,6.3639,8.132,20.888,3
571736,71467,sequential,1000,7.30724,7.342,0.9067419011357506,5.694,6.5335,8.084,6.178,8.128,17.404,3
623480,77935,sequential,1000,7.239558,7.2,0.8510005044031963,5.816,6.522,8.076,6.184,8.13,17.472,2
679912,84989,sequential,1000,7.240964,7.168,0.8801713403038595,5.67,6.526999999999999,8.066500000000001,6.178,8.128,18.772,2
741448,92681,sequential,1000,7.325928,7.388,0.9813917406237758,5.698,6.54,8.088,6.18,8.132,21.49,3
808560,101070,sequential,1000,7.36413,7.552,0.8323882563499495,5.96,6.586,8.086500000000001,6.186,8.132,16.056,2
881744,110218,sequential,1000,7.300054,7.276,0.9771662944714431,5.696,6.566,8.082,6.176,8.14,19.282,4
961544,120193,sequential,1000,7.224018,7.148,0.9568331209240707,5.704,6.4955,8.062,6.178,8.1221,20.818,3
1048576,131072,sequential,1000,7.463844,7.615,0.8885627718194498,5.688,6.79,8.09,6.3475,8.138,19.082,3
1143480,142935,sequential,1000,7.265768,7.21,0.9566546619958104,5.678,6.535,8.08,6.182,8.134,19.44,3
1246968,155871,sequential,1000,7.34683,7.442,0.8667544163823558,5.672,6.5855,8.092,6.194,8.134,18.696,2
1359832,169979,sequential,1000,7.28644,7.2170000000000005,0.9926479841416194,5.696,6.5615000000000006,8.0845,6.186,8.136,21.448,3
1482904,185363,sequential,1000,7.276336,7.254,0.9772899542913345,5.756,6.558,8.074,6.186,8.138,20.478,3
1617120,202140,sequential,1000,7.349352,7.374,1.0690671319560006,5.67,6.573,8.096,6.184,8.142,22.676,5
1763488,220436,sequential,1000,7.376684,7.449999999999999,0.9663283803566377,5.978,6.615,8.094,6.1919,8.14,19.14,3
1923096,240387,sequential,1000,7.321974,7.353999999999999,0.8745859316704538,5.73,6.59,8.088,6.186,8.1321,18.86,2
2097152,262144,sequential,1000,7.44181,7.58,0.8812304437518004,5.856,6.8135,8.098,6.205900000000001,8.13,17.406,3
2286960,285870,sequential,1000,7.282158,7.235,0.9736033044471606,5.73,6.5615000000000006,8.08,6.1839,8.13,19.274,3
2493944,311743,sequential,1000,7.251018,7.175000000000001,1.007645459995255,5.736,6.5015,8.076,6.184,8.132,21.12,4
2719664,339958,sequential,1000,7.286868,7.27,0.9940565149582447,5.728,6.5255,8.0805,6.182,8.132,19.076,5
2965816,370727,sequential,1000,7.253086,7.172,0.9196555915183743,5.938,6.542,8.0625,6.184,8.132,16.34,4
3234248,404281,sequential,1000,7.306666,7.294,0.9203811372914386,5.938,6.5595,8.084,6.19,8.1381,17.048,4
3526968,440871,sequential,1000,7.239592,7.1899999999999995,0.9058468833705352,5.964,6.518,8.0745,6.18,8.128,18.378,3
3846192,480774,sequential,1000,7.212032,7.1530000000000005,0.8406574712449536,5.774,6.455500000000001,8.068,6.1859,8.134,15.76,2
4194304,524288,sequential,1000,7.37681,7.388999999999999,0.9469446087242864,5.946,6.648,8.0905,6.196,8.146,18.516,4
4573920,571740,sequential,1000,7.340178,7.375,0.868044017739154,5.976,6.6,8.09,6.186,8.134,18.412,2
4987896,623487,sequential,1000,7.380688,7.436,0.8990434103588713,5.94,6.6915000000000004,8.098,6.192,8.136,17.536,4
5439336,679917,sequential,1000,7.317196,7.353,0.8904503711310628,5.982,6.586,8.086500000000001,6.188,8.134,17.662,3
5931640,741455,sequential,1000,7.360784,7.365,0.9850361259941249,5.764,6.6395,8.088,6.188,8.134,19.874,4
6468496,808562,sequential,1000,7.65502,8.082,0.8972196401565687,6.0,7.0485,8.108,6.2058,8.162,17.314,4
7053944,881743,sequential,1000,7.43839,7.557,0.936446940714087,5.968,6.7015,8.0965,6.2019,8.15,19.576,3
7692384,961548,sequential,1000,7.391434,7.436999999999999,0.9131377334028883,5.728,6.702999999999999,8.092,6.196,8.136,19.16,4
8388608,1048576,sequential,1000,7.368306,7.4239999999999995,0.8630767728770598,5.96,6.6775,8.092,6.192,8.136,16.918,3
9147840,1143480,sequential,1000,7.457976,7.609999999999999,0.895773431993529,5.974,6.7795000000000005,8.098,6.204,8.14,18.848,3
9975792,1246974,sequential,1000,7.442334,7.523999999999999,1.0453985951141636,5.82,6.763,8.098,6.2,8.1401,23.032,3
10878672,1359834,sequential,1000,7.3903,7.476,0.9951627258146533,5.918,6.668,8.092500000000001,6.194,8.132,20.676,4
11863280,1482910,sequential,1000,7.458102,7.574,1.1029765214195644,5.924,6.7615,8.094,6.1959,8.128,25.478,5
12937000,1617125,sequential,1000,7.409964,7.509,0.8532900647720203,5.918,6.787,8.094,6.2017,8.13,18.174,3
14107896,1763487,sequential,1000,7.407304,7.4879999999999995,0.973564851514322,5.724,6.686,8.094,6.2,8.138,19.146,5
15384768,1923096,sequential,1000,7.46205,7.619,1.1215723132968083,5.716,6.773,8.102,6.2079,8.138,30.258,3
16777216,2097152,sequential,1000,7.433066,7.616,0.9004297648375499,5.934,6.7365,8.098,6.1879,8.136,19.604,3
18295680,2286960,sequential,1000,7.368958,7.402,0.924050160399821,5.958,6.6690000000000005,8.0885,6.206,8.136,20.156,3
19951584,2493948,sequential,1000,7.596164,7.688000000000001,1.0607258648984028,5.922,6.899,8.118,6.218,8.6341,21.424,11
21757352,2719669,sequential,1000,7.561166,7.735,0.8340465683174544,5.732,6.908,8.112,6.2199,8.588099999999999,16.202,2
23726560,2965820,sequential,1000,7.516484,7.589,0.8903748182990471,5.954,6.867,8.108,6.2179,8.4581,18.786,5
25874000,3234250,sequential,1000,7.512802,7.577999999999999,0.9633112027113923,5.982,6.8635,8.108,6.218,8.484499999999999,21.124,3
28215800,3526975,sequential,1000,7.612414,7.744,0.9690320736506938,5.89,6.959,8.122,6.2498000000000005,8.6664,18.722,5
30769544,3846193,sequential,1000,7.8974779999999996,7.96,1.06120519409772,5.844,7.21,8.378,6.4498,9.146,23.018,6
33554432,4194304,sequential,1000,7.556014,7.671,0.9782319344212401,5.956,6.843,8.114,6.208,8.6341,17.646,5
36591368,4573921,sequential,1000,7.517844,7.584,0.993989705781302,5.972,6.843,8.108,6.196,8.6289,20.85,3
39903168,4987896,sequential,1000,7.877686,7.93,1.2545961249903654,5.81,7.1355,8.2765,6.3658,9.5381,23.53,35
43514712,5439339,sequential,1000,7.94462,7.942,1.296291332540189,5.998,7.116,8.338,6.4158,10.235699999999998,20.42,52
