size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4573920,571740,random,1000,45.899434,45.719,1.5864152788854124,43.422,45.24,46.2225,44.596,47.021300000000004,60.658,26
4640448,580056,random,1000,46.536982,46.152,1.6975279982907443,43.818,45.6535,47.034,44.862,48.7166,59.294,31
4707944,588493,random,1000,46.798132,46.429,1.8559295485187643,43.98,45.8575,47.157,45.1357,49.1226,59.414,51
4776424,597053,random,1000,47.313474,47.122,1.766642071142746,43.478,46.362,47.89,45.541000000000004,48.960100000000004,61.134,24
4845896,605737,random,1000,46.896704,46.643,1.6319537914909115,44.17,46.167,47.236999999999995,45.4979,48.45,59.746,32
4916384,614548,random,1000,48.24363,47.16,3.3949237432263955,44.91,46.527,48.0915,45.8139,56.946799999999996,67.55,130
4987896,623487,random,1000,171.668,170.789,27.04909723960261,102.666,153.9485,191.4435,122.9029,216.2148,249.76,2
5060440,632555,random,1000,47.507356,47.297,1.502421165526705,44.808,46.805,47.7745,46.2159,49.0082,59.05,43
5134048,641756,random,1000,163.00635,191.13400000000001,72.38849582695852,54.088,74.178,224.90900000000002,58.579499999999996,249.2617,318.42,0
5208728,651091,random,1000,59.112564,57.782,5.585741348497647,48.422,54.8015,63.593500000000006,51.5253,68.2663,79.342,4
5284488,660561,random,1000,53.274452,50.230000000000004,7.72442495313098,47.036,49.331,51.938500000000005,48.4777,73.31139999999999,89.928,169
5361352,670169,random,1000,52.061586,52.437,2.6413663965919314,47.808,49.9315,53.5435,48.9732,54.6893,69.386,21
5439336,679917,random,1000,51.366472,50.305,2.6940611111269335,47.714,49.6855,53.13,48.8919,55.3208,71.828,15
5518456,689807,random,1000,50.596718,50.384,2.0948654347393454,46.894,49.6035,51.150999999999996,48.204,52.9781,65.672,40
5598720,699840,random,1000,162.181336,184.958,59.4710697158564,49.13,109.832,205.6465,52.2212,231.5074,269.682,0
5680160,710020,random,1000,54.525184,54.205,2.1045232106318257,50.23,53.368,55.096000000000004,52.0876,57.5383,67.61,52
5762776,720347,random,1000,54.150764,53.934,1.5257516831065605,51.57,53.4765,54.468,52.8838,55.323,65.786,26
5846600,730825,random,1000,56.135598,56.116,2.4474364374813726,52.242,55.2105,56.7475,53.6314,57.770700000000005,105.902,28
5931640,741455,random,1000,55.941774,56.044,1.8390020558676614,52.582,54.817499999999995,56.6835,53.5919,57.6482,68.472,23
6017912,752239,random,1000,56.786078,56.61,1.5355584162009486,54.158,56.0935,57.1305,55.3799,57.984,68.354,28
6105448,763181,random,1000,55.771128,55.400999999999996,1.8894923776139085,52.132,54.623000000000005,56.689,53.6614,57.984300000000005,68.766,23
6194256,774282,random,1000,55.610666,55.144999999999996,2.242359262809487,52.602,54.549499999999995,56.107,53.775600000000004,57.8208,90.322,31
6284352,785544,random,1000,53.844166,53.422,2.7442738273144838,50.916,52.842,54.224999999999994,52.1537,55.768100000000004,118.172,29
6375760,796970,random,1000,49.657618,49.287,1.8701099136588644,47.144,48.695,50.262,47.9358,51.2813,62.88,24
6468496,808562,random,1000,49.556324,49.19,1.824015947627981,47.1,48.6735,49.888,48.067699999999995,51.23609999999999,64.954,34
6562584,820323,random,1000,51.047604,50.642,1.9614418128430855,48.396,50.178,51.16,49.5556,54.349199999999996,65.756,87
6658040,832255,random,1000,51.777718,51.471000000000004,2.0122548740540185,48.952,50.6865,52.477,49.8913,53.3727,67.948,21
6754880,844360,random,1000,71.195494,51.958,51.04385156865543,47.966,50.5015,54.982,48.992,218.66279999999998,303.79,159
