size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
146365456,18295682,random,1000,208.809174,208.393,5.481517231650821,190.466,205.0925,211.969,200.5743,218.77169999999998,230.492,22
148494384,18561798,random,1000,202.597058,201.928,6.968652525894993,186.448,197.264,207.618,192.5188,214.3565,232.074,3
150654288,18831786,random,1000,197.230568,196.918,5.461671650932396,179.308,193.638,200.24599999999998,189.0884,207.23489999999998,219.704,28
152845608,19105701,random,1000,203.973356,203.709,5.614727461750369,190.586,200.087,207.5005,195.0914,213.8931,223.832,9
155068792,19383599,random,1000,222.750772,221.215,8.84220783987232,206.45,216.45499999999998,227.854,210.9845,240.4664,255.9,24
157324320,19665540,random,1000,286.342416,276.842,31.279416637593037,228.788,261.5065,307.257,249.4375,345.6047,384.726,2
159612656,19951582,random,1000,224.622108,222.071,15.525268337303586,202.928,217.37,227.3965,211.3758,243.493,362.126,57
161934280,20241785,random,1000,207.082216,206.644,6.341141969931506,189.148,202.6745,210.75,197.9416,218.5387,231.22,25
164289664,20536208,random,1000,202.488852,202.08100000000002,5.481952249569725,188.5,198.7495,205.828,194.4373,212.1135,224.476,16
166679312,20834914,random,1000,248.343776,235.237,30.178533482742214,210.93,227.975,264.0205,219.96460000000002,310.9353,377.9,42
169103720,21137965,random,1000,197.47742,197.175,5.743435190143908,182.408,193.4795,201.088,188.9682,207.49519999999998,224.952,8
171563392,21445424,random,1000,195.618422,195.40699999999998,5.703270173206297,181.4,191.4875,199.08800000000002,186.9137,205.5257,218.782,12
174058840,21757355,random,1000,233.875856,219.127,32.85822131959598,186.522,213.373,242.245,201.3995,304.6559,334.992,151
176590584,22073823,random,1000,231.249366,230.54899999999998,8.168740109773662,211.58,225.38049999999998,235.85,219.39679999999998,246.5119,261.018,22
179159152,22394894,random,1000,248.057318,231.58100000000002,34.02565123139595,206.65,222.983,268.9225,215.49,317.8903,358.382,10
181765080,22720635,random,1000,230.941098,229.869,8.36584919581767,209.914,225.3,234.88850000000002,219.7224,247.6779,278.66,39
184408912,23051114,random,1000,273.291852,264.754,33.30478545987986,226.006,245.2715,293.9905,235.71179999999998,341.0733,381.798,4
187091208,23386401,random,1000,212.938648,212.226,6.423817930865172,196.46,208.4955,216.3835,203.9201,224.81980000000001,245.294,23
189812512,23726564,random,1000,213.06825,212.428,6.026751250228612,195.244,208.9155,216.8775,204.06889999999999,223.6684,236.188,11
192573392,24071674,random,1000,214.67095,214.401,6.854297187855181,198.122,209.75900000000001,219.0505,204.2545,226.05890000000002,239.314,6
195374440,24421805,random,1000,208.25958,207.563,5.499017435174428,193.536,204.70499999999998,210.857,200.4546,218.5816,236.228,40
198216224,24777028,random,1000,214.94176,214.296,6.550020334990479,199.218,210.53300000000002,219.3245,205.0969,226.13539999999998,237.772,13
201099352,25137419,random,1000,214.530462,214.31,7.726216308193616,195.136,209.79749999999999,219.134,201.7807,227.6586,245.516,16
204024408,25503051,random,1000,213.000072,212.227,7.090024405097692,195.356,208.1105,217.0315,202.6121,226.5642,238.016,22
206992008,25874001,random,1000,213.604584,212.86900000000003,6.339062839302402,199.97,209.34550000000002,217.176,204.9173,224.45329999999998,264.98,18
210002776,26250347,random,1000,256.267104,253.96499999999997,40.58936686645659,191.614,220.116,285.565,199.9196,324.87839999999994,392.42,2
213057336,26632167,random,1000,232.537936,229.67399999999998,13.53404440786042,211.86,225.67499999999998,235.6945,220.2832,251.16629999999995,346.734,52
216156328,27019541,random,1000,213.378758,212.89499999999998,5.5781188821770105,200.766,209.481,216.5195,205.2389,224.14090000000002,237.228,20
219300392,27412549,random,1000,220.531696,220.315,5.4109065415312045,204.872,216.57,223.9625,212.2938,229.99949999999998,238.958,10
222490192,27811274,random,1000,233.46533,226.566,25.079338025212767,205.776,221.095,232.884,215.4448,294.08299999999997,372.036,98
225726384,28215798,random,1000,237.235208,222.029,33.786896204058756,201.156,216.9795,244.516,210.98770000000002,315.53929999999997,391.688,123
229009656,28626207,random,1000,216.16025,215.636,6.184382170947744,199.372,211.974,219.999,207.24079999999998,227.231,240.266,13
232340672,29042584,random,1000,247.857666,233.02499999999998,29.364016846231884,216.952,227.59699999999998,261.68149999999997,222.8471,311.1019,364.664,47
235720152,29465019,random,1000,242.448856,233.744,36.83095273569071,196.29,211.8265,263.793,202.0324,315.4772,395.338,13
239148776,29893597,random,1000,221.585608,220.789,7.655755106361787,201.366,216.3265,225.99949999999998,210.351,235.48399999999998,251.742,20
242627272,30328409,random,1000,276.817788,269.04499999999996,33.149412250107595,230.062,250.33300000000003,296.076,237.7216,345.2007,397.466,12
246156368,30769546,random,1000,231.560202,230.43900000000002,7.522846019388369,214.406,226.463,235.0255,221.9656,245.6497,269.254,41
249736800,31217100,random,1000,220.34304,220.034,5.253895203866672,205.702,216.72299999999998,223.5915,212.4853,229.5481,240.086,19
253369304,31671163,random,1000,211.12524,210.579,5.723928135791338,195.74,207.0995,214.6735,202.94379999999998,220.3914,238.938,14
257054648,32131831,random,1000,213.58939,213.14,5.551387141525538,200.382,209.791,216.8115,205.8393,222.75650000000002,245.182,17
260793592,32599199,random,1000,226.885426,225.869,7.393907847666468,210.508,221.92950000000002,230.50050000000002,216.70489999999998,240.96110000000002,263.594,36
264586920,33073365,random,1000,215.129228,214.615,5.396055600534529,199.656,211.6625,218.161,207.2158,224.4196,241.84,26
268435424,33554428,random,1000,210.437728,209.805,6.094145363357008,194.684,206.0775,214.1,201.9511,221.4708,235.726,11
