size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
10878672,1359834,sequential,1000,7.8478,8.045,1.3104318798440886,5.896,6.9415000000000004,8.114,6.2119,10.9919,19.572,72
11036912,1379614,sequential,1000,7.377134,7.452,0.9655360593607708,5.97,6.6275,8.094,6.192,8.142,20.16,4
11197448,1399681,sequential,1000,7.376258,7.454000000000001,0.9059990263083464,5.908,6.689,8.092,6.192,8.134,18.428,3
11360312,1420039,sequential,1000,7.371666,7.465,0.9028506807860288,5.938,6.662,8.086500000000001,6.189900000000001,8.134,17.838,3
11525552,1440694,sequential,1000,7.36661,7.398,0.91118236879848,5.746,6.6635,8.086,6.1939,8.1321,18.132,4
11693200,1461650,sequential,1000,7.383364,7.431,0.9258738779887582,5.916,6.675,8.094,6.192,8.13,17.48,4
11863280,1482910,sequential,1000,7.371038,7.447,0.9346802542761528,5.908,6.634,8.09,6.1919,8.132,19.96,3
12035832,1504479,sequential,1000,7.401674,7.492,0.9285691543436053,5.948,6.688000000000001,8.094,6.194,8.13,18.996,4
12210896,1526362,sequential,1000,7.372582,7.408,0.9284769629596346,5.978,6.649,8.088,6.192,8.132,18.87,4
12388512,1548564,sequential,1000,7.350912,7.364,0.9767901223902702,5.972,6.62,8.088,6.1939,8.136,21.856,3
12568704,1571088,sequential,1000,7.498972,7.554,0.9969441272251965,5.974,6.798,8.11,6.2239,8.3881,19.952,3
12751520,1593940,sequential,1000,7.3781740000000005,7.452999999999999,0.9077190708780088,5.826,6.696000000000001,8.092,6.184,8.132,18.664,3
12937000,1617125,sequential,1000,7.375196,7.479,0.9458452901489212,5.964,6.6035,8.1,6.198,8.138,20.566,3
13125168,1640646,sequential,1000,7.3911999999999995,7.502,0.9255521329189138,5.814,6.643,8.096,6.194,8.14,19.118,3
13316080,1664510,sequential,1000,7.351182,7.383,0.9691930365092488,5.73,6.604,8.086,6.194,8.134,19.416,4
13509768,1688721,sequential,1000,7.404294,7.506,0.9104125705484369,5.89,6.669,8.094,6.196,8.136099999999999,18.334,4
13706272,1713284,sequential,1000,7.401746,7.493,0.9449291563893002,5.712,6.7325,8.094,6.19,8.146,20.796,3
13905632,1738204,sequential,1000,7.414738,7.470000000000001,0.8879126399664622,5.838,6.7415,8.1,6.205900000000001,8.146,17.684,3
14107896,1763487,sequential,1000,7.548764,7.598,1.0198751539446549,5.812,6.816,8.1925,6.3699,8.382,22.774,3
14313104,1789138,sequential,1000,7.374056,7.4399999999999995,0.9554391769677885,5.922,6.6455,8.092,6.19,8.134,20.548,3
14521288,1815161,sequential,1000,7.400238,7.448,0.9555568367314549,5.748,6.6585,8.098,6.196,8.1884,19.366,4
14732504,1841563,sequential,1000,7.751952,7.841,1.1295351572073211,6.108,7.0375,8.26,6.3476,9.0481,23.916,13
14946792,1868349,sequential,1000,7.45001,7.416,0.9619588851904206,6.018,6.768,8.098,6.2039,8.604299999999999,18.608,3
15164200,1895525,sequential,1000,7.377222,7.412,0.9370828068548174,5.714,6.681,8.096,6.1939,8.142,22.48,2
15384768,1923096,sequential,1000,7.362842,7.3759999999999994,1.047029717947999,5.722,6.632,8.092,6.186,8.134,21.832,3
15608544,1951068,sequential,1000,7.405582,7.515000000000001,1.0011468765093083,5.73,6.673500000000001,8.096,6.1939,8.134,22.0,4
