size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
10878672,1359834,sequential,1000,8.437206,8.552,1.0527958209475399,6.786,7.57,9.21,7.058,9.252,21.74,5
11036912,1379614,sequential,1000,7.405936,7.478,0.976988760909225,5.95,6.7435,8.098,6.194,8.134,20.696,3
11197448,1399681,sequential,1000,7.374146,7.436,0.9125147812007813,5.734,6.6495,8.09,6.194,8.13,19.174,3
11360312,1420039,sequential,1000,7.73031,7.83,1.1366163031210315,5.732,7.021,8.14,6.229900000000001,8.917599999999998,22.56,22
11525552,1440694,sequential,1000,7.670056,7.77,1.1713218924957562,5.72,6.9845,8.132,6.234,8.9325,27.582,10
11693200,1461650,sequential,1000,7.980116,8.045,1.1355311010383755,5.916,7.237,8.412500000000001,6.6019000000000005,9.3128,22.798,22
11863280,1482910,sequential,1000,7.963762,8.02,1.1039944198387215,5.916,7.192,8.407,6.5314,9.3921,20.992,20
12035832,1504479,sequential,1000,7.890824,7.946,1.008219068811295,5.876,7.1515,8.3845,6.4136999999999995,9.286699999999998,18.674,16
12210896,1526362,sequential,1000,7.389256,7.449,0.8994380797605377,5.954,6.7025,8.096,6.197900000000001,8.1321,17.748,4
12388512,1548564,sequential,1000,7.419064,7.519,0.9661252475211989,5.888,6.734999999999999,8.096,6.1919,8.134,18.988,5
12568704,1571088,sequential,1000,7.635474,7.806,0.9943074930396103,5.908,6.9695,8.1285,6.2239,8.7281,20.018,5
12751520,1593940,sequential,1000,8.170582,8.244,1.252341890014658,6.162,7.3695,8.546,6.5017,10.1007,18.55,42
12937000,1617125,sequential,1000,7.712106,7.731,0.9735925283069787,5.928,7.02,8.352,6.392,8.928700000000001,18.108,6
13125168,1640646,sequential,1000,7.913778,7.99,1.1175916811975122,5.962,7.131,8.384,6.4539,9.4124,18.808,24
13316080,1664510,sequential,1000,7.91436,7.959,1.3075266024889194,5.664,7.0945,8.2945,6.2998,9.621299999999998,19.856,44
13509768,1688721,sequential,1000,8.244242,8.242,1.3782321943045075,5.874,7.422,8.647,6.5916999999999994,10.519899999999998,25.752,51
13706272,1713284,sequential,1000,7.398908,7.479,0.979843491994923,5.912,6.6615,8.098,6.198,8.134,19.044,4
13905632,1738204,sequential,1000,7.372594,7.377000000000001,0.9785835953136641,5.922,6.664,8.09,6.189900000000001,8.13,19.234,4
14107896,1763487,sequential,1000,7.40248,7.489000000000001,0.914537371682647,5.96,6.672,8.096,6.196,8.134,18.55,3
14313104,1789138,sequential,1000,7.409516,7.525,0.8778389002994108,5.742,6.6885,8.09,6.2,8.134,18.288,3
14521288,1815161,sequential,1000,7.401324,7.557,0.8388967676721677,5.95,6.696,8.096,6.19,8.136,17.162,2
14732504,1841563,sequential,1000,7.389434,7.445,0.8464838489602448,5.73,6.7025,8.092,6.2,8.13,16.694,3
14946792,1868349,sequential,1000,7.392982,7.509,0.8932728900689487,5.834,6.6515,8.094,6.196,8.132,18.072,3
15164200,1895525,sequential,1000,7.43092,7.551,0.8981985405344513,5.718,6.7695,8.096,6.196,8.138,17.5,4
15384768,1923096,sequential,1000,7.429816,7.57,0.9804908650673297,5.944,6.712,8.096,6.196,8.132,19.508,4
15608544,1951068,sequential,1000,7.426914,7.526999999999999,0.8770657106881244,5.948,6.805,8.094,6.196,8.13,19.016,3
15835576,1979447,sequential,1000,7.373674,7.436,0.8936717893001831,5.802,6.632,8.092,6.186,8.136,17.224,3
16065912,2008239,sequential,1000,7.372062,7.455,0.8590764229429512,5.728,6.678,8.088,6.1958,8.1281,17.064,3
16299600,2037450,sequential,1000,7.410048,7.477,0.9184251904899638,5.962,6.683,8.098,6.2,8.136,19.088,3
16536680,2067085,sequential,1000,7.383788,7.452999999999999,0.9097213749473165,5.784,6.688,8.096,6.2,8.1321,18.376,3
16777208,2097151,sequential,1000,7.368594,7.4510000000000005,0.9457905872861069,5.952,6.6035,8.096,6.188,8.134,19.304,3
17021240,2127655,sequential,1000,7.413838,7.455,0.9097820228412327,5.942,6.7395000000000005,8.094,6.196,8.200299999999999,18.152,4
17268824,2158603,sequential,1000,7.382142,7.429,0.901390783834171,5.826,6.6505,8.0905,6.192,8.134,18.518,3
17520000,2190000,sequential,1000,7.42791,7.418,1.5825097222200315,5.848,6.694,8.098,6.1959,8.14,47.958,4
17774840,2221855,sequential,1000,7.406492,7.502,0.8866133323705081,5.882,6.729,8.096,6.192,8.132,17.752,3
18033376,2254172,sequential,1000,7.431596,7.5600000000000005,0.9123988143242956,5.726,6.7509999999999994,8.096,6.2079,8.134,20.796,3
18295680,2286960,sequential,1000,7.436674,7.579,0.819734250819109,5.75,6.7975,8.098,6.2038,8.132,17.542,3
18561792,2320224,sequential,1000,7.477996,7.525,1.0058312266182834,5.974,6.802,8.1025,6.213900000000001,8.39,22.264,4
18831784,2353973,sequential,1000,7.404664,7.502,0.9318688419743643,5.736,6.7675,8.092,6.192,8.136,19.972,3
19105696,2388212,sequential,1000,7.800112,7.845,1.1400393524704229,5.782,7.038,8.231,6.298,9.4161,18.472,27
19383600,2422950,sequential,1000,7.89732,7.974,1.2127784402540907,6.002,7.1215,8.3665,6.3957,9.357699999999998,19.884,27
19665536,2458192,sequential,1000,7.812976,7.921,1.0616413715684905,5.7,7.115,8.2045,6.3492,9.3844,18.336,31
19951576,2493947,sequential,1000,7.957554,7.948,1.3292399226083513,5.902,7.125,8.3385,6.4097,10.053399999999998,22.46,48
20241784,2530223,sequential,1000,7.936946,7.918,1.3843476960748076,5.972,7.166,8.332,6.415500000000001,9.700899999999995,26.858,40
20536208,2567026,sequential,1000,7.70472,7.681,0.9875350784307012,5.882,6.996,8.172,6.336,9.0421,16.314,23
20834912,2604364,sequential,1000,7.806788,7.894,1.0998137739605707,5.714,7.121499999999999,8.358,6.388,9.0743,21.004,11
21137960,2642245,sequential,1000,7.582362,7.66,0.9880094592905716,5.972,6.923500000000001,8.116,6.2278,8.636199999999999,19.9,3
21445424,2680678,sequential,1000,7.436954,7.583,0.9345463877383695,5.834,6.7485,8.098,6.194,8.1341,21.558,3
21757352,2719669,sequential,1000,7.406972,7.52,0.9126158682265715,5.786,6.6815,8.096,6.194,8.142,17.37,4
22073824,2759228,sequential,1000,7.924216,8.02,1.251135380798211,5.904,7.21,8.378,6.4276,9.260499999999999,30.582,20
22394888,2799361,sequential,1000,7.790732,7.838,1.2149233452818786,5.988,7.0995,8.2025,6.3117,9.200299999999999,24.926,31
22720632,2840079,sequential,1000,8.349502,8.147,3.815639816230458,6.194,7.4375,8.603,6.6399,10.7367,121.34,61
23051112,2881389,sequential,1000,7.761984,7.812,1.3573152708521659,5.752,6.988,8.150500000000001,6.3895,9.1508,28.514,16
23386400,2923300,sequential,1000,7.684674,7.723,1.1332927627979499,5.934,6.9865,8.124,6.2638,8.991699999999998,23.77,19
23726560,2965820,sequential,1000,8.025154,8.053,1.3725465807761863,5.778,7.2335,8.476,6.4456999999999995,9.9932,31.264,42
24071672,3008959,sequential,1000,7.581326,7.656,1.0204499810808405,5.966,6.9155,8.118,6.208,8.69,21.956,4
24421800,3052725,sequential,1000,7.427418,7.456,0.9269290969792818,5.952,6.754,8.096,6.2118,8.354,19.262,3
24777024,3097128,sequential,1000,7.519032,7.591,1.0592100097812618,5.758,6.8895,8.106,6.2199,8.376,23.492,3
25137416,3142177,sequential,1000,7.455862,7.54,0.947711220527389,5.778,6.7795000000000005,8.1,6.2099,8.3201,22.342,3
25503048,3187881,sequential,1000,7.372568,7.414,0.9022564336418156,5.988,6.673500000000001,8.092,6.1999,8.138,21.082,2
25874000,3234250,sequential,1000,7.442172,7.503,0.9499804383508375,5.696,6.78,8.098,6.202,8.168,18.684,4
26250344,3281293,sequential,1000,7.424384,7.465,1.0091430930875593,5.968,6.7515,8.1,6.202,8.154,22.008,3
26632168,3329021,sequential,1000,7.425452,7.536,0.9587071017797891,5.96,6.7335,8.094,6.196,8.14,19.302,4
27019536,3377442,sequential,1000,7.473834,7.5489999999999995,0.9691112717851863,5.826,6.7935,8.106,6.206,8.2951,20.838,4
27412544,3426568,sequential,1000,7.537656,7.654,1.0393603723673746,5.98,6.8415,8.11,6.2199,8.5124,22.028,4
27811272,3476409,sequential,1000,7.697972,7.866,0.968672934725891,6.018,7.041,8.136,6.2419,8.8661,18.68,9
28215800,3526975,sequential,1000,8.122154,8.030999999999999,1.480817782709807,5.828,7.2415,8.500499999999999,6.5395,10.611699999999997,20.056,59
28626208,3578276,sequential,1000,8.124302,8.056,1.4922922022220757,6.048,7.234999999999999,8.457,6.479,11.106399999999999,19.97,66
29042584,3630323,sequential,1000,7.748344,7.768,1.1552290421400442,5.97,7.002,8.2,6.312,9.125499999999999,23.55,13
29465016,3683127,sequential,1000,7.567768,7.654,0.9084654531987749,5.962,6.8925,8.116,6.2358,8.588,17.448,5
29893592,3736699,sequential,1000,7.395966,7.447,0.9522604364262871,5.778,6.718999999999999,8.092,6.198,8.1501,20.612,3
30328408,3791051,sequential,1000,7.70659,7.7,1.0474809555558766,5.904,7.019,8.142,6.368,9.062499999999998,20.512,16
30769544,3846193,sequential,1000,7.927364,7.9350000000000005,1.387815118200658,5.9,7.152,8.3375,6.3988000000000005,9.580099999999996,29.684,37
31217096,3902137,sequential,1000,7.670176,7.8580000000000005,0.9270117236366322,5.986,7.0104999999999995,8.132,6.234,8.8362,17.654,11
31671160,3958895,sequential,1000,8.068084,8.051,1.2925489870128049,5.98,7.2455,8.5275,6.4857,10.0674,20.572,36
32131832,4016479,sequential,1000,7.522946,7.548,0.9187800574010506,5.968,6.8415,8.11,6.2179,8.588399999999998,17.272,6
32599200,4074900,sequential,1000,7.480874,7.504,0.9664244535132316,5.808,6.82,8.104,6.2079,8.4702,19.292,4
33073360,4134170,sequential,1000,7.495146,7.605,0.8763157901396322,5.742,6.848,8.106,6.202,8.4262,19.74,3
33554424,4194303,sequential,1000,7.465492,7.509,0.9289243685136149,5.98,6.8,8.104,6.202,8.296399999999998,18.162,4
34042488,4255311,sequential,1000,7.487844,7.564,0.8776140553193608,6.118,6.864,8.104,6.208,8.386099999999999,18.284,3
34537648,4317206,sequential,1000,7.518306,7.711,0.8770024102541518,5.93,6.8455,8.106,6.2119,8.268,18.422,3
35040008,4380001,sequential,1000,29.672576,7.711,699.2991556984098,5.798,6.883,8.112,6.2259,8.5621,22121.322,5
35549680,4443710,sequential,1000,7.418246,7.461,0.9542188832553887,5.778,6.6925,8.1,6.1939,8.1441,19.81,3
36066760,4508345,sequential,1000,7.395728,7.465999999999999,0.9316717803616906,5.942,6.721,8.092,6.1939,8.1461,18.798,3
36591360,4573920,sequential,1000,7.410548,7.484,0.9425497608867914,5.944,6.7295,8.098,6.196,8.1381,20.186,3
37123592,4640449,sequential,1000,7.37649,7.388999999999999,0.9168254734947371,5.956,6.6915,8.09,6.192,8.142,19.214,3
