footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6291456,98304,64,4096,0,random,1000,88.588226,86.951,7.060366296245625,81.594,83.08699999999999,97.1045,82.25139999999999,98.94500000000001,169.154,1
7061888,110342,64,4096,0,random,1000,84.161358,83.201,3.1848046804613763,81.154,82.646,83.83349999999999,81.95179999999999,88.5616,129.698,178
7926720,123855,64,4096,0,random,1000,84.503002,83.667,2.60665574216354,81.668,83.164,84.3465,82.4537,89.0169,100.118,156
8897408,139022,64,4096,0,random,1000,83.272504,82.95,2.2382640693242672,80.9,82.4975,83.334,81.8938,84.18509999999999,102.252,37
9987008,156047,64,4096,0,random,1000,83.848264,83.50999999999999,2.221610331892335,81.414,83.0335,83.9345,82.3935,85.0683,100.596,44
11210048,175157,64,4096,0,random,1000,83.30852,82.874,3.026192546902945,77.334,82.22149999999999,83.5375,78.3984,88.3006,104.248,223
12582912,196608,64,4096,0,random,1000,83.033108,82.711,2.041746255563631,80.892,82.21549999999999,83.21549999999999,81.5877,84.0048,96.632,32
14123840,220685,64,4096,0,random,1000,83.53723,83.208,2.2440750834319427,81.016,82.69,83.63250000000001,82.0696,84.5498,98.428,43
15853440,247710,64,4096,0,random,1000,83.261422,82.922,2.1096537642278936,81.166,82.4435,83.42150000000001,81.8519,84.3229,98.816,34
17794880,278045,64,4096,0,random,1000,83.179242,83.0,2.4210835613516206,77.362,82.4735,83.4795,80.33539999999999,84.7214,99.766,98
19974080,312095,64,4096,0,random,1000,83.606198,83.09,3.3870879364854827,81.09,82.604,83.638,81.96170000000001,84.5739,152.322,37
22420160,350315,64,4096,0,random,1000,250.32432,249.377,8.093996098247047,232.19,244.9245,254.6175,238.76850000000002,264.55719999999997,288.692,31
25165824,393216,64,4096,0,random,1000,241.782036,241.171,6.432307262516571,224.206,237.335,245.43099999999998,232.1857,253.20680000000002,294.208,12
28247680,441370,64,4096,0,random,1000,138.184296,133.796,28.417762806725715,97.84,113.4295,147.3375,105.5021,191.95339999999996,226.372,38
31706944,495421,64,4096,0,random,1000,233.159046,236.886,42.50999004727834,153.49,206.022,259.97249999999997,168.1438,306.872,370.06,13
35589824,556091,64,4096,0,random,1000,286.141264,279.67600000000004,25.193584828658718,242.404,268.00300000000004,300.2635,254.7502,334.1911,384.138,22
39948224,624191,64,4096,0,random,1000,242.344138,241.715,5.691133407012386,226.018,238.5335,245.6875,233.80419999999998,252.7779,265.488,16
44840384,700631,64,4096,0,random,1000,235.736562,235.12099999999998,6.358127160504511,220.312,231.1295,239.4245,226.7481,246.94529999999997,285.442,16
50331648,786432,64,4096,0,random,1000,252.82144,250.97899999999998,11.685472696581106,236.506,247.593,255.17499999999998,241.6115,267.28599999999994,356.376,55
56495360,882740,64,4096,0,random,1000,249.919708,249.39299999999997,6.00911234658913,234.82,245.9885,253.2255,241.0603,260.11400000000003,303.538,23
63413888,990842,64,4096,0,random,1000,258.52156,257.659,7.11599398937751,242.062,253.642,262.55,249.18529999999998,269.4783,345.248,11
71179648,1112182,64,4096,0,random,1000,259.065448,258.43600000000004,6.785774764494505,243.69,254.215,263.07050000000004,249.46630000000002,271.5288,290.458,12
79896448,1248382,64,4096,0,random,1000,268.900098,260.304,23.535380285169893,238.722,252.863,277.2075,246.4239,321.8773,369.652,69
89680768,1401262,64,4096,0,random,1000,252.376516,251.892,5.3524739819518485,239.032,248.732,255.135,244.6377,262.0564,274.964,25
100663296,1572864,64,4096,0,random,1000,248.922272,248.523,5.179050443615462,235.422,245.403,251.8945,241.25660000000002,258.16299999999995,275.394,25
112990720,1765480,64,4096,0,random,1000,277.554552,269.05600000000004,27.255791537132282,241.778,255.79149999999998,291.4405,248.66989999999998,333.6582,371.206,29
126827776,1981684,64,4096,0,random,1000,271.665082,269.932,9.545980935309544,249.496,265.087,277.74649999999997,258.75239999999997,288.60470000000004,333.676,18
142359360,2224365,64,4096,0,random,1000,259.311412,257.621,8.777767419516602,239.97,253.6785,263.372,248.3493,274.9912,319.538,33
159792960,2496765,64,4096,0,random,1000,261.975572,261.51300000000003,6.081864704109677,245.596,257.6435,265.666,253.19369999999998,272.2015,285.696,17
179361600,2802525,64,4096,0,random,1000,256.992334,256.209,6.358201039673479,242.834,252.485,260.717,247.8341,268.9049,281.834,10
201326592,3145728,64,4096,0,random,1000,258.952072,258.528,6.439148642332622,242.572,254.6495,262.2405,249.8221,270.4366,295.38,30
