num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,49152,random,1000,23.765886,19.316000000000003,10.128639132365102,11.018,17.087,30.243,15.816,31.4882,254.072,2
3,49152,random,1000,28.231406,19.062,362.66467199812917,7.526,12.004,20.936,8.859499999999999,21.8261,11483.89,4
4,49152,random,1000,10.374286,8.233,3.2827730413546785,7.468,7.51,14.252,7.484,14.866299999999999,29.052,1
5,49152,random,1000,7.755758,9.511,2.168278715023053,5.08,5.5435,9.7065,5.378,10.098,18.458,2
6,49152,random,1000,7.815138,9.534,2.1447470211520847,5.074,5.568,9.7,5.372,10.1,17.924,2
7,49152,random,1000,7.793836,9.527000000000001,2.2349403238913017,5.096,5.5495,9.733,5.378,10.11,28.262,2
8,49152,random,1000,7.901054,9.539,2.204472655483114,5.094,5.58,9.676,5.416,10.0961,25.966,3
9,49152,random,1000,7.871004,9.545,2.1671004195034924,5.1,5.5635,9.7185,5.382,10.104099999999999,18.11,3
10,49152,random,1000,7.676944,6.444000000000001,2.1667720142704967,5.092,5.538,9.7105,5.3719,10.1021,16.846,2
11,49152,random,1000,7.871014,9.578,2.202635702026061,5.092,5.542,9.794,5.372,10.102,19.068,3
12,49152,random,1000,7.86797,9.546,2.212662039354497,5.092,5.5655,9.714500000000001,5.3819,10.1001,22.226,3
13,49152,random,1000,15.615006,16.098,1.3470713214633845,12.662,16.076,16.122,12.7179,16.138,26.612,196
14,49152,random,1000,16.19694,16.116,0.6839440209723482,16.068,16.092,16.138,16.076,16.35,30.294,179
15,49152,random,1000,16.17008,16.106,0.7970010214725125,16.064,16.088,16.128,16.074,16.14,30.122,9
16,49152,random,1000,16.171952,16.108,0.9339397502800452,16.066,16.088,16.128,16.074,16.14,40.094,10
17,49152,random,1000,16.15177,16.108,0.5810685603022864,16.066,16.088,16.128,16.074,16.14,25.824,9
18,49152,random,1000,16.172142,16.106,0.9021062529034635,16.064,16.088,16.126,16.074,16.14,37.182,8
19,49152,random,1000,16.239184,16.128,0.7216697897441942,16.064,16.098,16.310499999999998,16.076,16.356,27.408,7
20,49152,random,1000,16.184594,16.11,0.8522479273625099,16.066,16.09,16.13,16.074,16.31,30.99,70
21,49152,random,1000,16.209978,16.118,0.6906041540662883,16.058,16.094,16.142,16.076,16.352,27.044,229
22,49152,random,1000,16.095736,16.098,0.5692178733062511,15.77,16.076,16.12,15.81,16.14,27.12,182
23,49152,random,1000,16.968796,16.902,1.085492635002488,16.774,16.84,16.934,16.796,16.964,38.856,7
24,49152,random,1000,16.846474,16.726,0.60043460679831,16.656,16.6975,16.9485,16.67,17.01,26.72,7
25,49152,random,1000,18.917614,18.854,0.745932612550535,18.71,18.82,18.898,18.752,18.964,32.462,9
26,49152,random,1000,20.81913,20.704,0.9554646994483322,20.556,20.662,20.85,20.588,20.938,35.82,10
27,49152,random,1000,20.854134,20.794,0.7234945240776673,20.724,20.77,20.818,20.746,20.842,31.332,10
28,49152,random,1000,22.387672,22.381,0.7575021253342369,20.592,22.354,22.41,21.5518,22.426,31.79,64
29,49152,random,1000,22.416612,22.406,1.1411853773693044,21.492,22.37,22.438,21.5519,22.64,44.268,255
30,49152,random,1000,22.472324,22.432,0.6500747065900566,21.294,22.408,22.46,22.384,22.484,32.904,27
31,49152,random,1000,22.553422,22.458,0.9118429203691979,22.384,22.428,22.486,22.408,22.6841,40.782,135
32,49152,random,1000,22.540048,22.468,0.8304668571935288,22.41,22.442,22.496,22.426,22.512,36.324,13
33,49152,random,1000,23.206082,23.12,1.1212548549396455,23.068,23.092,23.1485,23.078,23.164,52.592,14
34,49152,random,1000,23.18687,23.122,0.7457120661391939,23.07,23.094,23.15,23.078,23.164,35.646,11
35,49152,random,1000,23.247064,23.128,1.128351816467597,23.072,23.098,23.158,23.08,23.356,43.668,131
36,49152,random,1000,23.185328,23.122,0.7100017090421986,23.068,23.094,23.15,23.078,23.164,32.588,10
37,49152,random,1000,23.230092,23.13,0.9300626990478439,23.07,23.098,23.158,23.08,23.356,39.182,132
38,49152,random,1000,23.197594,23.128,0.5723772802225076,23.068,23.096,23.156,23.078,23.3541,31.672,129
39,49152,random,1000,23.250702,23.138,0.8661239414067006,23.07,23.1,23.197,23.078,23.374,37.114,118
40,49152,random,1000,23.272576,23.152,0.9919395850374982,23.072,23.11,23.318,23.08,23.3741,48.482,9
