num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,49152,sequential,1000,22.60914,17.344,15.821248339857112,15.776,15.852,30.098,15.8,31.4848,410.956,3
3,49152,sequential,1000,29.360406,11.346,449.0201853853462,10.16,10.216,19.505000000000003,10.18,20.328,14213.388,3
4,49152,sequential,1000,11.207648,13.376,3.050708598842415,7.14,7.8,13.575,7.5559,14.1561,28.582,4
5,49152,sequential,1000,8.499104,9.534,2.7954721658091706,5.096,5.5955,9.836,5.382,13.669599999999997,23.98,3
6,49152,sequential,1000,7.936478,9.554,2.2026265292017038,5.074,5.568,9.7065,5.39,10.1081,23.482,3
7,49152,sequential,1000,7.828106,9.533999999999999,2.2531268560366042,5.098,5.5575,9.694,5.386,10.1021,29.416,3
8,49152,sequential,1000,8.24447,9.708,2.236870416532965,5.08,5.6675,10.114,5.346,10.272,27.082,3
9,49152,sequential,1000,7.812468,9.52,2.206121828571237,5.098,5.6155,9.7645,5.17,10.198,21.12,3
10,49152,sequential,1000,7.764794,7.193,2.250610271939627,5.092,5.57,9.788,5.402,10.1661,26.328,3
11,49152,sequential,1000,7.778642,8.331,2.168512420521025,5.108,5.576,9.75,5.152,10.184,19.452,1
12,49152,sequential,1000,6.333672,5.384,1.790030293841104,5.2,5.306,5.9605,5.2599,10.0223,13.522,196
13,49152,sequential,1000,15.01146,15.858,1.8606863438178047,12.696,13.664,16.104,13.558,16.138,52.768,6
14,49152,sequential,1000,16.188668,16.108,1.170263480755676,16.066,16.0895,16.128,16.076,16.142,40.776,7
15,49152,sequential,1000,14.32222,13.914,1.2585290043756858,13.134,13.872,14.6425,13.1859,16.1281,30.704,220
16,49152,sequential,1000,15.4721,16.098,1.2794334386453732,13.346,14.0975,16.136,13.4619,16.348,26.842,5
17,49152,sequential,1000,14.357136,14.166,1.1542803509687898,13.474,13.602,14.42,13.514,16.124,29.244,176
18,49152,sequential,1000,14.70838,14.26,1.3673296508062618,13.618,13.716,16.092,13.662,16.136,35.488,5
19,49152,sequential,1000,16.107892,16.106,0.8401211197391908,13.76,16.084,16.126,16.07,16.14,28.684,33
20,49152,sequential,1000,16.087464,16.106,0.7380248080663152,13.916,16.088,16.126,16.072,16.142,26.498,41
21,49152,sequential,1000,15.918468,16.109,0.9699846283086939,13.98,16.082,16.136,14.049900000000001,16.3441,28.914,301
22,49152,sequential,1000,15.66989,16.097,1.0982224858964273,14.068,14.6235,16.124,14.1019,16.2901,30.344,6
23,49152,sequential,1000,14.684124,14.254,0.8975935041669602,14.15,14.212,14.694,14.1759,16.126,26.392,177
24,49152,sequential,1000,14.981746,14.736,1.089093244667131,14.232,14.6815,14.786,14.262,16.132,33.952,465
25,49152,sequential,1000,18.162782,18.08,0.7421003067923778,18.03,18.054,18.104,18.0379,18.312,32.736,159
26,49152,sequential,1000,19.384098,18.972,0.9159444200258969,17.948,18.932,19.878,18.9,19.92,33.008,7
27,49152,sequential,1000,21.4037,21.548,0.9004275916740045,20.602,21.514,21.582,20.624,21.604,35.814,256
28,49152,sequential,1000,22.538048,22.272,1.0772156735321408,21.32,22.218,23.104,21.3579,23.162,34.942,8
29,49152,sequential,1000,23.112224,23.118,0.8157608617772782,22.226,23.088,23.15,22.2799,23.166,35.054,100
30,49152,sequential,1000,23.198266,23.124,0.8501403836519683,23.072,23.096,23.152,23.08,23.166,41.18,13
31,49152,sequential,1000,23.218592,23.13,0.80281316787813,23.074,23.1,23.16,23.082,23.352,34.61,125
32,49152,sequential,1000,23.205344,23.124,0.866285932577103,23.074,23.096,23.152,23.0819,23.166,35.586,14
33,49152,sequential,1000,23.199426,23.124,0.8541335320748241,23.072,23.096,23.152,23.08,23.166,37.234,14
34,49152,sequential,1000,23.201908,23.124,0.814603301045407,23.074,23.096,23.152,23.0819,23.168,34.132,14
35,49152,sequential,1000,23.224608,23.132,0.8727209543721292,23.074,23.1,23.16,23.08,23.358,38.614,129
36,49152,sequential,1000,23.295814,23.154,1.0590948566201799,23.072,23.11,23.32,23.082,23.378,42.772,10
37,49152,sequential,1000,23.214622,23.132,0.7342449542004146,23.072,23.1,23.16,23.08,23.3581,35.156,131
38,49152,sequential,1000,23.229506,23.132,0.9646153693440588,23.074,23.098,23.158,23.082,23.3581,43.88,131
39,49152,sequential,1000,23.713686,23.13,1.9024140360522386,23.074,23.0995,23.158,23.08,28.136,46.26,111
40,49152,sequential,1000,23.69785,23.128,1.7666050591275162,23.074,23.0995,23.158,23.082,28.136,40.062,108
