num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,2097152,random,1000,24.651024,24.283,10.936126126836966,12.908,17.804,33.979,13.8978,35.532,222.758,3
3,2097152,random,1000,28.686705999999997,12.676,401.35245726441707,8.956,11.876,22.703500000000002,11.847900000000001,23.6602,12706.692,2
4,2097152,random,1000,11.654014,9.629999999999999,3.503927294663845,5.97,9.0,15.8325,7.116300000000001,16.6021,35.798,2
5,2097152,random,1000,9.68529,11.286,2.6540581961985703,5.928,6.51,11.772,6.272,11.846,32.614,3
6,2097152,random,1000,7.966246,9.582,2.269752903231038,5.08,5.56,9.798,5.376,10.134,29.158,2
7,2097152,random,1000,8.52005,9.73,2.148874292792909,5.086,5.592,10.0965,5.439900000000001,10.156,20.792,2
8,2097152,random,1000,7.839432,9.551,2.163941761074295,5.09,5.5615000000000006,9.728,5.376,10.104099999999999,20.24,2
9,2097152,random,1000,8.00322,9.606,2.3072842512824936,5.08,5.5475,9.822,5.376,10.1341,26.384,3
10,2097152,random,1000,7.930158,9.593,2.289186537186963,5.068,5.51,10.0325,5.1,10.15,22.112,2
11,2097152,random,1000,7.742636,9.498999999999999,2.2079894666843383,5.086,5.5375,9.720500000000001,5.372,10.108,23.792,2
12,2097152,random,1000,7.888326,9.565000000000001,2.171524150190105,5.084,5.572,9.75,5.383900000000001,10.128,21.834,1
13,2097152,random,1000,16.130404,16.102,0.5757819671174651,15.788,16.08,16.124,15.958,16.14,26.284,128
14,2097152,random,1000,16.211716,16.12,0.7605767576966498,16.066,16.096,16.144,16.076,16.346,33.1,236
15,2097152,random,1000,16.177518,16.114,0.4917117449442469,16.066,16.0935,16.136,16.076,16.3461,24.152,161
16,2097152,random,1000,16.227862000000002,16.128,0.5939047025843049,16.064,16.098,16.308,16.076,16.356,24.904,7
17,2097152,random,1000,16.169676,16.112,0.5669978673730666,16.068,16.0915,16.134,16.076,16.332,25.122,100
18,2097152,random,1000,37.203812,38.89,6.274619886764407,27.114,30.554000000000002,42.4105,28.3549,45.8882,61.372,1
19,2097152,random,1000,42.559916,42.464,3.508306907084712,36.152,39.201499999999996,45.5975,38.03,47.7883,55.794,1
20,2097152,random,1000,52.260874,52.906,2.506629138457016,45.958,50.8855,53.8945,47.369499999999995,55.3868,62.694,6
21,2097152,random,1000,59.727078,59.717,2.2784910083630328,52.206,58.405,61.001000000000005,56.524,62.742399999999996,74.136,51
22,2097152,random,1000,66.483448,66.533,2.4640562291466472,55.572,65.5595,67.301,63.2045,68.9438,83.764,68
23,2097152,random,1000,69.361902,67.778,4.383337427280428,61.05,66.5105,71.299,65.6016,80.67569999999999,92.634,68
24,2097152,random,1000,73.309034,73.018,2.1822447229572752,68.908,72.0975,73.867,71.09909999999999,77.6184,89.874,60
25,2097152,random,1000,85.126032,84.732,2.864064830678651,70.588,84.208,86.1245,83.5712,87.1245,104.888,55
26,2097152,random,1000,80.359458,79.368,2.9623849342606934,78.506,79.09899999999999,79.744,78.834,86.6567,104.72,147
27,2097152,random,1000,82.24368,80.636,3.1443517687506986,73.51,80.3945,84.642,79.2499,85.5847,119.702,18
28,2097152,random,1000,80.762056,80.398,1.3733901694061386,79.85,80.2715,80.542,80.0919,83.4885,94.614,160
29,2097152,random,1000,80.223648,79.965,2.0717390440793366,79.54,79.8655,80.086,79.716,80.2801,132.976,33
30,2097152,random,1000,80.143786,79.902,1.810758268712782,79.49,79.786,80.0085,79.642,80.2282,121.858,32
31,2097152,random,1000,80.00681,79.814,1.2430132540925902,79.238,79.698,79.926,79.532,80.1203,90.962,34
32,2097152,random,1000,80.180836,79.892,1.3244283066453402,79.402,79.7895,80.002,79.64789999999999,82.7065,91.28,67
33,2097152,random,1000,78.687072,78.358,1.7432452480390734,77.686,78.2175,78.5065,78.0038,79.688,94.846,83
34,2097152,random,1000,78.75563,78.344,2.1512624380063854,77.678,78.19,78.536,78.002,79.6821,107.742,97
35,2097152,random,1000,79.561546,79.017,1.9213743782473482,78.104,78.8095,79.2925,78.5859,82.1569,99.53,169
36,2097152,random,1000,80.000748,79.543,2.4203774092689136,78.348,79.358,79.732,78.9038,81.2322,99.232,121
37,2097152,random,1000,79.41289,78.662,2.608681708479621,77.856,78.3715,79.5135,78.156,80.6725,113.632,39
38,2097152,random,1000,80.732698,80.906,2.2629741263860472,78.112,79.161,81.16850000000001,78.584,81.4962,99.51,38
39,2097152,random,1000,80.058364,79.616,2.3149545779997935,78.77,79.37,79.8565,79.1177,80.2247,94.954,43
40,2097152,random,1000,81.904534,81.965,1.873318095661154,78.912,81.02550000000001,82.152,79.9028,82.4161,101.046,34
