num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,39903232,sequential,1000,23.121816,22.617,16.35932547876789,11.87,17.019,30.022,12.8838,31.4522,490.0,2
3,39903232,sequential,1000,26.451956,14.872,406.8604788196752,7.928,8.718,15.2915,8.3838,22.6145,12874.728,4
4,39903232,sequential,1000,8.76919,10.695,2.4639513672636153,5.702,6.2135,10.9105,6.0239,11.3121,27.756,1
5,39903232,sequential,1000,8.689098,9.778,2.5114050891717805,5.106,6.182,10.87,5.5318,11.306199999999999,29.684,3
6,39903232,sequential,1000,6.367536,5.098,2.035896080244165,5.068,5.086,6.409000000000001,5.076,10.0663,16.072,245
7,39903232,sequential,1000,7.868518,9.554,2.2694986370869974,5.088,5.5635,9.758,5.376,10.102,24.974,3
8,39903232,sequential,1000,8.45188,8.343,1.259066928773499,5.122,8.144,8.8795,5.594,10.0549,25.544,142
9,39903232,sequential,1000,16.005616,16.06,0.7376803215491117,12.614,15.93,16.104,15.3979,16.136,29.494,90
10,39903232,sequential,1000,16.188468,16.118,0.5850264651628513,16.068,16.092,16.138,16.076,16.346,25.368,178
11,39903232,sequential,1000,16.234128,16.126,0.7051333240037806,16.062,16.098,16.31,16.076,16.356,29.6,8
12,39903232,sequential,1000,16.200382,16.114,0.8375999712200257,16.062,16.092,16.136,16.074,16.3461,33.59,179
13,39903232,sequential,1000,16.162532,16.108,0.6990653312197032,16.066,16.088,16.128,16.074,16.142,27.188,9
14,39903232,sequential,1000,16.243098,16.138,0.502330805978127,16.066,16.104,16.322,16.078,16.358,24.478,8
15,39903232,sequential,1000,16.193702,16.114,0.6098150453912937,16.068,16.092,16.138,16.074,16.346,24.922,179
16,39903232,sequential,1000,16.217084,16.128,0.5051551510879313,16.066,16.098,16.308,16.076,16.3521,23.994,6
17,39903232,sequential,1000,16.171612,16.108,0.9614589438747537,16.064,16.088,16.128,16.074,16.142,41.378,12
18,39903232,sequential,1000,16.224854,16.114,1.1309915864641313,16.064,16.0935,16.138,16.074,16.344,40.512,177
19,39903232,sequential,1000,16.20148,16.114,0.8250805193818743,16.066,16.09,16.136,16.074,16.3441,32.27,179
20,39903232,sequential,1000,16.173238,16.108,0.8531264572782327,16.064,16.0895,16.128,16.074,16.142,36.438,10
21,39903232,sequential,1000,16.19711,16.116,0.6948508254075615,16.066,16.094,16.138,16.074,16.348,29.006,179
22,39903232,sequential,1000,16.231112,16.126,0.669435155099344,16.066,16.098,16.31,16.076,16.356,29.848,7
23,39903232,sequential,1000,16.206952,16.116,0.8221294877272014,16.062,16.092,16.138,16.076,16.348,31.488,177
24,39903232,sequential,1000,16.156502,16.108,0.6166277757365539,16.066,16.088,16.126,16.076,16.142,26.28,9
25,39903232,sequential,1000,16.276224,16.293,0.8113160713258376,16.068,16.108,16.33,16.078,16.358,35.634,7
26,39903232,sequential,1000,16.189102,16.116,0.5961419351151224,16.068,16.092,16.138,16.074,16.3461,28.316,177
27,39903232,sequential,1000,16.233308,16.13,0.6922292557227544,16.068,16.1,16.306,16.078,16.354,30.346,8
28,39903232,sequential,1000,16.220042,16.128,0.5624358526306128,16.066,16.098,16.304,16.076,16.348,26.234,6
29,39903232,sequential,1000,16.810074,16.112,1.7832628344865096,16.064,16.09,16.134,16.074,21.1361,27.08,140
30,39903232,sequential,1000,16.144654,16.108,0.5174412060183124,16.066,16.086,16.128,16.074,16.14,24.364,7
31,39903232,sequential,1000,16.156118,16.107,0.6015276964908978,16.066,16.086,16.128,16.074,16.14,25.568,12
32,39903232,sequential,1000,16.850348,16.124,1.7998799956927392,16.066,16.098,16.316,16.076,21.124,28.732,137
33,39903232,sequential,1000,16.185322,16.114,0.5195015940516662,16.064,16.09,16.136,16.074,16.348,23.874,182
34,39903232,sequential,1000,17.251594,17.158,0.5643636571409445,17.09,17.128,17.338,17.104,17.388,28.904,8
35,39903232,sequential,1000,18.15637,18.11,0.6031537827002211,18.058,18.088,18.132,18.072,18.1461,30.476,13
36,39903232,sequential,1000,18.564092,18.498,0.45823224715020694,18.4,18.458,18.5845,18.422,18.72,26.274,26
37,39903232,sequential,1000,19.51772,19.456,0.5749614580806947,19.28,19.416,19.504,19.362,19.678,28.472,80
38,39903232,sequential,1000,20.404886,20.34,0.6758969504974052,20.18,20.304,20.3885,20.256,20.468,29.89,20
39,39903232,sequential,1000,20.398426,20.329,0.5333678353367137,20.2,20.292,20.378,20.234,20.5841,28.108,145
40,39903232,sequential,1000,20.533018,20.442,0.548073075211483,20.316,20.392,20.5945,20.3499,20.654,27.568,9
