size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8388608,1048576,random,1000,52.772954,52.631,1.4480879906665594,50.302,52.126,53.1145,51.3975,54.0584,65.586,27
8510616,1063827,random,1000,52.99844,52.798,1.6969317038724947,50.596,52.34,53.308,51.656,54.092,72.276,24
8634408,1079301,random,1000,53.120012,52.967,1.457074738869167,50.808,52.478,53.442,51.7957,54.2691,67.718,27
8760000,1095000,random,1000,53.251878,53.108,1.4776803959139704,50.548,52.617999999999995,53.5735,51.8738,54.432700000000004,67.714,29
8887416,1110927,random,1000,53.491462,53.332,1.3581892359154364,50.714,52.8455,53.8645,52.1519,54.7082,64.784,24
9016688,1127086,random,1000,53.743754,53.582,1.4657828266079456,51.126,53.122,54.0745,52.3192,54.902300000000004,67.74,31
9147840,1143480,random,1000,53.964218,53.804,1.5058625868938396,51.624,53.3225,54.298500000000004,52.6175,55.065,71.606,27
9280896,1160112,random,1000,54.27625,54.1,2.0113143998676875,51.8,53.554,54.632,52.9798,55.4161,101.73,24
9415888,1176986,random,1000,54.354804,54.227000000000004,1.3615699652806512,51.528,53.7135,54.6725,53.0518,55.5604,66.106,25
9552848,1194106,random,1000,54.602444,54.406000000000006,1.5691794923281221,52.082,53.9555,54.931,53.254,55.6849,69.832,26
9691800,1211475,random,1000,54.912514,54.771,1.374152953693345,52.81,54.293499999999995,55.257,53.5759,56.0189,67.442,22
9832768,1229096,random,1000,55.088282,54.937,1.4753236038958408,52.906,54.423,55.4705,53.7599,56.154900000000005,69.542,21
9975792,1246974,random,1000,55.49992,55.175,1.7313280181139292,52.136,54.642,55.7285,53.9756,59.066700000000004,70.666,68
10120888,1265111,random,1000,55.54646,55.349000000000004,1.6961704839758034,52.926,54.8975,55.8265,54.2219,56.6722,77.752,27
10268104,1283513,random,1000,55.692866,55.536,1.5824387654789331,53.418,55.036,56.0245,54.3375,56.794399999999996,75.02,23
10417456,1302182,random,1000,55.951956,55.796,1.4279545161398397,53.842,55.3155,56.278,54.6578,57.036500000000004,69.148,25
10568984,1321123,random,1000,55.215968,55.041,1.6914131362187574,53.168,54.566,55.5285,53.958,56.3206,88.3,22
10722712,1340339,random,1000,55.41335,55.24,1.8347662643357996,53.032,54.7635,55.706,54.1098,56.4463,89.662,26
10878672,1359834,random,1000,55.470652,55.327,1.4457302538381296,53.064,54.8375,55.774,54.2418,56.6013,68.242,25
11036912,1379614,random,1000,55.641122,55.452,1.582081694351971,53.29,54.992,55.926500000000004,54.3471,56.667199999999994,72.564,23
11197448,1399681,random,1000,55.86145,55.724000000000004,1.4010963551792206,53.278,55.2475,56.18,54.5839,56.9003,69.206,24
11360312,1420039,random,1000,56.073214,55.946,1.3258792516643416,53.256,55.476,56.4,54.8459,57.072300000000006,67.646,23
11525552,1440694,random,1000,56.256394,56.138999999999996,1.3554714071124847,53.936,55.6435,56.564,55.0393,57.2387,68.2,24
11693200,1461650,random,1000,56.478228,56.317,1.405852484873582,54.09,55.8955,56.792500000000004,55.174,57.5473,67.418,28
11863280,1482910,random,1000,56.618288,56.474999999999994,1.4741804302720194,54.354,56.0035,56.914,55.3619,57.6043,77.282,27
12035832,1504479,random,1000,56.848114,56.649,1.7050592464891177,54.046,56.224,57.1105,55.5897,57.849,77.984,31
12210904,1526363,random,1000,57.055014,56.912,1.432871042078535,54.718,56.433,57.348,55.742,58.0584,68.194,23
12388512,1548564,random,1000,57.218136,57.056,1.4487942111183942,54.784,56.589,57.5385,55.9079,58.2963,73.544,24
12568704,1571088,random,1000,57.385238,57.227999999999994,1.457218766654441,55.148,56.7755,57.6725,56.1477,58.3605,73.336,30
12751520,1593940,random,1000,56.828142,56.659,1.52645059509152,54.196,56.179,57.1345,55.554,57.8322,79.486,26
12937000,1617125,random,1000,56.898174,56.764,1.416192783389226,54.426,56.287499999999994,57.174,55.6737,57.9069,72.824,29
13125168,1640646,random,1000,57.949084,57.199,2.3456032912118245,54.45,56.644,58.161,55.8727,63.3127,72.124,116
13316080,1664510,random,1000,57.322636,57.164,1.2817199794064262,55.264,56.747,57.632,56.1618,58.3361,66.776,27
13509768,1688721,random,1000,57.553808000000004,57.379000000000005,1.4683092478027862,55.772,56.95,57.848,56.3391,58.5021,79.664,24
13706272,1713284,random,1000,58.46788,58.265,2.063732640147461,55.106,57.3905,59.0565,56.2016,60.63099999999999,72.512,31
13905632,1738204,random,1000,78.874714,78.692,4.332404244844281,67.786,75.878,81.629,72.25880000000001,85.6481,96.528,12
14107896,1763487,random,1000,64.339376,63.879999999999995,3.4367667340406167,58.966,62.163,65.7375,60.5058,69.35549999999999,117.748,27
14313104,1789138,random,1000,58.268088,58.113,1.2497100685805134,55.884,57.6925,58.566500000000005,57.095499999999994,59.2821,67.676,25
14521288,1815161,random,1000,62.753922,62.48,2.244483598634782,58.574,61.432,63.6285,60.0985,65.6858,78.028,26
14732504,1841563,random,1000,58.81138,58.582,2.494358914429516,54.9,57.315,59.6,56.185,61.4407,73.566,31
14946800,1868350,random,1000,58.001992,57.872,1.3589311910166455,55.912,57.421499999999995,58.2835,56.8438,58.9042,69.45,25
15164200,1895525,random,1000,241.016812,235.905,19.81958430600195,200.768,223.2505,259.41,215.2771,271.6661,292.604,0
15384768,1923096,random,1000,58.345833999999996,58.179,1.5300828402220392,55.448,57.7235,58.664500000000004,56.946,59.4942,71.102,36
15608552,1951069,random,1000,130.073294,123.473,30.807533262812576,84.51,108.8575,139.8125,93.8966,199.6965,226.384,93
15835576,1979447,random,1000,58.80686,58.667,1.3453697365884696,56.512,58.2365,59.096999999999994,57.5715,59.8242,73.01,30
16065912,2008239,random,1000,58.891748,58.73,1.3304487958935114,56.552,58.3655,59.1605,57.766,59.767199999999995,71.714,27
16299600,2037450,random,1000,83.824118,83.587,4.865870295415591,72.62,80.25800000000001,87.1605,76.53720000000001,92.1646,108.244,7
16536680,2067085,random,1000,142.402286,142.354,9.053038125928417,121.154,135.017,149.572,128.12120000000002,157.1241,184.4,1
16777216,2097152,random,1000,58.935638,58.769000000000005,1.397020734236929,56.676,58.358,59.2165,57.6839,60.1742,80.762,29
17021240,2127655,random,1000,62.82959,62.611000000000004,2.65978774994825,58.09,61.078,64.13550000000001,59.3899,66.58619999999999,81.588,24
17268824,2158603,random,1000,242.410232,237.69299999999998,15.834711292217609,214.968,231.394,250.7785,224.1712,274.00260000000003,317.55,30
17520000,2190000,random,1000,109.73544,89.332,47.993573420282516,61.698,70.7435,138.9455,64.58579999999999,211.8006,244.71,1
17774840,2221855,random,1000,59.25259,59.084,1.4462734412159985,57.156,58.6875,59.5065,58.097899999999996,60.1181,78.294,27
18033376,2254172,random,1000,59.454216,59.234,1.9032118601797148,57.036,58.856,59.623,58.278,60.310700000000004,85.308,28
18295680,2286960,random,1000,59.590728,59.393,1.5492455582688678,57.102,59.0285,59.8065,58.4379,60.572,78.954,34
18561800,2320225,random,1000,59.72372,59.549,1.52865067248161,57.446,59.117000000000004,59.956,58.5479,60.560500000000005,71.392,29
18831784,2353973,random,1000,59.868608,59.678,1.825532759550535,57.61,59.272,60.0875,58.6578,60.704100000000004,92.832,37
19105696,2388212,random,1000,59.317748,59.17,1.3279463701739083,56.938,58.8015,59.572500000000005,58.1851,60.1251,70.84,29
19383600,2422950,random,1000,59.46992,59.294,1.4421558164771928,57.508,58.8935,59.678,58.3159,60.334300000000006,74.696,29
19665536,2458192,random,1000,59.697956,59.569,1.1833942183143957,57.822,59.196,59.936,58.6439,60.558,68.244,27
19951584,2493948,random,1000,307.775858,309.046,21.20485334816898,256.2,294.1485,322.6035,270.31449999999995,341.83299999999997,362.02,0
20241784,2530223,random,1000,66.764506,66.549,2.937079000132107,60.582,65.1525,67.904,63.2217,70.3888,112.91,29
20536208,2567026,random,1000,60.30915,59.998,1.724612318507887,57.744,59.591499999999996,60.428,58.7539,64.57639999999999,73.504,84
20834912,2604364,random,1000,213.686152,212.92399999999998,8.218228219998029,194.144,206.96099999999998,220.0735,201.8509,226.9498,242.14,3
21137968,2642246,random,1000,60.032912,59.878,1.20693779255233,57.914,59.5245,60.272,59.0378,60.832,69.142,25
21445424,2680678,random,1000,60.093542,59.93,1.46772039209973,58.316,59.537,60.3185,58.9834,60.820100000000004,73.78,25
21757352,2719669,random,1000,60.218786,60.028,1.5828974972153727,58.342,59.6465,60.404,59.1079,60.998799999999996,74.1,26
22073824,2759228,random,1000,60.437613999999996,60.234,1.5847177191074924,58.488,59.8605,60.64,59.3034,61.2602,77.094,26
22394896,2799362,random,1000,237.746324,237.561,5.071919972084262,223.052,234.1135,240.8715,229.93679999999998,246.0065,257.354,15
22720632,2840079,random,1000,60.662824,60.497,1.417067403142507,58.764,60.1155,60.8745,59.6298,61.4324,79.692,27
23051112,2881389,random,1000,60.789558,60.588,1.4737571688812336,58.926,60.2475,60.984,59.729499999999994,61.6502,76.75,27
23386400,2923300,random,1000,60.477964,60.31,1.440495729480185,58.63,59.9415,60.6665,59.3798,61.2721,74.782,30
23726560,2965820,random,1000,60.624248,60.406,1.861207612350721,58.718,60.0475,60.7555,59.59,61.3204,97.58,26
24071672,3008959,random,1000,60.677806,60.528999999999996,1.4352689459858425,58.558,60.162,60.87,59.6219,61.3606,75.552,25
24421808,3052726,random,1000,60.81703,60.636,1.4009388583320779,58.734,60.287499999999994,60.9985,59.782,61.636500000000005,73.388,31
24777024,3097128,random,1000,60.96439,60.769999999999996,1.4082492541669822,59.248,60.447,61.13,59.9596,61.7565,71.776,28
25137416,3142177,random,1000,61.05849,60.876999999999995,1.3997908080160428,59.088,60.518,61.232,60.0599,61.8329,72.628,26
25503048,3187881,random,1000,60.83429,60.611000000000004,2.53409942737214,59.21,60.26,60.9705,59.775800000000004,61.5367,129.712,24
25874000,3234250,random,1000,60.862888,60.69,1.4102284310294142,59.2,60.3475,61.038,59.8899,61.598,77.61,24
26250344,3281293,random,1000,61.069878,60.855000000000004,1.9659439332454691,59.2,60.51,61.182,60.0419,61.7081,102.23,30
26632168,3329021,random,1000,61.16478,61.01,1.4721074185846126,59.386,60.622,61.3485,60.1114,61.8784,73.316,27
27019544,3377443,random,1000,61.27447,61.075,1.5318722399925064,59.534,60.73,61.426,60.1899,62.0242,72.97,27
27412552,3426569,random,1000,61.224962,60.864999999999995,1.8864629455679751,59.316,60.5095,61.2105,60.0259,65.41250000000001,82.036,67
27811272,3476409,random,1000,61.114878,60.978,1.3697891441442422,59.572,60.586,61.286,60.0799,61.8401,76.61,26
28215800,3526975,random,1000,61.235766,61.048,1.4796166093128837,59.58,60.744,61.3785,60.225899999999996,61.910599999999995,78.714,25
28626208,3578276,random,1000,61.387748,61.221000000000004,1.3339609305599096,59.58,60.8815,61.583,60.4118,62.0586,75.284,24
29042584,3630323,random,1000,61.49857,61.319,1.4680517398957746,59.782,60.9935,61.642,60.527499999999996,62.1901,83.592,27
29465016,3683127,random,1000,61.25434,61.067,1.5603597119993937,59.522,60.712,61.432,60.2238,61.9722,83.678,29
29893600,3736700,random,1000,61.32308,61.138999999999996,1.4137102313480716,59.74,60.8085,61.506,60.3112,62.0687,73.5,24
30328408,3791051,random,1000,62.2055,61.964,1.6270071118904619,59.616,61.4935,62.5245,60.87,63.5261,83.422,28
30769544,3846193,random,1000,61.737148,61.512,1.6064438240585497,60.068,61.184,61.906,60.7419,62.493199999999995,88.766,27
31217096,3902137,random,1000,62.478698,62.245000000000005,1.5726905380030505,60.59,61.794,62.728,61.2438,63.6544,76.692,29
