size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
311736,38967,random,1000,38.216064,45.03,8.813402098421044,28.592,29.284,45.581,28.9918,46.1122,121.528,2
316272,39534,random,1000,20.570036,20.454,1.1586255840209763,20.048,20.3375,20.596,20.18,20.79,36.286,18
320872,40109,random,1000,14.212306,14.154,0.7686174309232905,13.836,14.064,14.25,13.956,14.414,32.256,13
325544,40693,random,1000,10.08407,10.055,0.6131404507225994,9.77,9.9855,10.114,9.866,10.192,21.016,16
330280,41285,random,1000,10.074112,10.024,0.8605753385784242,9.754,9.97,10.078,9.88,10.1641,30.494,27
335080,41885,random,1000,10.056126,10.038,0.4133699055359531,9.834,9.982,10.088,9.896,10.1581,18.59,7
339952,42494,random,1000,10.147728,10.126,0.45261186851376256,9.866,10.076,10.174,9.978,10.262,19.424,22
344896,43112,random,1000,10.159672,10.11,0.83477130253953,9.888,10.054,10.168,9.984,10.24,29.928,7
349920,43740,random,1000,10.175132,10.136,0.5559712065912754,9.92,10.088,10.19,10.022,10.2761,20.91,14
355008,44376,random,1000,10.179982,10.14,0.7041263107834684,9.942,10.086,10.188,10.0099,10.2661,25.516,15
360168,45021,random,1000,10.22336,10.17,1.0117207921958318,9.928,10.116,10.216,10.046,10.292,36.412,15
365408,45676,random,1000,10.20704,10.166,0.6961073105403992,9.93,10.124,10.208,10.036,10.2821,26.834,38
370720,46340,random,1000,10.203064,10.182,0.38408266219056986,9.98,10.136,10.228,10.074,10.292,17.842,8
376112,47014,random,1000,10.272804,10.226,0.6926294313073283,10.002,10.17,10.296,10.09,10.412,25.758,9
381584,47698,random,1000,10.271192,10.236,0.45595036338385553,10.038,10.182,10.306,10.1159,10.428,19.8,8
387136,48392,random,1000,10.2329,10.208,0.4839235435438082,9.93,10.156,10.2545,10.0779,10.334,20.106,27
392768,49096,random,1000,10.29509,10.268,0.4071110749259068,10.042,10.196,10.346,10.106,10.472,17.514,11
398480,49810,random,1000,10.377972,10.332,0.8592249406963899,10.008,10.278,10.38,10.194,10.438,30.08,29
