footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4987648,19483,256,4096,0,random,1000,90.458232,88.73599999999999,15.870783833877823,74.122,74.883,112.854,74.4618,113.64949999999999,167.596,0
5598720,21870,256,4096,0,random,1000,66.633644,65.992,1.9801714188706272,65.208,65.814,66.2625,65.59989999999999,69.123,99.59,210
6284288,24548,256,4096,0,random,1000,65.045766,64.884,1.159050281393693,64.172,64.708,65.07300000000001,64.4938,65.3624,79.78,25
7053824,27554,256,4096,0,random,1000,65.47534,65.284,1.3523264158978539,64.492,65.1075,65.4885,64.8556,65.8006,86.232,25
7917568,30928,256,4096,0,random,1000,65.99897,65.792,1.5544040359594433,65.072,65.6195,65.9745,65.4259,66.3201,88.412,30
8887296,34716,256,4096,0,random,1000,65.242474,65.006,1.3857510126978776,64.134,64.818,65.2085,64.58189999999999,66.1349,81.596,61
9975552,38967,256,4096,0,random,1000,65.80271,65.618,1.6835089326244237,64.726,65.428,65.804,65.144,66.0701,102.194,26
11197440,43740,256,4096,0,random,1000,65.244526,65.094,1.09995038532389,64.314,64.926,65.26,64.684,65.5462,79.444,31
12568576,49096,256,4096,0,random,1000,65.941184,65.73,1.263893090371131,64.976,65.546,65.9445,65.288,66.5634,80.336,51
14107648,55108,256,4096,0,random,1000,65.546142,65.394,1.0400108453253718,64.732,65.23349999999999,65.5685,65.0279,65.88629999999999,77.404,30
15835392,61857,256,4096,0,random,1000,65.37221,65.21,1.212140696853698,64.37,65.042,65.37650000000001,64.7999,65.64229999999999,78.054,32
17774592,69432,256,4096,0,random,1000,65.291274,65.142,1.000340733203695,64.472,64.97149999999999,65.348,64.7458,65.6601,77.73,26
19951360,77935,256,4096,0,random,1000,65.259006,65.12,1.1103596834317204,64.262,64.94149999999999,65.302,64.6559,65.616,79.384,29
22394880,87480,256,4096,0,random,1000,65.565906,65.3,1.5371252900532608,64.4,65.0955,65.5065,64.846,66.3868,81.358,67
25137408,98193,256,4096,0,random,1000,65.569972,65.376,1.1884891222092062,64.606,65.221,65.574,64.9679,66.0407,80.374,53
28215552,110217,256,4096,0,random,1000,65.19871,65.07,0.9423756340948845,64.244,64.902,65.2485,64.632,65.5761,75.71,34
31671040,123715,256,4096,0,random,1000,65.230804,65.04,1.3351260386656847,64.192,64.85,65.232,64.6019,65.68,87.326,43
35549440,138865,256,4096,0,random,1000,65.815206,65.406,1.6233712094427597,64.564,65.184,65.68,64.9298,68.95519999999999,82.29,99
39902976,155871,256,4096,0,random,1000,65.402526,65.205,1.055011693298703,64.28,64.95949999999999,65.488,64.6839,66.53869999999999,74.854,68
44789760,174960,256,4096,0,random,1000,67.579824,67.07300000000001,1.9769226672422613,64.89,66.40450000000001,68.027,65.69579999999999,71.6736,83.974,84
50274816,196386,256,4096,0,random,1000,70.73587,70.658,2.2384083691603567,65.778,69.2715,71.781,67.7877,73.88839999999999,89.894,20
56431360,220435,256,4096,0,random,1000,106.462298,107.42500000000001,7.925377471594856,82.19,102.0755,111.804,91.8374,117.7714,128.582,22
63342080,247430,256,4096,0,random,1000,145.36392,154.81,24.09219710418514,91.024,123.20599999999999,164.715,103.9339,175.06719999999999,187.812,0
71099136,277731,256,4096,0,random,1000,181.804986,189.946,33.808098230835014,100.924,157.59199999999998,210.91899999999998,117.15559999999999,221.8926,237.492,0
79806208,311743,256,4096,0,random,1000,217.217036,227.725,31.50493671976537,135.102,190.42149999999998,244.4795,154.2276,251.59779999999998,264.64,0
89579520,349920,256,4096,0,random,1000,249.549482,251.453,10.068925018426878,166.272,245.8305,254.97,236.583,260.6757,276.962,29
100549632,392772,256,4096,0,random,1000,268.566066,266.37199999999996,14.4184309445427,187.84,260.3775,275.00199999999995,252.7805,292.3962,319.662,46
112862976,440871,256,4096,0,random,1000,276.836448,277.02,5.535348013352451,234.884,274.62300000000005,279.6445,269.9484,283.9789,298.28,43
126684416,494861,256,4096,0,random,1000,279.314036,278.08399999999995,6.184339217269558,262.308,274.96750000000003,282.373,271.7857,290.8451,337.952,25
142198528,555463,256,4096,0,random,1000,285.51628,285.227,10.015104816929982,266.36,282.573,288.0285,276.5447,293.4845,556.556,51
159612672,623487,256,4096,0,random,1000,286.848004,286.256,4.583651957255181,275.004,283.655,289.283,280.3798,295.0263,308.334,21
