footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6144,24,256,4096,0,sequential,1000,22.941754,18.796,7.2609455760349935,11.0,16.78,30.345,15.783800000000001,31.5322,61.188,1
6656,26,256,4096,0,sequential,1000,27.84095,14.144,391.46395608158434,7.506,10.9735,20.997,10.9069,21.8561,12393.664,1
7680,30,256,4096,0,sequential,1000,11.437708,14.032,3.1713694510307264,5.678,8.154,14.3445,7.9076,14.916,22.152,0
8448,33,256,4096,0,sequential,1000,8.035354,9.872,2.2289183654328313,5.268,5.75,10.0725,5.574,10.476,17.746,1
9728,38,256,4096,0,sequential,1000,6.999346,5.558,2.196404152127628,5.07,5.094,9.662,5.078,10.112,12.264,0
10752,42,256,4096,0,sequential,1000,8.684368,9.809999999999999,2.1734179225455104,5.078,5.6495,10.12,5.4119,10.16,29.316,1
12288,48,256,4096,0,sequential,1000,7.98733,9.612,2.1798183307457193,5.078,5.5715,9.814,5.362,10.128,18.41,1
13568,53,256,4096,0,sequential,1000,7.802286,9.535,2.1869536200707,5.078,5.534,9.738,5.3779,10.118,18.796,2
15360,60,256,4096,0,sequential,1000,7.846812,9.555,2.193699735877084,5.072,5.5315,9.7545,5.366,10.136099999999999,17.056,2
17152,67,256,4096,0,sequential,1000,7.619666,6.208,2.1779281787046134,5.07,5.498,9.708,5.1039,10.0941,15.982,0
19456,76,256,4096,0,sequential,1000,7.8324,9.543,2.194238021841864,5.068,5.53,9.742,5.1059,10.1301,17.44,1
21760,85,256,4096,0,sequential,1000,6.177512,5.098,1.8716065058576732,5.064,5.086,5.7485,5.074,10.004399999999999,13.42,208
24576,96,256,4096,0,sequential,1000,7.792314,9.555,2.1800539086106214,5.074,5.52,9.786,5.3559,10.132,14.968,0
27392,107,256,4096,0,sequential,1000,7.772346,9.503,2.140556950969617,5.076,5.5535,9.7245,5.378,10.102,18.232,1
30720,120,256,4096,0,sequential,1000,7.77806,9.526,2.2400753679405643,5.088,5.552,9.774,5.37,10.092,23.438,3
34560,135,256,4096,0,sequential,1000,7.643444,6.407,2.2256326155507793,5.07,5.5055,9.678,5.092,10.1101,19.602,3
38912,152,256,4096,0,sequential,1000,7.704408,9.464,2.143840071411062,5.092,5.5435,9.696,5.367900000000001,10.084,17.382,2
43776,171,256,4096,0,sequential,1000,8.18087,9.628,2.1670655763756463,5.086,5.57,10.062,5.394,10.1501,17.482,1
49152,192,256,4096,0,sequential,1000,7.852466,6.324,2.202293712573425,5.302,5.7695,10.091,5.375900000000001,10.4866,14.89,0
55040,215,256,4096,0,sequential,1000,7.641456,6.372,2.04564140964169,5.756,5.954,10.264,5.852,10.7044,19.494,2
61696,241,256,4096,0,sequential,1000,7.875738,6.79,1.8986608228633877,5.944,6.3155,10.33,6.054,10.598,18.382,1
69376,271,256,4096,0,sequential,1000,7.91012,6.784000000000001,1.8797446447668176,5.932,6.3195,10.2755,6.012,10.5861,18.782,1
77824,304,256,4096,0,sequential,1000,7.741334,6.556,1.9223838097414252,5.832,6.16,10.169,5.8939,10.518,19.466,1
87552,342,256,4096,0,sequential,1000,8.167108,7.234,2.1926910868926655,5.764,6.0035,10.4525,5.83,10.986,16.92,0
98304,384,256,4096,0,sequential,1000,7.795634,6.633,1.9857268122823484,5.684,6.146,10.234,5.834,10.5222,22.466,1
110336,431,256,4096,0,sequential,1000,7.973854,6.754,2.115657574764323,5.734,6.226,10.2905,5.878,10.552399999999999,25.438,3
123648,483,256,4096,0,sequential,1000,7.994054,6.9190000000000005,2.0435645615446556,5.84,6.236,10.2945,5.9199,10.606599999999998,22.28,3
139008,543,256,4096,0,sequential,1000,8.135244,7.0329999999999995,2.073722124083145,5.788,6.206,10.318,5.858,10.698,19.378,2
155904,609,256,4096,0,sequential,1000,7.941692,6.721,2.08534396121421,5.794,6.1795,10.284,5.8879,10.626199999999999,22.888,3
175104,684,256,4096,0,sequential,1000,7.917492,6.621,2.0910784870910932,5.734,6.13,10.258,5.796,10.7042,23.312,1
196608,768,256,4096,0,sequential,1000,7.613782,6.31,2.1079963864393223,5.69,5.8795,10.218,5.7579,10.53,24.13,2
