footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
262144,2048,128,4096,0,random,1000,43.312762,50.024,8.655897450873367,34.604,34.686,50.124,34.626,50.8002,132.52,5
294144,2298,128,4096,0,random,1000,33.3178,23.754,288.3617080743203,23.684,23.718,23.7845,23.696,24.2362,9142.766,208
330240,2580,128,4096,0,random,1000,16.137298,16.087,0.6567236047905459,16.026,16.066,16.106,16.044,16.13,27.206,16
370688,2896,128,4096,0,random,1000,16.27506,16.198,0.5995731584822426,16.088,16.17,16.244,16.136,16.4321,27.632,175
416128,3251,128,4096,0,random,1000,16.610144,16.564,0.5784388046411779,16.398,16.522,16.606,16.4639,16.674,25.546,14
467072,3649,128,4096,0,random,1000,17.462464,17.41,0.5088934478309238,17.194,17.356,17.464,17.2959,17.634,25.052,63
524288,4096,128,4096,0,random,1000,18.091722,18.046,0.48724616318606306,17.8,17.986,18.124,17.9039,18.224,25.856,12
588416,4597,128,4096,0,random,1000,18.73027,18.662,0.5729984732530711,18.474,18.608,18.75,18.5519,18.8841,27.694,11
660480,5160,128,4096,0,random,1000,19.248392,19.182,0.6336361646285076,18.884,19.104,19.2805,18.998,19.4461,29.218,11
741376,5792,128,4096,0,random,1000,19.633138,19.58,0.6378123058498429,19.244,19.454,19.69,19.3399,19.88,29.538,12
832128,6501,128,4096,0,random,1000,20.111458,20.036,0.6060695789846001,19.83,19.972,20.154,19.908,20.2701,28.772,9
934144,7298,128,4096,0,random,1000,20.437036,20.39,0.5394439938738094,20.158,20.334,20.458,20.25,20.5321,28.528,9
1048576,8192,128,4096,0,random,1000,22.347272,22.284,0.7878441167949204,21.342,22.068,22.498,21.7615,22.8323,32.01,16
1176960,9195,128,4096,0,random,1000,22.956044,22.904,0.7041263181673696,21.64,22.6975,23.1205,22.3718,23.4382,32.818,19
1321088,10321,128,4096,0,random,1000,23.48153,23.429000000000002,0.6388556265789727,22.69,23.238,23.632,22.9959,23.894099999999998,31.498,10
1482880,11585,128,4096,0,random,1000,23.524686,23.476,0.7786580775961974,22.308,23.2495,23.702,22.8697,24.0421,33.202,21
1664384,13003,128,4096,0,random,1000,25.862822,25.754,0.938647185504146,24.53,25.4695,26.076999999999998,25.0539,26.6521,37.166,26
1868288,14596,128,4096,0,random,1000,33.361474,33.222,1.2634037408272687,30.824,32.67,33.797,31.9619,34.9628,44.548,42
2097152,16384,128,4096,0,random,1000,16.56285,16.178,1.4821457544848744,16.048,16.126,16.254,16.08,18.581099999999996,31.798,137
2353920,18390,128,4096,0,random,1000,37.760892,37.41,2.4819785716170006,26.536,36.625,38.1745,35.5453,42.315999999999995,62.636,84
2642176,20642,128,4096,0,random,1000,52.02629,51.819,1.5477607086081204,47.36,51.165499999999994,52.486,50.2391,54.482499999999995,63.478,56
2965760,23170,128,4096,0,random,1000,62.499406,62.354,1.609931763599764,57.966,61.5475,63.0745,60.5104,65.36959999999999,72.722,57
3328896,26007,128,4096,0,random,1000,69.451062,69.296,1.4450309306539244,66.86,68.564,70.01650000000001,67.8857,70.8651,78.688,29
3736576,29192,128,4096,0,random,1000,72.933876,72.285,2.710879601317041,70.962,71.986,72.576,71.6157,78.10539999999999,90.764,80
4194304,32768,128,4096,0,random,1000,71.913886,71.661,1.914502462438396,69.51,71.122,72.182,70.454,72.977,90.496,32
4707840,36780,128,4096,0,random,1000,72.063616,71.77,1.9047705445463428,70.554,71.514,72.038,71.1499,72.5321,88.454,35
5284480,41285,128,4096,0,random,1000,72.801496,72.474,1.965354136756749,71.412,72.23349999999999,72.7425,71.914,73.2672,95.568,37
5931520,46340,128,4096,0,random,1000,74.009986,73.769,1.802917085675828,71.714,73.5255,74.012,73.08739999999999,74.3722,94.148,41
6657920,52015,128,4096,0,random,1000,72.489152,72.182,2.0369112322986154,70.634,71.998,72.362,71.7737,72.658,93.242,41
7473280,58385,128,4096,0,random,1000,72.929468,72.81299999999999,1.9907823817452943,70.326,72.438,73.05850000000001,71.2438,73.43050000000001,94.376,114
8388608,65536,128,4096,0,random,1000,72.135644,71.652,2.287584720423949,69.674,71.25,72.247,70.7479,74.0441,93.994,63
