footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
262144,2048,128,4096,0,sequential,1000,19.294316,15.315000000000001,6.026990732814962,13.224,14.318,25.584,13.4659,26.6341,62.732,6
294144,2298,128,4096,0,sequential,1000,27.918534,15.332,435.2424106561314,9.1,10.0255,17.752,9.3099,18.476,13777.034,5
330240,2580,128,4096,0,sequential,1000,9.613626,8.030000000000001,2.955062411859009,6.314,6.9415000000000004,12.286,6.5153,12.784,36.452,4
370688,2896,128,4096,0,sequential,1000,7.761472,6.3149999999999995,2.266361219751696,5.222,5.714,10.060500000000001,5.4917,10.468,24.568,2
416128,3251,128,4096,0,sequential,1000,7.887762,6.885,2.417724411649658,5.206,5.684,10.1345,5.326,10.57,28.802,3
467072,3649,128,4096,0,sequential,1000,8.007416,7.207000000000001,2.335810325523205,5.332,5.81,10.122,5.4339,10.55,26.366,3
524288,4096,128,4096,0,sequential,1000,7.944496,6.574,2.4105715939157237,5.286,5.836,10.098,5.4659,10.508299999999998,38.388,3
588416,4597,128,4096,0,sequential,1000,7.740434,6.2330000000000005,2.316134719674934,5.304,5.8215,10.0685,5.4599,10.456399999999999,29.826,3
660480,5160,128,4096,0,sequential,1000,7.921192,6.6579999999999995,2.2859640966093466,5.298,5.85,10.0885,5.495900000000001,10.492,25.852,3
741376,5792,128,4096,0,sequential,1000,7.96863,6.786,2.4652554162535303,5.29,5.848,10.115,5.5138,10.520199999999999,32.418,3
832128,6501,128,4096,0,sequential,1000,8.157564,9.589,2.3618195276916025,5.306,5.858,10.1545,5.4737,10.5521,26.676,3
934144,7298,128,4096,0,sequential,1000,7.926054,6.532,2.3239744289105744,5.322,5.8355,10.1,5.4699,10.486,27.862,3
1048576,8192,128,4096,0,sequential,1000,7.945646,6.866,2.23314704944131,5.356,5.874,10.086,5.496,10.4942,29.378,2
1176960,9195,128,4096,0,sequential,1000,8.10946,8.688,2.3494120671907393,5.346,5.832,10.146,5.468,10.548,25.244,3
1321088,10321,128,4096,0,sequential,1000,8.257252,9.921,2.388997206391868,5.246,5.87,10.1725,5.4618,10.5641,31.946,3
1482880,11585,128,4096,0,sequential,1000,8.431614,7.844,2.125253281026173,5.514,6.458,10.3925,5.9178,11.023299999999999,23.528,3
1664384,13003,128,4096,0,sequential,1000,8.282186,7.714,2.106120920254755,5.574,6.458,10.2085,5.8935,10.664,27.532,3
1868288,14596,128,4096,0,sequential,1000,8.373892,7.678,1.8666233661687426,5.904,6.8985,10.2745,6.3478,10.7201,24.022,4
2097152,16384,128,4096,0,sequential,1000,8.396486,9.962,3.10696779137806,5.2,5.7115,10.346499999999999,5.2839,10.57,65.502,4
2353920,18390,128,4096,0,sequential,1000,9.083612,8.487,1.6721859392039125,7.484,7.9975000000000005,10.176,7.7479000000000005,10.9869,28.516,11
2642176,20642,128,4096,0,sequential,1000,10.17699,9.948,1.1990676324073999,8.99,9.683499999999999,10.4345,9.4519,11.2601,33.996,19
2965760,23170,128,4096,0,sequential,1000,11.14269,11.003,1.148767082445223,10.394,10.83,11.264,10.6239,11.7244,32.656,24
3328896,26007,128,4096,0,sequential,1000,11.90876,11.59,1.4152938688255294,11.056,11.45,11.844,11.2919,13.5682,32.202,124
3736576,29192,128,4096,0,sequential,1000,11.92118,11.829,1.0127575136138864,11.336,11.7255,11.962,11.596,12.2181,31.63,35
4194304,32768,128,4096,0,sequential,1000,12.05721,11.968,0.9689708625301551,11.638,11.872,12.074,11.756,12.312199999999999,30.094,38
4707840,36780,128,4096,0,sequential,1000,12.006374,11.923,0.8552555630933962,11.566,11.822,12.042,11.7139,12.338199999999999,28.126,40
5284480,41285,128,4096,0,sequential,1000,12.120158,12.006,1.1465198431718426,11.542,11.896,12.152,11.767900000000001,12.472,32.862,30
5931520,46340,128,4096,0,sequential,1000,12.12029,11.981,1.0797034219540935,11.56,11.8835,12.0945,11.7459,12.414,26.43,53
6657920,52015,128,4096,0,sequential,1000,12.025754,11.9,1.3326244059341295,11.524,11.81,12.0185,11.684,12.3142,38.958,43
7473280,58385,128,4096,0,sequential,1000,12.137068,12.014,1.4511362416285274,11.662,11.907499999999999,12.1485,11.7738,12.3821,44.612,19
8388608,65536,128,4096,0,sequential,1000,12.055342,11.940999999999999,1.2873797690292115,11.52,11.849499999999999,12.058,11.73,12.2821,31.608,28
