stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,9975792,79806336,4096,sequential,1000,4.44794,3.857,1.2761311794589094,3.472,3.6334999999999997,4.3045,3.492,6.9,14.646,220
16,4987896,79806336,4096,sequential,1000,6.103422,6.716,1.307499522339078,3.674,4.9315,7.038,4.1438,7.382299999999999,23.502,2
24,3325264,79806336,4096,sequential,1000,6.9229,7.04,1.3717451230759607,3.866,6.129,7.842,4.5798,8.6287,24.488,3
32,2493948,79806336,4096,sequential,1000,7.861632,7.885,1.4808984370161098,3.886,7.0675,8.8305,5.1159,10.066,17.768,15
40,1995158,79806336,4096,sequential,1000,9.310806,9.488,1.7697292402929743,4.81,8.0695,10.5185,6.1935,11.8101,21.996,2
48,1662632,79806336,4096,sequential,1000,10.91149,11.301,2.3660744003450036,5.406,9.4255,12.3745,6.724,13.8582,36.578,6
56,1425113,79806336,4096,sequential,1000,12.12661,12.734,2.5819486894465844,5.002,10.6235,13.868500000000001,7.3378,15.386199999999999,25.232,12
64,1246974,79806336,4096,sequential,1000,13.27273,14.09,3.0155503695231376,5.55,11.128499999999999,15.482,7.7357000000000005,16.9402,24.102,3
72,1108421,79806336,4096,sequential,1000,14.730882,15.552,2.9500697540277976,6.658,13.019,16.7705,9.0654,18.244699999999998,26.118,9
80,997579,79806336,4096,sequential,1000,15.977408,16.797,3.3040840638574913,6.874,14.4055,18.2485,9.0739,19.7382,28.682,38
88,906890,79806336,4096,sequential,1000,16.524812,17.487000000000002,3.5577547987268408,7.286,14.543000000000001,18.919,9.3479,20.836,28.25,13
96,831316,79806336,4096,sequential,1000,17.355374,17.936,3.445232927110451,8.596,15.2635,19.740499999999997,10.6947,22.0646,29.504,6
104,767368,79806336,4096,sequential,1000,18.41144,19.027,3.436271479391592,9.846,16.388,20.9765,11.907,22.9641,30.692,3
112,712556,79806336,4096,sequential,1000,18.584778,19.348,3.7142854369344076,9.198,16.164,21.2395,11.511199999999999,23.496799999999997,33.308,2
120,665052,79806336,4096,sequential,1000,20.122388,20.642000000000003,4.04420736741907,10.256,17.7315,23.142,12.4989,25.1793,39.084,7
128,623487,79806336,4096,sequential,1000,22.454694,23.299999999999997,4.673252146416667,10.532,20.116500000000002,26.037,13.2878,28.3905,35.06,5
136,586811,79806336,4096,sequential,1000,22.031468,23.125999999999998,4.8006560701303815,10.71,19.009999999999998,25.566,13.1419,27.866699999999998,44.896,4
144,554210,79806336,4096,sequential,1000,22.15767,23.286,4.879267579792608,10.21,18.981,25.6895,13.075999999999999,28.459899999999998,37.84,3
152,525041,79806336,4096,sequential,1000,23.157284,24.631,5.495596159152207,10.172,19.9385,27.102,12.7535,30.0823,42.588,2
160,498789,79806336,4096,sequential,1000,23.517718,24.819000000000003,6.117615179460045,10.122,19.432000000000002,28.002499999999998,12.4433,31.6174,42.894,2
168,475037,79806336,4096,sequential,1000,24.394234,25.878999999999998,6.3059056462385525,11.018,19.7325,29.0985,13.1463,33.0667,39.234,0
176,453445,79806336,4096,sequential,1000,24.626438,25.34,6.004448673444385,11.602,20.7025,28.9725,13.9774,33.66,40.354,0
184,433730,79806336,4096,sequential,1000,24.66882,26.110999999999997,6.3949540104989335,11.008,19.924,29.6405,13.5029,33.16829999999999,41.634,0
192,415658,79806336,4096,sequential,1000,23.585896,24.4,6.489569175320136,10.606,18.467,28.918,12.8105,32.97239999999999,43.074,0
200,399031,79806336,4096,sequential,1000,23.50839,24.735,6.618904503671943,10.548,17.868000000000002,28.839,12.1899,32.4269,42.754,0
208,383684,79806336,4096,sequential,1000,23.357222,24.437,6.228659253709005,10.662,18.3985,28.044,12.848799999999999,32.93939999999999,37.89,0
216,369473,79806336,4096,sequential,1000,21.896948,23.096,6.8228615959620385,10.036,15.927,27.0945,11.074900000000001,32.0509,46.07,3
224,356278,79806336,4096,sequential,1000,20.401156,21.326999999999998,6.595682634350828,10.128,13.6385,25.7005,10.9194,30.3599,36.654,0
232,343992,79806336,4096,sequential,1000,19.345236,19.657,6.2987020955425725,9.872,12.959999999999999,24.5115,10.6465,29.302099999999996,39.732,0
