num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,65536,sequential,1000,28.002028,33.48,13.037460559213557,13.024,19.366,34.902,17.824,35.496,325.176,2
3,65536,sequential,1000,28.396408,13.814,434.74760337691515,8.866,8.916,17.556,8.886,25.644599999999997,13761.198,3
4,65536,sequential,1000,11.165378,11.622,3.846612007605271,6.176,7.0760000000000005,12.2925,6.5339,17.6082,29.354,3
5,65536,sequential,1000,8.040306,6.574999999999999,2.5788874894122555,6.168,6.194,11.6605,6.18,12.274099999999999,22.136,1
6,65536,sequential,1000,7.764356,9.528,2.1268187302107284,5.1,5.556,9.720500000000001,5.378,10.102,16.144,1
7,65536,sequential,1000,12.213792,12.112,0.7326476214888529,12.046,12.088,12.312,12.072,12.348,32.026,5
8,65536,sequential,1000,12.174794,12.104,0.4072277593828938,12.066,12.086,12.124,12.072,12.346,19.852,230
9,65536,sequential,1000,12.128908,12.096,0.5048561847727561,12.064,12.084,12.112,12.0719,12.124,23.07,6
10,65536,sequential,1000,12.124796,12.096,0.44358570610724446,12.062,12.082,12.11,12.07,12.122,20.032,8
11,65536,sequential,1000,12.17149,12.106,0.3596758410160608,12.066,12.086,12.124,12.072,12.346,18.406,230
12,65536,sequential,1000,12.173242,12.106,0.36266553700031623,12.066,12.086,12.126,12.072,12.346,18.49,235
13,65536,sequential,1000,23.170628,23.12,0.5716645572203878,23.066,23.092,23.148,23.078,23.164,32.752,11
14,65536,sequential,1000,23.201628,23.128,0.6618909284898965,23.068,23.096,23.156,23.078,23.352,36.636,127
15,65536,sequential,1000,23.171252,23.12,0.5717151062012081,23.072,23.094,23.148,23.078,23.164,33.694,13
16,65536,sequential,1000,23.173042,23.12,0.5740839613076041,23.068,23.092,23.15,23.078,23.164,30.992,13
17,65536,sequential,1000,23.2422,23.152,0.49626062770545337,23.072,23.108,23.316,23.08,23.374,30.008,10
18,65536,sequential,1000,23.178968,23.122,0.6457908243113747,23.066,23.092,23.148,23.078,23.164,32.908,15
19,65536,sequential,1000,23.686424,23.137,1.569833544545912,23.07,23.1,23.162,23.08,28.1282,31.574,226
20,65536,sequential,1000,23.230096,23.138,0.6077411456237631,23.066,23.102,23.2885,23.078,23.372,31.994,10
21,65536,sequential,1000,23.164255999999998,23.122,0.4689278022763715,23.068,23.094,23.15,23.078,23.166,30.562,12
22,65536,sequential,1000,23.24555,23.13,1.580553072033177,23.072,23.096,23.156,23.08,23.358,70.13,132
23,65536,sequential,1000,23.18917,23.13,0.47610486969463667,23.068,23.096,23.156,23.078,23.354,30.722,130
24,65536,sequential,1000,23.176616,23.122,0.5951754214736411,23.07,23.094,23.1485,23.078,23.164,32.612,13
25,65536,sequential,1000,23.18655,23.128,0.4587240491333033,23.07,23.096,23.156,23.078,23.354,29.89,128
26,65536,sequential,1000,23.667226,23.128,1.5870175921399743,23.072,23.096,23.156,23.078,28.132,31.476,109
27,65536,sequential,1000,23.167068,23.12,0.5026106931660774,23.072,23.094,23.148,23.078,23.164,29.992,11
28,65536,sequential,1000,23.377806,23.122999999999998,1.1413694768332674,23.064,23.094,23.152,23.078,23.209299999999967,32.22,50
29,65536,sequential,1000,23.16585,23.12,0.5020678815236618,23.07,23.092,23.148,23.078,23.164,31.288,12
30,65536,sequential,1000,23.178864,23.124,0.5337212829857096,23.068,23.094,23.152,23.078,23.3081,33.068,64
31,65536,sequential,1000,23.21591,23.138,0.5062041866466324,23.068,23.1,23.166,23.078,23.368,30.204,243
32,65536,sequential,1000,23.19069,23.128,0.493168408334292,23.07,23.098,23.158,23.08,23.3521,31.416,130
33,65536,sequential,1000,16.14838,16.106,0.528453076681605,16.064,16.088,16.126,16.074,16.14,25.304,12
34,65536,sequential,1000,16.14474,16.108,0.4958397295875327,16.062,16.088,16.126,16.074,16.14,24.92,7
35,65536,sequential,1000,16.208804,16.126,0.43771280319643613,16.066,16.096,16.3065,16.076,16.356,23.278,6
36,65536,sequential,1000,20.987446,20.966,1.0355973846177031,20.204,20.375500000000002,21.044,20.2779,21.2565,31.714,43
37,65536,sequential,1000,21.146078,20.76,1.2669170093674742,20.54,20.676,20.832,20.6199,24.546499999999998,33.408,109
38,65536,sequential,1000,20.09183,19.918,0.933420094154916,19.784,19.886,19.9585,19.8439,20.1781,33.246,162
39,65536,sequential,1000,21.115326,21.104,0.6237514180789937,20.426,21.046,21.156,20.5179,21.334,29.286,182
40,65536,sequential,1000,21.796214,21.691000000000003,0.65552037433261,21.59,21.662,21.724,21.624,21.918,30.688,149
