num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,65536,random,1000,21.074676,17.177999999999997,11.498084511189264,12.916,15.828,25.7505,13.9322,31.2244,322.812,5
3,65536,random,1000,29.097156,19.12,398.45449605636423,10.16,11.152,19.604,10.76,29.740799999999997,12615.622,3
4,65536,random,1000,11.038772,13.387,3.1242230403128426,7.132,7.7764999999999995,13.664,7.532,14.1862,29.834,3
5,65536,random,1000,7.820304,9.532,2.2760144457672804,5.1,5.5415,9.7325,5.378,10.094,26.944,3
6,65536,random,1000,7.967908,9.574,2.317121178119541,5.072,5.5535,9.784500000000001,5.358,10.134,29.746,3
7,65536,random,1000,12.145458,12.096,0.7643133265206732,12.038,12.082,12.11,12.07,12.122,27.738,9
8,65536,random,1000,12.158036,12.096,0.839785338118092,12.05,12.082,12.11,12.07,12.124,25.838,10
9,65536,random,1000,12.15314,12.096,0.9748956507903449,12.056,12.082,12.11,12.07,12.124,37.478,6
10,65536,random,1000,12.200448,12.106,0.7776773349746882,12.066,12.088,12.1265,12.072,12.348,27.422,233
11,65536,random,1000,12.180552,12.104,0.6936124231078112,12.064,12.086,12.122,12.072,12.344,25.59,172
12,65536,random,1000,12.169666,12.098,0.9919677234710857,12.06,12.084,12.112,12.072,12.126,30.164,25
13,65536,random,1000,23.238032,23.147,1.13324569126592,22.74,23.116,23.176499999999997,23.009800000000002,23.21,41.476,75
14,65536,random,1000,23.23712,23.142,0.9758134152702665,23.074,23.113500000000002,23.166,23.09,23.2021,34.962,33
15,65536,random,1000,23.306402,23.172,1.1236089833850311,23.076,23.134,23.262,23.104,23.406,41.104,12
16,65536,random,1000,23.255402,23.144,1.2517861218638315,23.074,23.114,23.17,23.094,23.2001,46.862,11
17,65536,random,1000,23.262384,23.168,1.062532881688218,23.084,23.138,23.194,23.108,23.24,39.0,17
18,65536,random,1000,23.263384,23.15,1.176050200722154,23.066,23.124,23.18,23.098,23.208099999999998,37.304,14
19,65536,random,1000,23.22751,23.142,0.9514915175701821,23.076,23.116,23.168,23.09,23.196,37.652,16
20,65536,random,1000,23.252056,23.156,1.0893106602703282,23.078,23.128,23.182,23.1,23.216,39.044,14
21,65536,random,1000,23.250982,23.145,1.2294050416491842,23.078,23.116,23.1685,23.092,23.2001,42.388,13
22,65536,random,1000,23.376456,23.172,2.770853736755965,23.084,23.138,23.208,23.105900000000002,23.4361,103.334,136
23,65536,random,1000,23.24369,23.15,1.0749998458458347,23.076,23.122,23.176,23.094,23.21,42.202,14
24,65536,random,1000,23.256522,23.15,1.0093754674799413,23.076,23.118,23.178,23.092,23.378,41.228,130
25,65536,random,1000,23.269388,23.164,0.9728976324666738,23.074,23.132,23.194,23.098,23.402,38.388,129
26,65536,random,1000,23.264432,23.146,1.3434880265389244,23.074,23.118,23.17,23.092,23.204,43.44,15
27,65536,random,1000,23.264796,23.166,1.1339871097808605,23.082,23.136,23.192,23.104,23.2341,40.39,13
28,65536,random,1000,23.270684,23.148,1.2795778098714885,23.078,23.12,23.176,23.096,23.208,40.676,17
29,65536,random,1000,23.255274,23.142,1.2624935829424921,23.076,23.114,23.168,23.092,23.198,41.788,17
30,65536,random,1000,23.270428,23.158,1.1811222369232384,23.082,23.13,23.184,23.102,23.2221,39.168,16
31,65536,random,1000,23.239826,23.15,1.0206019645748747,23.08,23.12,23.174,23.098,23.204,37.758,12
32,65536,random,1000,23.296218,23.172,1.1348405754147177,23.086,23.138,23.206,23.108,23.3861,39.552,132
33,65536,random,1000,16.282122,16.152,0.9809403983837046,16.068,16.124,16.338,16.094,16.392,37.132,7
34,65536,random,1000,26.096962,26.012,2.1024127401359336,20.46,25.026,27.0505,23.227800000000002,28.6497,46.47,38
35,65536,random,1000,23.930774,24.372999999999998,2.6150570548889225,20.378,20.988999999999997,25.798000000000002,20.734,27.592999999999996,40.516,8
36,65536,random,1000,24.28876,24.718,2.5203781542539287,20.464,21.677,25.797,20.77,27.649699999999996,49.71,7
37,65536,random,1000,25.111622,25.22,2.4500297211974287,20.334,24.051,26.38,20.5759,28.2384,45.056,53
38,65536,random,1000,22.90983,23.141,2.34382885655263,20.224,20.628,24.629,20.3739,26.2543,42.406,6
39,65536,random,1000,25.36177,25.375999999999998,2.0962688773881815,21.308,24.369,26.343,21.678,27.9355,42.794,20
40,65536,random,1000,24.0212,24.286,2.3085833589292646,21.308,21.6575,25.536,21.402,27.049199999999995,38.574,9
