num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,50331648,sequential,1000,23.03569,24.386,7.726462470381009,12.9,16.921,30.358,12.944,31.5322,69.26,3
3,50331648,sequential,1000,27.57572,10.209,442.41837643012593,8.882,8.924,17.6065,8.896,24.8247,14003.15,2
4,50331648,sequential,1000,9.889294,11.704,2.754475706551427,6.18,6.804,12.1705,6.566,12.354,36.846,1
5,50331648,sequential,1000,9.259768,10.049,2.618897464603398,5.078,6.708,11.77,5.566,12.2861,22.822,2
6,50331648,sequential,1000,8.074,9.608,2.210777237080207,5.084,5.5695,10.036,5.38,10.1401,19.788,2
7,50331648,sequential,1000,7.854162,9.568,2.166421255160411,5.086,5.566,9.784,5.376,10.114,16.904,1
8,50331648,sequential,1000,8.494476,9.698,2.2212709790086813,5.082,5.588,10.102,5.4358,10.158,24.94,3
9,50331648,sequential,1000,7.796508,9.529,2.2274509070862774,5.104,5.55,9.778500000000001,5.3739,10.1061,23.408,3
10,50331648,sequential,1000,8.813362,8.608,0.6298054523929305,8.568,8.592,8.982,8.578,9.3161,19.814,27
11,50331648,sequential,1000,12.44354,11.486,2.492697038736743,11.428,11.46,11.714,11.438,16.4861,63.868,179
12,50331648,sequential,1000,11.60773,11.524,0.5509992407102421,11.48,11.504,11.6345,11.49,11.764,23.51,18
13,50331648,sequential,1000,22.701562,22.604,0.6761379494472135,22.458,22.566,22.76,22.54,22.832,32.498,9
14,50331648,sequential,1000,22.684054,22.62,0.7122071103633071,22.566,22.594,22.648,22.578,22.664,32.724,12
15,50331648,sequential,1000,22.739624,22.66,0.6853423149877095,22.6,22.63,22.688,22.61,22.886,32.726,130
16,50331648,sequential,1000,22.781058,22.697000000000003,0.7630887793180562,22.632,22.666,22.726,22.642,22.9181,36.598,131
17,50331648,sequential,1000,22.8673,22.744,0.7966885757224631,22.652,22.7,22.912,22.67,22.964,34.46,9
18,50331648,sequential,1000,34.519232,32.38,4.52854112478786,31.962,32.29,32.5745,32.1979,44.68039999999999,59.876,204
19,50331648,sequential,1000,42.95385,42.429,2.1368969254435206,40.814,42.004,42.6865,41.679899999999996,48.5621,65.058,123
20,50331648,sequential,1000,53.553866,53.744,2.6776743293122593,47.588,52.0035,55.2805,49.481,56.7503,70.106,14
21,50331648,sequential,1000,59.847228,59.620999999999995,2.2635967065857967,54.034,58.944,60.997,55.9958,62.6432,77.746,78
22,50331648,sequential,1000,64.23298,63.669,2.688633323595605,56.046,61.877,66.4025,61.3759,67.1732,80.432,10
23,50331648,sequential,1000,66.72206,65.935,2.717396253548385,64.17,65.33749999999999,66.7655,64.72579999999999,71.3959,87.616,119
24,50331648,sequential,1000,71.95042,71.722,1.9388865445488637,66.78,71.18,72.46350000000001,70.1695,75.2067,84.08,111
25,50331648,sequential,1000,81.80176,82.429,3.9810756950967523,68.76,82.162,82.7305,69.1956,83.87660000000001,103.792,150
26,50331648,sequential,1000,78.744336,77.777,2.529593730927468,76.594,77.3295,78.3185,76.934,82.9024,94.986,189
27,50331648,sequential,1000,78.604382,78.014,2.6365796590231017,76.704,77.74,78.26750000000001,77.3858,82.35629999999999,133.126,122
28,50331648,sequential,1000,78.496894,78.263,1.3939960106261575,76.898,77.998,78.5645,77.615,79.5711,96.79,64
29,50331648,sequential,1000,78.247104,77.95,1.530621225032019,77.158,77.712,78.2865,77.4815,79.00229999999999,93.202,39
30,50331648,sequential,1000,78.794832,78.432,2.2911631160177577,77.276,78.076,78.6365,77.6815,79.4738,100.09,50
31,50331648,sequential,1000,79.085834,78.63900000000001,2.2322527528926464,77.604,78.3895,78.852,77.9919,80.41919999999979,98.152,60
32,50331648,sequential,1000,78.602074,78.23,1.7916699650850287,77.258,78.0035,78.6145,77.7839,79.3648,99.122,38
33,50331648,sequential,1000,79.396518,78.318,3.595602723135388,77.136,78.072,78.678,77.8279,91.0607,115.566,102
34,50331648,sequential,1000,78.899254,78.458,2.087552736558268,77.438,78.182,78.708,77.948,82.00049999999996,91.11,59
35,50331648,sequential,1000,78.712482,78.505,2.0294197131318223,77.258,78.15899999999999,78.742,77.728,79.1461,117.412,30
36,50331648,sequential,1000,78.62081,78.39,1.4018677073707664,77.452,78.11699999999999,78.6425,77.8458,79.3545,92.442,48
37,50331648,sequential,1000,78.609514,78.42,1.4164744769136322,77.328,78.1415,78.612,77.7539,79.315,92.394,54
38,50331648,sequential,1000,78.78953,78.364,1.8023906644252259,76.934,77.965,78.788,77.48179999999999,82.15700000000001,97.128,95
39,50331648,sequential,1000,78.526858,78.291,1.5468820898943902,77.398,77.951,78.586,77.6599,79.306,94.642,42
40,50331648,sequential,1000,79.66733,78.41,3.783786145211261,77.204,78.062,78.8145,77.6978,90.9962,103.32,152
