footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6291456,196608,32,4096,0,random,1000,146.660588,146.07,6.651285123346319,128.466,141.96499999999997,150.664,136.938,159.07680000000002,173.902,17
7061920,220685,32,4096,0,random,1000,168.08337,168.335,6.46575913070045,146.732,164.16750000000002,172.399,156.9497,178.42249999999999,190.638,13
7926720,247710,32,4096,0,random,1000,180.303238,179.899,6.075213806785252,159.84,176.115,184.1955,170.9431,190.83409999999998,201.384,11
8897440,278045,32,4096,0,random,1000,184.926066,184.401,5.67519102557974,169.9,181.01749999999998,188.286,176.4017,194.67079999999999,209.87,16
9987040,312095,32,4096,0,random,1000,138.753174,118.895,36.95499778464324,97.06,107.662,175.2185,101.71849999999999,201.72899999999998,217.298,0
11210080,350315,32,4096,0,random,1000,63.482902,61.561,5.03274782728969,57.91,59.986,65.0385,58.9776,74.72829999999999,82.21,88
12582912,393216,32,4096,0,random,1000,60.79091,60.216,2.31597815073776,58.284,59.6675,61.315,59.0798,64.057,107.288,58
14123840,441370,32,4096,0,random,1000,61.067156,60.897000000000006,1.4272786848082992,59.172,60.5595,61.230000000000004,60.043299999999995,61.7545,74.75,30
15853472,495421,32,4096,0,random,1000,61.322608,61.165,1.3569389705162522,59.492,60.818,61.4915,60.3298,62.0921,78.332,27
17794912,556091,32,4096,0,random,1000,62.109108,61.922,1.5293691635358593,59.85,61.462,62.4285,60.8975,63.1053,75.646,23
19974112,624191,32,4096,0,random,1000,62.001004,61.798,1.5296297562401087,60.122,61.4915,62.141,61.098,62.5882,80.314,28
22420192,700631,32,4096,0,random,1000,62.41243,62.202,1.5309204265579752,60.568,61.932,62.5185,61.4817,63.008300000000006,75.828,26
25165824,786432,32,4096,0,random,1000,62.470292,62.191,2.1559480463857925,60.732,61.924,62.5265,61.5537,63.0162,99.17,26
28247680,882740,32,4096,0,random,1000,62.798244,62.613,1.3977632254779413,61.306,62.332,62.8945,61.9357,63.3523,75.848,30
31706944,990842,32,4096,0,random,1000,62.96228,62.769000000000005,1.5439668193128824,61.43,62.4935,63.0265,62.1199,63.4705,83.092,28
35589824,1112182,32,4096,0,random,1000,63.566556,63.372,1.5301321783909214,62.11,63.043499999999995,63.687,62.6599,64.2423,83.264,25
39948224,1248382,32,4096,0,random,1000,63.368604,63.153999999999996,1.681110056541869,61.732,62.9,63.420500000000004,62.521699999999996,63.8746,87.532,36
44840384,1401262,32,4096,0,random,1000,63.712022,63.502,1.372272625856712,62.27,63.229,63.8025,62.859899999999996,64.4303,76.57,35
50331648,1572864,32,4096,0,random,1000,68.296522,68.063,2.6527562630794614,63.66,67.02550000000001,69.001,65.7815,70.66149999999999,122.702,33
56495360,1765480,32,4096,0,random,1000,82.152664,82.053,3.5652944646583857,73.364,79.792,84.2655,76.54350000000001,87.9061,101.778,14
63413888,1981684,32,4096,0,random,1000,105.112062,104.73599999999999,5.578773273704121,90.76,100.568,109.167,97.2582,114.4132,135.14,4
71179680,2224365,32,4096,0,random,1000,154.71773,154.43099999999998,4.805275190533498,140.784,151.317,157.572,147.5951,163.8901,178.798,16
79896480,2496765,32,4096,0,random,1000,185.48351,181.989,9.93501450653924,167.834,177.66699999999997,194.8085,173.0164,202.2395,222.28,1
89680800,2802525,32,4096,0,random,1000,205.037568,204.971,5.68479636320133,188.34,201.043,208.84900000000002,195.83,214.7393,224.184,6
100663296,3145728,32,4096,0,random,1000,225.387444,224.73000000000002,5.418856050104648,212.706,222.1755,228.067,218.41379999999998,233.9141,283.186,28
112990720,3530960,32,4096,0,random,1000,234.59556,234.152,4.363573705792752,223.006,231.518,237.3415,227.835,242.3024,252.036,16
126827776,3963368,32,4096,0,random,1000,241.399792,240.969,4.892056306671423,225.504,238.3575,244.03549999999998,234.3888,249.0707,289.626,27
142359392,4448731,32,4096,0,random,1000,249.3344,249.113,5.410786917174161,234.202,245.659,252.494,241.1008,257.96040000000005,289.844,17
159792992,4993531,32,4096,0,random,1000,265.715868,265.549,4.836580847755249,252.372,262.7365,268.217,258.1631,274.7159,286.174,40
179361600,5605050,32,4096,0,random,1000,299.543898,284.791,38.669552199073536,247.664,271.35749999999996,332.4945,255.598,372.6108,434.328,1
201326592,6291456,32,4096,0,random,1000,296.631628,291.504,20.113693143963033,272.634,286.37850000000003,298.64099999999996,280.0844,342.7822,413.258,81
