num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,6.347844,6.3,0.831905496086195,6.29,6.298,6.3,6.298,6.348,26.976,191
3,32768,sequential,1000,9.367588,6.3,96.13034958507956,6.29,6.298,6.3,6.298,6.348,3046.19,226
4,32768,sequential,1000,24.993028,6.3,589.8741930530316,6.286,6.298,6.3,6.298,6.348,18659.788,213
5,32768,sequential,1000,5.728246,5.69,0.6374415826216981,5.682,5.69,5.69,5.688,5.734,18.788,446
6,32768,sequential,1000,5.6621060000000005,5.69,1.3712176160312828,5.18,5.688,5.69,5.186,5.706,37.83,354
7,32768,sequential,1000,5.20808,5.188,0.37277007273536206,5.18,5.188,5.188,5.186,5.23,13.856,431
8,32768,sequential,1000,5.209222,5.188,0.38554916531471684,5.18,5.188,5.188,5.186,5.232,13.98,433
9,32768,sequential,1000,13.87903,13.81,0.8414723874726246,13.614,13.808,13.814,13.8,13.824,25.574,97
10,32768,sequential,1000,16.007078,15.81,1.0785380244507776,15.802,15.808,15.8245,15.808,16.2741,39.89,236
11,32768,sequential,1000,15.877274,15.81,0.7570033784858817,15.804,15.808,15.81,15.808,15.824,26.224,92
12,32768,sequential,1000,15.876468000000001,15.81,0.7410911989365015,15.804,15.808,15.81,15.808,15.826,26.196,101
13,32768,sequential,1000,15.86962,15.81,0.6679592990783385,15.804,15.808,15.81,15.808,15.826,25.92,96
14,32768,sequential,1000,15.981716,15.81,1.268161564272115,15.804,15.808,15.812,15.808,16.274,47.702,240
15,32768,sequential,1000,15.861982,15.738,1.2316484992487515,15.734,15.738,15.74,15.736,16.2001,47.648,145
16,32768,sequential,1000,15.805662,15.738,0.74469000057269,15.732,15.736,15.738,15.736,15.758,24.904,106
17,32768,sequential,1000,16.078998,15.74,1.7668678926694397,15.732,15.738,16.2,15.736,16.204,48.064,11
18,32768,sequential,1000,16.25391,16.2,0.6232780819726196,16.188,16.2,16.202,16.198,16.222,24.402,100
19,32768,sequential,1000,16.334826,16.274,0.6655729539885775,16.27,16.274,16.274,16.272,16.296,25.952,348
20,32768,sequential,1000,17.913924,17.848,0.7112627650488565,17.844,17.848,17.85,17.848,17.874,27.626,104
21,32768,sequential,1000,17.925082,17.85,0.7827705736977132,17.844,17.848,17.85,17.848,17.874,28.148,102
22,32768,sequential,1000,16.597048,16.206,1.1859883363802655,16.196,16.202,16.2185,16.2,17.774,37.662,200
23,32768,sequential,1000,16.335114,16.274,0.711901222329583,16.27,16.274,16.274,16.272,16.296,25.942,330
24,32768,sequential,1000,16.272972,16.216,0.6781409841695238,16.194,16.202,16.22,16.2,16.226,24.786,9
25,32768,sequential,1000,16.203148,15.81,2.189172071001376,15.804,15.808,16.274,15.808,16.278,48.238,13
26,32768,sequential,1000,16.293428,16.272,2.3567595066506444,15.804,15.81,16.274,15.808,16.2921,48.564,14
27,32768,sequential,1000,16.136176,15.756,2.10720718562441,15.736,15.754,16.218,15.752,16.222,48.004,13
28,32768,sequential,1000,15.948456,15.738,1.4881089275467185,15.734,15.738,15.758,15.736,16.206,47.844,187
29,32768,sequential,1000,15.804256,15.738,0.6960653312796217,15.732,15.736,15.742,15.736,15.76,24.398,213
30,32768,sequential,1000,16.404646,16.218,1.932821067756652,15.75,16.218,16.22,15.756,16.248,49.13,199
31,32768,sequential,1000,16.273772,16.202,0.7614184723961627,16.196,16.2,16.206,16.198,16.224,25.52,238
32,32768,sequential,1000,19.848216,19.762,0.843368512449802,19.756,19.76,19.764,19.76,19.788,30.408,92
33,32768,sequential,1000,19.888488,19.762,1.5523740873781562,19.756,19.76,19.764,19.76,19.788,61.226,96
34,32768,sequential,1000,19.76724,19.674,0.883130535052402,19.666,19.672,19.692,19.67,19.7021,31.518,20
35,32768,sequential,1000,18.396364,17.85,2.0815420853196693,17.844,17.848,17.872,17.848,19.764,54.306,202
36,32768,sequential,1000,16.334822,16.274,0.7065276878436468,16.27,16.274,16.276,16.272,16.296,26.288,99
37,32768,sequential,1000,16.340068,16.274,0.7711158973222527,16.27,16.274,16.274,16.272,16.296,27.994,373
38,32768,sequential,1000,16.352454,16.274,0.8739117527734913,16.27,16.274,16.276,16.272,16.296,30.12,96
39,32768,sequential,1000,16.345532,16.274,0.782311385626005,16.27,16.274,16.276,16.272,16.296,27.516,104
40,32768,sequential,1000,16.283538,15.832,2.478236608405913,15.804,15.81,16.274,15.808,16.284399999999998,48.26,14
