num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,5.214176,5.188,0.512541475187899,5.18,5.188,5.188,5.186,5.228,18.194,452
3,32768,sequential,1000,5.208864,5.188,0.3999315726055731,5.182,5.188,5.188,5.186,5.228,14.632,403
4,32768,sequential,1000,4.92063,4.768,0.837864002799492,4.76,4.766,5.186,4.766,5.19,27.282,3
5,32768,sequential,1000,5.08633,5.04,1.043350097774724,5.032,5.04,5.046,5.038,5.08,36.33,79
6,32768,sequential,1000,34.69952,5.038,939.8024151984748,4.76,4.768,5.04,4.766,5.052,29724.12,4
7,32768,sequential,1000,13.239326,6.388,216.4212079864449,6.212,6.292,6.452,6.222,6.574,6850.224,3
8,32768,sequential,1000,6.434742,6.38,1.3506760897177885,6.028,6.038,6.4,6.028,6.766,38.088,7
9,32768,sequential,1000,11.924276,11.85,0.6767576499314513,11.668,11.846,11.896,11.8079,11.954,21.226,26
10,32768,sequential,1000,14.397024,14.237,1.1319844045374987,13.976,14.196,14.452,14.1899,14.454,43.032,7
11,32768,sequential,1000,14.346154,14.282,0.7139225740412791,14.194,14.216,14.362,14.208,14.396,23.916,7
12,32768,sequential,1000,14.532238,14.511,0.765831185549897,14.2,14.418,14.536,14.354,14.536,25.932,18
13,32768,sequential,1000,14.512402,14.415,0.7113968342998526,14.322,14.398,14.538,14.336,14.558,23.998,7
14,32768,sequential,1000,14.746386,14.59,1.4020128069725022,14.256,14.414,14.594,14.412,15.426,46.798,178
15,32768,sequential,1000,14.8494,14.602,1.578081446900968,14.476,14.488,14.62,14.48,15.452,46.784,213
16,32768,sequential,1000,14.68714,14.638,0.6979581577644823,14.43,14.636,14.638,14.5652,14.64,24.18,105
17,32768,sequential,1000,14.661928,14.576,0.7966337050841347,14.48,14.552,14.658,14.494,14.66,25.804,7
18,32768,sequential,1000,15.566877999999999,15.514,0.710323002502301,15.32,15.512,15.514,15.4679,15.518,25.486,132
19,32768,sequential,1000,15.521998,15.448,0.7832093391072816,15.356,15.436,15.526,15.366,15.53,26.014,8
20,32768,sequential,1000,15.59013,15.808,1.0681529187142436,14.952,14.956,15.81,14.954,15.828,36.446,8
21,32768,sequential,1000,15.018244000000001,14.954,0.7421980587568404,14.952,14.954,14.956,14.954,14.9741,25.482,89
22,32768,sequential,1000,15.007632000000001,14.954,0.6182496592940567,14.95,14.954,14.956,14.954,14.974,23.838,90
23,32768,sequential,1000,15.149702,14.898,1.472654050736,14.884,14.896,14.902,14.89,15.75,46.702,201
24,32768,sequential,1000,15.215486,14.954,1.4930290189595967,14.95,14.954,14.958,14.954,15.81,47.018,231
25,32768,sequential,1000,15.214568,14.954,1.4565294653591665,14.952,14.954,14.958,14.954,15.81,47.106,243
26,32768,sequential,1000,15.01257,14.954,0.6774080252940119,14.95,14.954,14.956,14.954,14.976,25.64,89
27,32768,sequential,1000,15.019056,14.954,0.7618311673800118,14.95,14.954,14.956,14.954,14.974,28.214,93
28,32768,sequential,1000,15.014252,14.954,0.6974591958142252,14.95,14.954,14.956,14.954,14.976,24.938,91
29,32768,sequential,1000,15.89285,15.81,0.9740652691933168,15.806,15.808,15.81,15.808,15.83,35.56,94
30,32768,sequential,1000,15.016154,14.954,0.7151727374056762,14.95,14.954,14.956,14.954,14.974,24.392,91
31,32768,sequential,1000,15.398724,14.956,1.8823032011780578,14.952,14.954,15.808,14.954,15.812,47.08,12
32,32768,sequential,1000,15.204854000000001,14.954,1.4504363068277644,14.95,14.954,14.958,14.954,15.81,47.292,232
33,32768,sequential,1000,15.205314,14.954,1.4456013366860965,14.95,14.954,14.958,14.954,15.81,47.404,235
34,32768,sequential,1000,15.018134,14.954,0.7481158248101234,14.95,14.954,14.956,14.954,14.974,26.18,90
35,32768,sequential,1000,15.012864,14.954,0.6787859248952027,14.95,14.954,14.956,14.954,14.976,24.974,93
36,32768,sequential,1000,14.96487,14.904,0.7770377305734483,14.884,14.902,14.904,14.886,14.924,29.384,280
37,32768,sequential,1000,14.950322,14.888,0.6942488327377712,14.882,14.886,14.902,14.886,14.908,26.13,19
38,32768,sequential,1000,15.02305,14.954,0.7483617004729296,14.952,14.954,14.956,14.954,14.976,25.12,92
39,32768,sequential,1000,15.061014,14.904,1.2292230803174766,14.9,14.904,14.906,14.902,15.756,47.218,167
40,32768,sequential,1000,15.206502,14.954,1.4591651403809314,14.952,14.954,14.958,14.954,15.81,47.202,232
