size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,15.656754,14.906,2.4893489296556193,14.86,14.896,14.944,14.876,17.892,52.32,219
1112,139,random,1000,6.1238399999999995,6.082,0.6586938560484651,6.066,6.082,6.09,6.08,6.1301,20.902,75
1216,152,random,1000,4.82015,4.768,1.0488681107812432,4.76,4.766,4.768,4.766,4.804,36.24,184
1328,166,random,1000,4.78386,4.768,0.30536818126014065,4.76,4.766,4.768,4.766,4.806,12.224,152
1448,181,random,1000,4.787406,4.768,0.39609723071511144,4.76,4.766,4.768,4.766,4.8041,15.586,157
1576,197,random,1000,4.783816,4.768,0.3106070876636702,4.76,4.766,4.768,4.766,4.804,12.876,160
1720,215,random,1000,4.7882679999999995,4.768,0.40841625336415294,4.76,4.766,4.768,4.766,4.804,15.394,166
1872,234,random,1000,4.7833,4.768,0.2880741583702376,4.76,4.766,4.768,4.766,4.8041,11.918,173
2048,256,random,1000,4.788002,4.768,0.32305110123633696,4.76,4.766,4.768,4.766,4.806,10.788,163
2232,279,random,1000,4.781886,4.768,0.25948306006840305,4.76,4.766,4.768,4.766,4.804,10.646,171
2432,304,random,1000,4.817258,4.802,0.3106902861209051,4.788,4.798,4.806,4.792,4.8321,12.738,60
2656,332,random,1000,4.810454,4.796,0.2774305924328058,4.782,4.792,4.8,4.788,4.83,11.572,64
2896,362,random,1000,4.843512,4.796,1.0067467033870936,4.78,4.792,4.8,4.786,4.828,34.53,69
3152,394,random,1000,4.808492,4.794,0.2674411237837044,4.778,4.79,4.8,4.784,4.826,11.192,64
3440,430,random,1000,4.811474,4.792,0.3204967730032637,4.776,4.788,4.798,4.78,4.8201,11.086,62
3752,469,random,1000,4.840344,4.79,0.9929888320039075,4.776,4.786,4.796,4.782,4.8221,34.432,67
4096,512,random,1000,4.808936,4.79,0.3113349536389343,4.774,4.786,4.794,4.7819,4.82,10.662,63
4464,558,random,1000,4.806554,4.788,0.37460414486408095,4.768,4.784,4.7924999999999995,4.778,4.8201,14.27,66
4864,608,random,1000,4.840498,4.786,1.09064062870268,4.772,4.782,4.792,4.778,4.818,35.858,64
5312,664,random,1000,4.796818,4.786,0.2704646187322585,4.77,4.782,4.79,4.778,4.818,13.334,70
5792,724,random,1000,4.79966,4.784,0.29241306023807795,4.766,4.78,4.79,4.774,4.816,11.504,66
6312,789,random,1000,4.81668,4.7829999999999995,0.6028236275445132,4.764,4.778,4.788,4.774,4.816,18.454,65
6888,861,random,1000,4.808328,4.792,0.31043330564430943,4.776,4.788,4.798,4.784,4.822,12.512,61
7512,939,random,1000,4.805378,4.79,0.2869840848914465,4.774,4.786,4.796,4.782,4.822,11.91,66
8192,1024,random,1000,4.808814,4.788,0.4001800163044745,4.774,4.7855,4.794,4.78,4.822,14.986,65
8928,1116,random,1000,4.8137,4.788,0.44118762053860544,4.772,4.784,4.792,4.778,4.822,14.69,66
9736,1217,random,1000,4.803592,4.788,0.3341182613215694,4.768,4.782,4.792,4.776,4.816,12.682,65
10624,1328,random,1000,4.806268,4.792,0.2758606228863758,4.776,4.788,4.798,4.782,4.824,11.542,65
11584,1448,random,1000,4.812488,4.79,0.3689214345641642,4.774,4.786,4.796,4.78,4.824,12.242,65
12632,1579,random,1000,4.802522,4.788,0.2642070871511604,4.772,4.784,4.794,4.778,4.818,10.76,65
13776,1722,random,1000,4.804472,4.788,0.3376376880983881,4.77,4.782,4.792,4.778,4.82,13.678,63
15024,1878,random,1000,4.806796,4.792,0.29329162681938664,4.772,4.786,4.796,4.782,4.822,11.366,64
16384,2048,random,1000,4.804652,4.788,0.3055552632747715,4.774,4.784,4.794,4.78,4.822,12.272,64
17864,2233,random,1000,4.810466,4.788,0.37038535088762914,4.766,4.782,4.794,4.776,4.82,12.27,62
19480,2435,random,1000,4.805162,4.79,0.29315575732714866,4.766,4.782,4.8,4.774,4.818,11.89,31
21240,2655,random,1000,4.811028,4.788,0.34390629938801465,4.77,4.784,4.796,4.776,4.824,11.182,66
23168,2896,random,1000,4.820154,4.79,0.4754972954307542,4.77,4.786,4.796,4.78,4.824,14.024,87
25264,3158,random,1000,4.931586,4.796,1.098032544177117,4.76,4.786,5.056,4.778,5.076,36.218,3
27552,3444,random,1000,4.856516,4.834,0.4483846903882587,4.794,4.824,4.844,4.808,4.864,15.038,22
30048,3756,random,1000,4.83574,4.816,0.336494209092449,4.782,4.806,4.83,4.79,4.854,12.752,24
32768,4096,random,1000,4.939334,4.916,0.42745265494112467,4.826,4.898,4.936,4.874,4.968,14.432,14
35728,4466,random,1000,5.329378,5.316,0.30890727544171054,5.208,5.288,5.34,5.252,5.378,12.27,10
38968,4871,random,1000,5.76833,5.752,0.36158907306189125,5.632,5.706,5.788,5.656,5.834,12.554,7
42488,5311,random,1000,6.236852,6.22,0.3839260258035255,6.036,6.1795,6.26,6.11,6.308,14.012,10
46336,5792,random,1000,6.528414,6.512,0.3545688419301217,6.352,6.468,6.55,6.394,6.616,13.01,6
50528,6316,random,1000,6.853316,6.843,0.36542644215851244,6.66,6.786,6.882,6.708,6.9481,13.726,5
55104,6888,random,1000,7.122074,7.102,0.35641201445524817,6.852,7.028,7.154,6.914,7.352,13.34,64
60096,7512,random,1000,7.392396,7.364,0.4340359044484112,7.216,7.296,7.412,7.258,7.522,15.024,8
65536,8192,random,1000,7.602894,7.574,0.5398878509983862,7.416,7.518,7.63,7.472,7.676,18.754,4
71464,8933,random,1000,7.807922,7.776,0.5542058516851315,7.554,7.714,7.848,7.626,7.9,18.244,5
77936,9742,random,1000,8.013998,7.986,0.4104733613480616,7.858,7.942,8.04,7.8879,8.0981,16.224,4
84984,10623,random,1000,8.127662,8.081,0.6155401363155902,7.914,8.028,8.14,7.976,8.2621,22.626,15
92680,11585,random,1000,8.273354,8.254,0.54973510290627,8.096,8.218,8.282,8.14,8.3141,21.692,27
101064,12633,random,1000,8.463184,8.422,0.6304084239006684,8.234,8.378,8.468,8.312,8.53,22.04,8
110216,13777,random,1000,8.589232,8.556,0.5817524061299945,8.414,8.5115,8.594,8.46,8.6621,22.244,8
120192,15024,random,1000,8.735822,8.654,1.3673101028052246,8.434,8.58,8.714,8.512,8.7681,41.012,7
131072,16384,random,1000,8.782604,8.75,0.6185662740720831,8.546,8.708,8.782,8.6219,8.826,22.492,34
142928,17866,random,1000,8.899832,8.87,0.5131449322535472,8.734,8.8255,8.91,8.774,8.962,18.988,4
155872,19484,random,1000,8.93672,8.905000000000001,0.4601394418064006,8.782,8.864,8.944500000000001,8.8259,9.01,18.318,12
169976,21247,random,1000,9.067234,9.048,0.4482193188627659,8.878,8.988,9.094,8.9259,9.142,17.922,4
185360,23170,random,1000,9.14125,9.096,0.6109751321552392,8.992,9.064,9.13,9.026,9.2,21.428,29
202136,25267,random,1000,9.174984,9.142,0.4527648702933696,8.994,9.1,9.19,9.054,9.246,16.946,8
220432,27554,random,1000,9.384867999999999,9.346,0.6451653345344004,9.19,9.308,9.386,9.252,9.438,23.874,10
240384,30048,random,1000,9.400806,9.362,0.5412477579625614,9.22,9.322,9.402,9.27,9.468,19.028,6
262144,32768,random,1000,9.446544,9.418,0.4448145726795246,9.252,9.3795,9.458,9.322,9.524,18.754,15
285864,35733,random,1000,9.983636,9.882,1.450131736621731,9.7,9.83,9.928,9.756,10.014199999999999,42.126,37
311744,38968,random,1000,10.341724,10.298,0.643438333263346,10.078,10.246,10.3505,10.148,10.448,24.15,14
339952,42494,random,1000,10.731116,10.698,0.5439934663536277,10.464,10.625499999999999,10.756,10.5599,10.832,19.942,5
370728,46341,random,1000,11.093948,11.046,0.5668167097735197,10.846,10.996,11.106,10.932,11.1861,20.274,9
404280,50535,random,1000,11.409746,11.374,0.4919217564801322,11.116,11.32,11.438500000000001,11.238,11.528,20.37,10
440872,55109,random,1000,11.69242,11.668,0.4829616501913538,11.374,11.604,11.728,11.482,11.806,20.504,10
480768,60096,random,1000,11.97885,11.939,0.5155076076971062,11.688,11.888,11.998,11.792,12.0821,21.188,18
524288,65536,random,1000,12.222104,12.186,0.4685952140799762,11.91,12.122,12.252,12.03,12.3361,19.338,10
571736,71467,random,1000,12.65296,12.442,1.3850687108348574,12.164,12.375499999999999,12.5525,12.288,13.216199999999999,44.86,195
623480,77935,random,1000,12.78085,12.73,0.6108409221164969,12.484,12.657499999999999,12.814,12.568,12.930499999999999,25.352,11
679912,84989,random,1000,12.87168,12.836,0.6000222231453334,12.564,12.764,12.892,12.6638,12.986,24.93,11
741448,92681,random,1000,13.53201,13.478,0.6785112035577255,13.05,13.37,13.592,13.218,13.756,26.268,16
808560,101070,random,1000,13.880844,13.784,0.7748992789753754,13.308,13.648,13.95,13.492,14.3448,26.436,44
881744,110218,random,1000,15.1228,15.043,0.7894838901540758,14.082,14.8415,15.288,14.5419,15.7102,27.564,19
961544,120193,random,1000,15.866584,15.736,1.4298903445164395,14.7,15.52,15.9805,15.2218,16.4641,49.052,29
