size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
120192,15024,sequential,1000,9.89211,9.402,8.59868027911507,9.344,9.388,9.8825,9.37,9.934,277.952,7
121936,15242,sequential,1000,12.396422,9.375,144.42832918394086,4.802,4.826,9.394,4.812,9.426,4574.166,4
123712,15464,sequential,1000,4.8381039999999995,4.824,0.2731648590580864,4.802,4.818,4.83,4.812,4.852,11.392,54
125512,15689,sequential,1000,4.84221,4.82,0.476110105682218,4.79,4.814,4.826,4.804,4.85,16.234,64
127336,15917,sequential,1000,4.840566,4.818,0.37374871202954496,4.79,4.812,4.826,4.804,4.8441,12.686,47
129192,16149,sequential,1000,4.8676639999999995,4.818,1.0116142320363324,4.786,4.812,4.826,4.804,4.848,33.918,57
131064,16383,sequential,1000,4.832292,4.82,0.2596317611298498,4.796,4.814,4.826,4.804,4.846,10.726,65
132976,16622,sequential,1000,4.842802,4.82,0.3792412434278697,4.796,4.814,4.828,4.808,4.85,13.548,51
134912,16864,sequential,1000,4.830672,4.816,0.2634247615943137,4.79,4.812,4.824,4.804,4.846,10.766,62
136872,17109,sequential,1000,4.841716,4.818,0.4885593941637246,4.792,4.812,4.824,4.804,4.846,16.908,66
138864,17358,sequential,1000,4.847888,4.822,0.47475151443303104,4.79,4.816,4.828,4.808,4.8461,14.82,53
140880,17610,sequential,1000,4.834598,4.82,0.2745045120268939,4.788,4.814,4.826499999999999,4.806,4.848,11.418,57
142928,17866,sequential,1000,4.84129,4.82,0.3435943494543776,4.792,4.814,4.828,4.808,4.8481,11.542,51
145008,18126,sequential,1000,4.834134,4.822,0.25069205122729465,4.796,4.816,4.828,4.808,4.85,10.508,54
147120,18390,sequential,1000,4.835334,4.82,0.29388145697671153,4.798,4.814,4.828,4.806,4.848,12.218,49
149256,18657,sequential,1000,4.838004,4.818,0.32215603749812993,4.796,4.812,4.824,4.804,4.848,10.882,66
151432,18929,sequential,1000,4.833384,4.818,0.2816815027881899,4.796,4.814,4.826,4.806,4.8481,11.43,68
153632,19204,sequential,1000,4.844012,4.824,0.323842211012761,4.798,4.82,4.832,4.812,4.852,11.382,60
155864,19483,sequential,1000,4.832006,4.818,0.251763597195609,4.784,4.814,4.826,4.806,4.85,10.524,66
158136,19767,sequential,1000,4.838182,4.818,0.3185284402423797,4.79,4.812,4.826,4.804,4.8481,11.09,53
160432,20054,sequential,1000,4.833742,4.82,0.25247395218622565,4.794,4.816,4.828,4.808,4.848,10.564,55
162768,20346,sequential,1000,4.834786,4.82,0.2657153945010994,4.794,4.816,4.828,4.808,4.850099999999999,11.696,61
165136,20642,sequential,1000,4.839588,4.82,0.31968714413646054,4.798,4.814,4.828,4.808,4.8481,10.766,50
167536,20942,sequential,1000,4.837336,4.822,0.34083713567781465,4.798,4.816,4.828,4.808,4.848,14.11,54
169976,21247,sequential,1000,4.838354,4.818,0.32424328580927064,4.796,4.812,4.826,4.804,4.846,11.056,49
172448,21556,sequential,1000,4.842218,4.824,0.3582213380062709,4.8,4.818,4.83,4.812,4.85,13.382,51
174952,21869,sequential,1000,4.838106,4.818,0.3155428339291578,4.79,4.814,4.826,4.806,4.8481,10.728,68
177504,22188,sequential,1000,4.837052,4.824,0.24637381629011096,4.802,4.818,4.832,4.812,4.8481,10.39,39
180080,22510,sequential,1000,4.833862,4.82,0.25119859412363293,4.796,4.814,4.828,4.808,4.850099999999999,10.596,55
182704,22838,sequential,1000,4.833912,4.82,0.2471112628599357,4.796,4.816,4.828,4.808,4.85,10.422,59
185360,23170,sequential,1000,4.835738,4.82,0.29967397592691936,4.792,4.814,4.828,4.808,4.85,12.562,53
188056,23507,sequential,1000,4.832204,4.82,0.2595563906050165,4.792,4.812,4.826,4.804,4.848,10.82,52
190792,23849,sequential,1000,4.832346,4.818,0.26149923543699727,4.788,4.812,4.826,4.806,4.8461,10.712,51
193568,24196,sequential,1000,4.836792,4.824,0.24543499969457305,4.8,4.82,4.83,4.812,4.848,10.382,68
196384,24548,sequential,1000,4.837708,4.824,0.26427807634693734,4.8,4.82,4.83,4.812,4.852,11.208,71
199240,24905,sequential,1000,4.83172,4.818,0.2548349553229589,4.796,4.812,4.824,4.804,4.8461,10.712,60
202136,25267,sequential,1000,4.833824,4.818,0.30956634239584957,4.794,4.812,4.824,4.804,4.85,12.906,73
205080,25635,sequential,1000,4.83186,4.819,0.24550939546840822,4.79,4.814,4.826,4.804,4.85,10.386,65
208056,26007,sequential,1000,4.83299,4.818,0.2778266717929716,4.79,4.812,4.826,4.804,4.8481,11.368,55
211088,26386,sequential,1000,4.833516,4.82,0.24520274494819613,4.79,4.814,4.828,4.808,4.85,10.418,55
214160,26770,sequential,1000,4.841906,4.822,0.35598890328669414,4.796,4.814,4.828,4.808,4.848,12.806,49
217272,27159,sequential,1000,4.834242,4.818,0.3160995545146566,4.792,4.812,4.824,4.806,4.848,13.118,68
220432,27554,sequential,1000,4.8403979999999995,4.82,0.3306543238457315,4.79,4.816,4.828,4.806,4.85,11.624,58
223640,27955,sequential,1000,4.825982,4.818,0.1734549229231799,4.796,4.812,4.826,4.804,4.848,10.292,51
226888,28361,sequential,1000,4.83155,4.818,0.2520862967338784,4.794,4.812,4.826,4.804,4.85,10.6,52
230192,28774,sequential,1000,4.833438,4.822,0.24739714934797755,4.792,4.814,4.828,4.808,4.8481,11.076,51
233536,29192,sequential,1000,4.836556,4.824,0.24303490454835666,4.8,4.818,4.83,4.812,4.8481,10.356,50
236936,29617,sequential,1000,4.839402,4.818,0.3444959969112673,4.79,4.812,4.826,4.806,4.8461,12.584,51
240384,30048,sequential,1000,4.83701,4.824,0.24775857646550242,4.798,4.818,4.83,4.812,4.852,10.482,58
243880,30485,sequential,1000,4.831742,4.818,0.24310527268985674,4.796,4.812,4.826,4.806,4.85,10.302,59
247424,30928,sequential,1000,4.84183,4.824,0.3058319870522119,4.802,4.818,4.83,4.81,4.85,10.584,54
251024,31378,sequential,1000,4.83371,4.822,0.24525971586917453,4.794,4.814,4.828,4.808,4.848,10.35,47
254680,31835,sequential,1000,4.832546,4.818,0.269199744402528,4.792,4.812,4.826,4.806,4.85,11.026,53
258384,32298,sequential,1000,4.841964,4.82,0.3612857679318549,4.792,4.814,4.828,4.806,4.848,12.844,50
262136,32767,sequential,1000,4.831754,4.818,0.2474418294123751,4.792,4.812,4.826,4.804,4.848,10.452,58
265952,33244,sequential,1000,5.068034,5.096,0.765176922395446,4.802,4.856999999999999,5.104,4.818,5.124,25.7,3
269824,33728,sequential,1000,4.869978,4.824,0.7110278842409544,4.8,4.818,4.832,4.812,4.866099999999999,25.712,79
273744,34218,sequential,1000,4.840972,4.822,0.33232028524901697,4.796,4.814,4.828,4.806,4.85,11.458,54
277728,34716,sequential,1000,4.88109,4.818,1.1086914867142765,4.794,4.812,4.824,4.804,4.854,36.67,81
281768,35221,sequential,1000,4.988666,4.824,1.1432731055342105,4.79,4.814,4.8565,4.804,5.2501,29.422,233
285864,35733,sequential,1000,4.833624,4.818,0.28669505171292486,4.794,4.812,4.826,4.804,4.8481,11.484,52
290024,36253,sequential,1000,4.837652,4.818,0.4054378309071944,4.79,4.812,4.826,4.806,4.848,16.126,54
294240,36780,sequential,1000,4.840236,4.818,0.4847794337669486,4.796,4.812,4.824,4.804,4.848,17.688,61
298520,37315,sequential,1000,4.835992,4.82,0.3462982101980696,4.792,4.812,4.826,4.804,4.852,13.74,58
302864,37858,sequential,1000,4.837378,4.82,0.33369827637501465,4.796,4.814,4.828,4.806,4.85,13.324,56
307272,38409,sequential,1000,4.836592,4.818,0.3754011608500533,4.786,4.812,4.824,4.804,4.848,14.874,72
311736,38967,sequential,1000,4.841536,4.818,0.4872950822665884,4.794,4.812,4.824,4.804,4.848,17.912,70
316272,39534,sequential,1000,4.837484,4.82,0.3422198945125783,4.788,4.816,4.828,4.806,4.848,13.894,58
320872,40109,sequential,1000,4.834952,4.818,0.3479768808492966,4.792,4.812,4.824,4.804,4.848,14.354,68
325544,40693,sequential,1000,4.83492,4.818,0.33478357433070344,4.794,4.812,4.826,4.804,4.848,13.624,53
330272,41284,sequential,1000,4.834452,4.818,0.35464674538195046,4.79,4.812,4.824,4.804,4.85,14.598,70
335080,41885,sequential,1000,4.835996,4.82,0.3478833925884345,4.79,4.812,4.826,4.806,4.85,14.116,57
339952,42494,sequential,1000,4.837436,4.822,0.34094498880228374,4.792,4.814,4.828,4.806,4.846,13.708,42
344896,43112,sequential,1000,4.841326,4.816,0.5245078705131414,4.794,4.812,4.824,4.804,4.8461,19.064,64
349912,43739,sequential,1000,4.840144,4.82,0.4689017467573694,4.792,4.812,4.826,4.804,4.848,18.344,52
355008,44376,sequential,1000,4.83463,4.818,0.3565111657596593,4.794,4.812,4.824,4.804,4.85,14.386,68
360168,45021,sequential,1000,4.835834,4.818,0.35653094502267085,4.792,4.812,4.826,4.804,4.848,14.114,51
365408,45676,sequential,1000,4.834704,4.818,0.3566200249933061,4.788,4.812,4.824,4.804,4.8461,13.896,63
370720,46340,sequential,1000,4.8467,4.818,0.5380958661439067,4.79,4.812,4.822,4.804,4.85,18.368,72
376112,47014,sequential,1000,4.843196,4.82,0.3885886085446802,4.79,4.814,4.828,4.806,4.848,13.712,50
381584,47698,sequential,1000,4.837658,4.82,0.34251744077233964,4.796,4.814,4.828,4.806,4.850099999999999,13.802,55
387136,48392,sequential,1000,4.834618,4.818,0.3692516443468504,4.794,4.812,4.822,4.804,4.848,14.736,71
392768,49096,sequential,1000,4.84138,4.818,0.5177640613476597,4.792,4.812,4.824,4.804,4.8481,18.814,66
398480,49810,sequential,1000,4.843668,4.82,0.4000826763606791,4.792,4.814,4.826,4.808,4.850099999999999,14.328,66
404272,50534,sequential,1000,4.834774,4.82,0.2781770288564161,4.796,4.814,4.828,4.806,4.85,11.136,54
410160,51270,sequential,1000,4.83698,4.82,0.33044942187938603,4.794,4.814,4.828,4.806,4.85,13.342,55
416120,52015,sequential,1000,4.83622,4.818,0.3495140278381622,4.79,4.812,4.826,4.806,4.85,14.186,57
422176,52772,sequential,1000,4.840676,4.818,0.40456593111212,4.792,4.812,4.824,4.804,4.848,14.474,65
428312,53539,sequential,1000,4.836988,4.818,0.377824073990643,4.79,4.812,4.826,4.804,4.85,14.806,57
434544,54318,sequential,1000,4.838018,4.82,0.35696143368876865,4.788,4.814,4.828,4.806,4.85,14.114,54
