size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2965816,370727,random,1000,35.921526,35.730999999999995,1.5289373292194421,33.328,35.2215,36.333,34.6397,37.221799999999995,64.316,21
3008952,376119,random,1000,35.767354,35.661,1.1934871957295436,33.928,35.245000000000005,36.0625,34.655499999999996,36.6222,46.338,25
3052720,381590,random,1000,36.009456,35.885999999999996,1.16658574411072,33.816,35.4875,36.2725,34.9037,36.968700000000005,45.76,23
3097128,387141,random,1000,36.296966,36.1,1.7120705968424819,33.984,35.692,36.527,35.0997,37.370599999999996,68.294,32
3142176,392772,random,1000,36.434242,36.272,1.9563457716401298,34.358,35.927499999999995,36.634,35.2939,37.246,86.682,38
3187880,398485,random,1000,36.834236,36.546,2.2488081773513993,34.696,36.188,36.998,35.6818,37.7543,80.66,27
3234248,404281,random,1000,36.794188,36.65,1.1571725528083412,34.47,36.293499999999995,37.0675,35.781699999999994,37.646,45.628,23
3281288,410161,random,1000,37.009812,36.822,1.8966292413476955,35.284,36.448,37.208,35.8859,37.886300000000006,83.17,29
3329016,416127,random,1000,37.145532,37.04,1.111113817253161,35.376,36.6455,37.4185,36.1196,37.9704,46.322,20
3377440,422180,random,1000,37.341068,37.233000000000004,1.1545290766216176,35.332,36.839,37.587,36.254,38.1941,45.63,30
3426568,428321,random,1000,37.60656,37.459,1.5238208623130283,35.932,37.074,37.83,36.5,38.5942,69.37,27
3476408,434551,random,1000,37.758226,37.64,1.1558971178574118,36.198,37.241,38.0505,36.6676,38.6382,47.0,19
3526968,440871,random,1000,37.944324,37.845,1.198010920312995,35.952,37.456,38.207,36.7791,38.820100000000004,47.9,29
3578272,447284,random,1000,38.171674,38.041,1.1510969767895207,36.264,37.6995,38.3925,37.146,39.0421,47.314,33
3630320,453790,random,1000,38.334002,38.224000000000004,1.1296131363585646,36.594,37.835499999999996,38.5805,37.3195,39.2365,46.196,26
3683120,460390,random,1000,38.537004,38.416,1.1613714408438016,36.66,38.0225,38.814,37.4597,39.4347,47.292,22
3736696,467087,random,1000,38.697344,38.546,1.1255991751805645,36.992,38.2095,38.9485,37.667899999999996,39.5385,46.814,27
3791048,473881,random,1000,38.765834,38.589,1.4068247582212734,37.076,38.278,38.9715,37.741499999999995,39.602399999999996,62.386,20
3846192,480774,random,1000,39.00794,38.864,1.1673083350808169,36.762,38.5195,39.27,37.962,39.8726,48.888,24
3902136,487767,random,1000,39.233258,39.049,1.691275289697553,37.414,38.6605,39.445,38.1537,40.1927,71.17,28
3958888,494861,random,1000,39.34572,39.221000000000004,1.2916289199560633,37.608,38.836,39.561,38.3034,40.164300000000004,49.974,22
4016472,502059,random,1000,39.519636,39.388,1.6817139677642492,37.506,38.9995,39.715,38.4539,40.246500000000005,77.474,28
4074896,509362,random,1000,39.624408,39.519000000000005,1.1100529623018511,37.794,39.149,39.8605,38.572,40.454100000000004,48.372,23
4134168,516771,random,1000,39.9291,39.712,1.697257456272581,37.82,39.3895,40.1125,38.854,40.79019999999999,71.154,29
4194296,524287,random,1000,38.061056,37.947,1.133074475323944,36.424,37.568,38.328,37.038,38.9111,46.902,21
4255304,531913,random,1000,38.135248,38.008,1.109059330737132,36.116,37.659499999999994,38.417,37.1277,38.9403,47.458,20
4317200,539650,random,1000,38.297544,38.169,1.1167561382577382,36.464,37.7895,38.5505,37.2971,39.146,46.566,23
4380000,547500,random,1000,38.318114,38.201,1.1178732377061273,36.818,37.814,38.584,37.353699999999996,39.152100000000004,47.014,19
4443704,555463,random,1000,38.4852,38.336,1.146933295350686,36.682,37.991,38.716,37.5439,39.334300000000006,48.082,24
4508344,563543,random,1000,38.687156,38.584,1.1390088941377607,36.574,38.24,38.907,37.6977,39.4584,47.99,27
4573920,571740,random,1000,38.851458,38.742999999999995,1.1694151709628529,37.05,38.338,39.108,37.7718,39.6776,48.692,23
4640448,580056,random,1000,39.211444,38.974000000000004,2.1534258709892584,37.366,38.5475,39.3745,37.9716,40.0722,71.702,24
4707944,588493,random,1000,39.189986,39.047,1.3968327034421142,37.3,38.71,39.388,38.1758,39.9004,64.672,23
