size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,random,1000,14.761364,13.57,2.90778621913651,13.548,13.566,13.71,13.566,17.64,51.626,246
1112,139,random,1000,13.149908,5.69,213.89450324029355,5.682,5.69,5.692,5.688,13.57,6769.812,233
1216,152,random,1000,4.8122739999999995,4.768,0.9766000883968098,4.76,4.766,4.768,4.766,4.806,34.436,173
1328,166,random,1000,4.782996,4.768,0.28623196313605637,4.76,4.766,4.768,4.766,4.804,11.856,157
1448,181,random,1000,4.793344,4.768,0.4253728149467191,4.762,4.766,4.768,4.766,4.806,13.34,163
1576,197,random,1000,4.860224,4.816,0.9777951284073455,4.804,4.812,4.82,4.808,4.848,34.408,67
1720,215,random,1000,4.826588,4.812,0.28542224179645165,4.796,4.808,4.816,4.804,4.844,11.902,83
1872,234,random,1000,4.823568,4.808,0.2890757031265999,4.792,4.804,4.814,4.8,4.84,12.014,61
2048,256,random,1000,4.855286,4.806,0.9854890049020247,4.788,4.802,4.81,4.796,4.8361,33.966,64
2232,279,random,1000,4.825778,4.804,0.3899194068777032,4.784,4.798,4.808,4.792,4.832,13.638,64
2432,304,random,1000,4.8154959999999996,4.8,0.2856666018130075,4.782,4.796,4.806,4.792,4.832,11.922,63
2656,332,random,1000,4.811352,4.798,0.2621018226977094,4.784,4.794,4.802,4.79,4.83,11.63,73
2896,362,random,1000,4.80925,4.796,0.25968039473053683,4.78,4.792,4.8,4.786,4.828,10.904,66
3152,394,random,1000,4.814786,4.794,0.4170373344705991,4.776,4.79,4.8,4.784,4.8241,14.412,62
3440,430,random,1000,4.807228,4.792,0.30053838246609255,4.778,4.788,4.796,4.784,4.826,12.45,65
3752,469,random,1000,4.811546,4.79,0.42799906200958093,4.774,4.786,4.794,4.782,4.822,15.242,78
4096,512,random,1000,4.804666,4.788,0.3055193848817756,4.772,4.786,4.794,4.78,4.8201,12.082,73
4464,558,random,1000,4.800916,4.788,0.2430493487543835,4.772,4.784,4.792,4.78,4.82,10.256,67
4864,608,random,1000,4.805624,4.786,0.32768949789553986,4.768,4.782,4.79,4.774,4.818,11.502,72
5312,664,random,1000,4.801382,4.786,0.3235769276448865,4.77,4.78,4.79,4.776,4.816,13.39,63
5792,724,random,1000,4.81045,4.796,0.2872862107147972,4.782,4.792,4.8,4.786,4.8281,11.696,70
6312,789,random,1000,4.808714,4.794,0.28140899279380754,4.776,4.79,4.8,4.784,4.824,11.886,68
6888,861,random,1000,4.81533,4.792,0.3895597719425299,4.774,4.788,4.798,4.782,4.824,13.766,65
7512,939,random,1000,4.79952,4.79,0.21308371657700706,4.776,4.786,4.796,4.782,4.822,11.522,68
8192,1024,random,1000,4.86387,4.79,1.0409757007296132,4.774,4.786,4.796,4.78,5.0621,36.532,163
8928,1116,random,1000,5.0803,5.062,0.3727557495852329,5.042,5.058,5.066,5.05,5.098,13.806,83
9736,1217,random,1000,5.003548,5.054,0.8355432341849176,4.77,4.788,5.062,4.78,5.074,25.698,4
10624,1328,random,1000,4.81047,4.792,0.38102242609745324,4.774,4.788,4.796,4.782,4.822,14.372,82
11584,1448,random,1000,4.815044,4.792,0.5055089330025191,4.762,4.784,4.798,4.774,4.822,17.606,56
12632,1579,random,1000,4.90308,4.792,1.0754475370770091,4.766,4.786,4.832,4.778,5.07,36.64,240
13776,1722,random,1000,4.801952,4.788,0.2800442080359,4.772,4.782,4.792,4.778,4.822,11.744,65
15024,1878,random,1000,4.805904,4.792,0.2807187949279952,4.772,4.786,4.796,4.782,4.824,11.542,70
16384,2048,random,1000,4.809838,4.79,0.33126134672767943,4.764,4.784,4.796,4.776,4.822,11.476,64
17864,2233,random,1000,4.80964,4.788,0.3490245156325162,4.768,4.782,4.794499999999999,4.776,4.818,11.524,63
19480,2435,random,1000,4.821478,4.806,0.31240815990363374,4.764,4.798,4.816,4.784,4.836,12.498,39
21240,2655,random,1000,4.82451,4.81,0.30885526622590637,4.772,4.798,4.822,4.782,4.8401,12.374,16
23168,2896,random,1000,4.835726,4.822,0.29331530268772343,4.77,4.798,4.84,4.782,4.87,11.47,5
25264,3158,random,1000,4.832892,4.82,0.30842734600512284,4.768,4.798,4.836,4.782,4.858,12.11,5
27552,3444,random,1000,4.831976,4.814,0.31362506293997633,4.764,4.794,4.838,4.778,4.864,12.146,5
