size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,sequential,1000,5.020934,4.83,0.5970363674585226,4.798,4.816,5.044,4.806,5.678599999999999,15.604,99
73182728,9147841,sequential,1000,4.972054,4.828,0.49258038584633124,4.792,4.816,5.0225,4.808,5.4804,14.836,72
79806336,9975792,sequential,1000,4.976268,4.83,0.45219968678973316,4.794,4.816,5.024,4.806,5.484999999999999,13.242,66
87029424,10878678,sequential,1000,4.982898,4.83,0.513935832216081,4.794,4.816,5.034,4.808,5.504,16.404,64
94906264,11863283,sequential,1000,4.978744,4.832,0.4743822139888352,4.792,4.816,5.0225,4.806,5.4864,14.46,70
103496016,12937002,sequential,1000,4.977456,4.838,0.4390058931702833,4.79,4.816,5.038,4.806,5.4445,13.494,60
112863200,14107900,sequential,1000,5.016022,4.834,0.5853720320718543,4.792,4.816,5.046,4.808,5.6286,15.058,85
123078192,15384774,sequential,1000,4.973306,4.828,0.46579342833694193,4.796,4.816,5.02,4.806,5.510799999999999,13.982,70
134217728,16777216,sequential,1000,5.1097339999999996,4.83,2.965642214257645,4.788,4.816,5.034,4.806,5.7124,96.63,102
146365464,18295683,sequential,1000,5.0098,4.836,0.5528372029566868,4.79,4.816,5.056,4.808,5.576199999999999,14.274,80
159612672,19951584,sequential,1000,4.979494,4.828,0.49317118100896545,4.788,4.816,5.028,4.808,5.494,14.462,70
174058856,21757357,sequential,1000,5.01263,4.83,0.5680117502732214,4.794,4.816,5.0405,4.8079,5.6221,14.004,96
189812528,23726566,sequential,1000,5.099072,4.836,2.2719449854327087,4.792,4.816,5.078,4.806,5.664199999999999,74.406,93
206992032,25874004,sequential,1000,4.96966,4.828,0.46584388686224804,4.792,4.816,5.012499999999999,4.806,5.454799999999999,14.26,71
225726408,28215801,sequential,1000,5.000318,4.834,0.6295176020472242,4.798,4.818,5.0365,4.808,5.520199999999999,17.81,76
246156392,30769549,sequential,1000,4.981202,4.83,0.5061365560887787,4.794,4.816,5.028,4.806,5.5043999999999995,15.52,70
268435456,33554432,sequential,1000,4.9732899999999995,4.828,0.49780142442359304,4.798,4.816,5.0045,4.808,5.5424,14.634,78
