size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
1024,128,sequential,1000,17.208154,17.64,5.2129337615863385,7.66,17.636,17.64,7.67,17.778,113.468,244
1112,139,sequential,1000,16.23649,7.77,287.59170821041994,4.818,4.846,7.78,4.828,7.808299999999999,9100.45,5
1216,152,sequential,1000,4.848296,4.828,0.3364684761153999,4.812,4.8235,4.834,4.818,4.856,11.262,62
1328,166,sequential,1000,4.900118,4.824,1.040799422325701,4.81,4.82,4.83,4.816,5.102,36.626,169
1448,181,sequential,1000,4.837094,4.82,0.357628557793347,4.802,4.814,4.824,4.808,4.848,13.008,64
1576,197,sequential,1000,4.912628,4.816,1.0649148102872685,4.8,4.812,4.826,4.808,5.094,36.428,221
1720,215,sequential,1000,4.824956,4.812,0.2614074595797219,4.79,4.808,4.816,4.802,4.842,11.052,76
1872,234,sequential,1000,4.827978,4.808,0.31953621846499797,4.794,4.804,4.814,4.798,4.84,10.848,64
2048,256,sequential,1000,4.81977,4.806,0.27357677414457415,4.788,4.802,4.81,4.796,4.836,11.484,68
2232,279,sequential,1000,4.828936,4.808,0.3472203996165979,4.786,4.802,4.826,4.792,4.84,13.5,20
2432,304,sequential,1000,4.8315339999999996,4.8,0.5345276743805494,4.786,4.796,4.806,4.792,4.83,15.71,67
2656,332,sequential,1000,4.822968,4.798,0.4104099161512491,4.784,4.794,4.802,4.79,4.8281,12.486,62
2896,362,sequential,1000,4.811628,4.796,0.3015499726446713,4.778,4.792,4.802,4.786,4.826,12.316,61
3152,394,sequential,1000,4.809342,4.794,0.2887311980731226,4.774,4.79,4.8,4.7839,4.826,11.63,65
3440,430,sequential,1000,4.811994,4.792,0.3192744589599114,4.776,4.788,4.798,4.782,4.824,10.912,73
3752,469,sequential,1000,4.80797,4.792,0.29702575544790627,4.774,4.786,4.8,4.782,4.826,12.438,62
4096,512,sequential,1000,4.803332,4.788,0.2752473558145162,4.772,4.786,4.792,4.78,4.82,11.544,75
