size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
120192,15024,sequential,1000,10.686602,8.964,9.317162969025892,8.878,8.924,11.896,8.906,11.942,296.162,6
121936,15242,sequential,1000,8.97814,8.918,0.8893247139525849,8.876,8.908,8.932,8.894,8.974,24.364,59
123712,15464,sequential,1000,4.847046,4.824,0.49569931581120397,4.798,4.818,4.83,4.81,4.8481,16.902,51
125512,15689,sequential,1000,4.847186,4.818,0.4954446394853766,4.794,4.814,4.826,4.804,4.85,16.256,66
127336,15917,sequential,1000,4.875468,4.818,1.0448155763408988,4.794,4.812,4.824,4.804,4.8481,34.01,68
129192,16149,sequential,1000,4.839344,4.818,0.42276798179430575,4.788,4.812,4.826,4.806,4.8481,15.96,58
131064,16383,sequential,1000,4.838974,4.818,0.3429771547095414,4.792,4.812,4.826,4.806,4.85,11.776,54
132976,16622,sequential,1000,4.841296,4.822,0.3301777608164089,4.798,4.816,4.828,4.808,4.848,11.66,54
134912,16864,sequential,1000,4.830824,4.818,0.2606948769017965,4.79,4.812,4.824,4.806,4.848,10.844,64
136872,17109,sequential,1000,4.842018,4.818,0.47554094552085296,4.796,4.812,4.826,4.804,4.85,17.048,59
138864,17358,sequential,1000,4.850592,4.82,0.5508818170100664,4.796,4.814,4.828,4.808,4.848,19.628,49
140880,17610,sequential,1000,4.83849,4.822,0.3444853931389343,4.792,4.816,4.828,4.808,4.85,14.034,59
142928,17866,sequential,1000,4.8378,4.822,0.34452375334164786,4.798,4.816,4.828,4.808,4.85,13.918,54
145008,18126,sequential,1000,5.180198,5.1,0.9032782585717474,5.068,5.092,5.124,5.082,5.258,29.018,212
147120,18390,sequential,1000,5.1211079999999995,5.096,0.41807150120059144,5.072,5.09,5.104,5.082,5.128,14.676,58
149256,18657,sequential,1000,5.068826,5.092,0.7176687942374409,4.794,5.08,5.1,4.812,5.12,25.806,257
151432,18929,sequential,1000,4.830338,4.82,0.30091636115773496,4.792,4.812,4.826,4.8059,4.848,14.328,53
153632,19204,sequential,1000,4.848186,4.824,0.42178285192522724,4.802,4.818,4.83,4.812,4.848,14.292,48
155864,19483,sequential,1000,4.83509,4.818,0.3406332087199997,4.796,4.812,4.826,4.806,4.846,13.826,49
158136,19767,sequential,1000,4.83256,4.818,0.2739832571987296,4.79,4.812,4.826,4.804,4.846,11.556,47
160432,20054,sequential,1000,4.839828,4.822,0.314903131769753,4.798,4.816,4.828,4.808,4.848,10.672,57
162768,20346,sequential,1000,4.834066,4.822,0.2540918462098112,4.794,4.814,4.828,4.808,4.852,10.634,56
165136,20642,sequential,1000,4.835064,4.822,0.2684706024285869,4.794,4.816,4.828,4.808,4.85,10.878,60
167536,20942,sequential,1000,4.840852,4.822,0.3314572581947935,4.798,4.814,4.828,4.806,4.85,11.526,51
169976,21247,sequential,1000,4.831112,4.818,0.24731890768418432,4.796,4.812,4.826,4.806,4.848,11.036,51
172448,21556,sequential,1000,4.839358,4.824,0.31303959114083574,4.8,4.818,4.83,4.81,4.85,12.718,52
174952,21869,sequential,1000,4.838904,4.818,0.33397349757290784,4.796,4.812,4.826,4.804,4.85,11.676,54
177504,22188,sequential,1000,4.84513,4.824,0.4361672534395183,4.8,4.818,4.83,4.81,4.852,15.012,59
180080,22510,sequential,1000,4.848724,4.822,0.4843181763261833,4.792,4.814,4.828,4.808,4.848,15.464,51
182704,22838,sequential,1000,4.839908,4.822,0.3805803054611535,4.8,4.816,4.828,4.808,4.850099999999999,13.666,60
185360,23170,sequential,1000,4.835458,4.822,0.2817944896025655,4.792,4.816,4.828,4.806,4.850099999999999,11.47,60
188056,23507,sequential,1000,4.838682,4.818,0.34066350332622736,4.794,4.812,4.826,4.804,4.846,12.174,48
190792,23849,sequential,1000,4.832596,4.82,0.2628645098421134,4.79,4.814,4.826,4.804,4.848,10.72,64
193568,24196,sequential,1000,4.837466,4.824,0.25789536805624264,4.802,4.818,4.83,4.812,4.852,10.79,58
196384,24548,sequential,1000,4.836772,4.824,0.25217148624393376,4.8,4.818,4.83,4.812,4.85,10.588,51
199240,24905,sequential,1000,4.838984,4.818,0.40703713709559103,4.792,4.812,4.826,4.804,4.8481,14.17,54
202136,25267,sequential,1000,4.842678,4.818,0.401710377689628,4.794,4.812,4.826,4.804,4.85,12.492,57
205080,25635,sequential,1000,4.831664,4.818,0.2519326520424956,4.79,4.812,4.826,4.804,4.848,10.59,52
208056,26007,sequential,1000,4.839074,4.818,0.33920640251550016,4.794,4.814,4.826,4.806,4.848,11.59,62
211088,26386,sequential,1000,4.833568,4.822,0.24482038803661432,4.794,4.816,4.828,4.806,4.848,10.33,56
214160,26770,sequential,1000,4.841864,4.822,0.3418735014519186,4.794,4.816,4.828,4.808,4.852,11.61,60
217272,27159,sequential,1000,4.831866,4.818,0.2599666453618631,4.792,4.812,4.826,4.804,4.846,10.856,49
220432,27554,sequential,1000,4.840724,4.822,0.3288332329907048,4.794,4.816,4.828,4.806,4.848,11.124,56
223640,27955,sequential,1000,4.83143,4.818,0.24722402556956072,4.79,4.812,4.826,4.806,4.850099999999999,10.366,59
226888,28361,sequential,1000,4.836108,4.818,0.34603941337889765,4.792,4.812,4.826,4.806,4.846,12.69,48
230192,28774,sequential,1000,4.833662,4.822,0.24643788139282763,4.796,4.816,4.828,4.806,4.85,10.386,54
233536,29192,sequential,1000,4.838362,4.824,0.2870831407200459,4.794,4.818,4.83,4.8119000000000005,4.85,12.056,55
236936,29617,sequential,1000,4.831726,4.818,0.24725528528243865,4.794,4.812,4.826,4.806,4.848,10.412,53
240384,30048,sequential,1000,4.839054,4.824,0.32116496698740354,4.796,4.818,4.83,4.81,4.848,13.776,49
243880,30485,sequential,1000,4.831338,4.818,0.24611104892792685,4.79,4.812,4.826,4.804,4.85,10.328,55
247424,30928,sequential,1000,4.83797,4.824,0.278696542610171,4.8,4.818,4.83,4.81,4.8481,11.662,50
251024,31378,sequential,1000,4.834362,4.822,0.2482532389046045,4.796,4.816,4.828,4.808,4.850099999999999,10.44,57
254680,31835,sequential,1000,4.838832,4.818,0.34120370417646956,4.792,4.812,4.826,4.804,4.848,11.562,51
258384,32298,sequential,1000,4.834044,4.821,0.25217982617316703,4.792,4.816,4.828,4.808,4.85,10.5,56
262136,32767,sequential,1000,4.835744,4.818,0.3513204926453231,4.794,4.812,4.826,4.804,4.848,14.19,51
265952,33244,sequential,1000,4.847768,4.824,0.41708993537388334,4.796,4.818,4.83,4.81,4.85,13.484,53
269824,33728,sequential,1000,4.837158,4.824,0.2599257594707312,4.798,4.818,4.83,4.81,4.85,10.728,52
273744,34218,sequential,1000,4.841256,4.822,0.33924003635518357,4.796,4.816,4.828,4.808,4.848,12.254,59
277728,34716,sequential,1000,4.841198,4.818,0.4009351141541007,4.794,4.812,4.824,4.804,4.85,14.33,69
281768,35221,sequential,1000,4.837416,4.82,0.37992139082605925,4.794,4.812,4.826,4.806,4.848,14.984,54
285864,35733,sequential,1000,4.835514,4.818,0.3428271901210379,4.794,4.812,4.826,4.804,4.848,13.876,55
290024,36253,sequential,1000,4.843312,4.818,0.5210253603060815,4.794,4.812,4.826,4.806,4.846,18.846,49
294240,36780,sequential,1000,4.838628,4.818,0.4443014217503354,4.798,4.812,4.824,4.806,4.848,17.478,65
298520,37315,sequential,1000,4.846138,4.818,0.4779580534491043,4.792,4.812,4.826,4.806,4.85,15.868,61
302864,37858,sequential,1000,4.84416,4.822,0.4009243553823324,4.794,4.816,4.828,4.806,4.848,14.2,59
307272,38409,sequential,1000,4.835304,4.818,0.35107310906976613,4.794,4.812,4.824,4.804,4.846,14.236,63
311736,38967,sequential,1000,4.856222,4.818,0.9132689893798887,4.792,4.812,4.826,4.804,4.85,32.572,59
316272,39534,sequential,1000,4.842362,4.822,0.48392393548090934,4.796,4.814,4.828,4.808,4.850099999999999,19.284,54
320872,40109,sequential,1000,4.835674,4.818,0.35534590533230637,4.794,4.812,4.824,4.804,4.848,14.1,64
325544,40693,sequential,1000,4.835678,4.818,0.35199229379475183,4.794,4.812,4.826,4.804,4.85,13.958,58
330272,41284,sequential,1000,4.842254,4.818,0.5128844137872645,4.794,4.812,4.824,4.806,4.8481,18.27,67
335080,41885,sequential,1000,4.839366,4.818,0.4619224939688848,4.794,4.812,4.826,4.806,4.848,18.322,53
339952,42494,sequential,1000,4.838884,4.82,0.36648359413317366,4.796,4.816,4.828,4.806,4.852,13.112,62
344896,43112,sequential,1000,4.84511,4.818,0.4926062045617907,4.792,4.812,4.824,4.804,4.848,16.268,73
349912,43739,sequential,1000,4.852182,4.818,0.5792243362529822,4.79,4.814,4.826,4.806,4.852,17.586,71
355008,44376,sequential,1000,4.846838,4.818,0.5009064753554829,4.788,4.812,4.824,4.806,4.85,14.868,69
360168,45021,sequential,1000,4.836258,4.818,0.37174162165309016,4.794,4.812,4.824,4.804,4.8461,13.636,67
365408,45676,sequential,1000,4.834618,4.818,0.3270335349914577,4.792,4.812,4.824,4.806,4.848,12.19,67
