size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2965816,370727,random,1000,37.003858,36.808,1.8233355347571953,34.126,36.214,37.409,35.6397,38.2949,66.734,22
3008952,376119,random,1000,35.781846,35.666,1.175862325483937,34.066,35.264,36.079,34.729499999999994,36.6564,46.536,19
3052720,381590,random,1000,36.027784,35.897000000000006,1.194587922946507,33.878,35.5195,36.2905,34.933699999999995,36.9293,46.626,27
3097128,387141,random,1000,36.192664,36.076,1.1679935102319465,33.906,35.6795,36.4865,35.0799,37.1783,45.708,22
3142176,392772,random,1000,36.357476,36.262,1.1241847449439817,34.456,35.8935,36.616,35.29,37.1649,44.92,31
3187880,398485,random,1000,36.63483,36.489000000000004,1.1509813174387729,34.666,36.1275,36.9045,35.6319,37.5463,45.34,25
3234248,404281,random,1000,36.794794,36.65,1.1469277050994648,34.904,36.2735,37.072,35.7851,37.673399999999994,46.432,19
3281288,410161,random,1000,36.937416,36.836,1.1410498243484575,35.26,36.425,37.1985,35.8897,37.7926,45.8,20
3329016,416127,random,1000,37.250918,37.087,1.668377320680235,35.37,36.692,37.414500000000004,36.15,38.1661,69.762,33
3377440,422180,random,1000,37.334988,37.25,1.1295752175167566,35.172,36.859,37.618,36.2711,38.2222,45.86,26
3426568,428321,random,1000,37.538002,37.424,1.139352978319364,35.852,37.0295,37.8065,36.530699999999996,38.4464,46.292,22
3476408,434551,random,1000,37.745858,37.626999999999995,1.1176373298333575,35.56,37.2495,38.0185,36.7436,38.5802,46.626,24
3526968,440871,random,1000,37.915424,37.822,1.1504941829879407,36.012,37.436,38.176500000000004,36.8239,38.7721,46.79,22
3578272,447284,random,1000,38.150478,38.03,1.1424455791929073,36.272,37.6815,38.358,37.1736,38.9901,47.214,28
3630320,453790,random,1000,38.311512,38.196,1.1164692389033464,36.28,37.828,38.566500000000005,37.273,39.1143,48.01,26
3683120,460390,random,1000,38.619304,38.426,1.721308640255727,36.288,38.058,38.8245,37.4878,39.5587,70.498,31
3736696,467087,random,1000,38.696594,38.58,1.1332024951697992,36.86,38.2,38.9515,37.7299,39.4884,47.358,21
3791048,473881,random,1000,38.75873,38.625,1.3639880345730524,36.924,38.249,38.9805,37.7596,39.5501,63.91,23
3846192,480774,random,1000,39.104202,38.94,1.7052206815449924,37.242,38.5155,39.309,37.9559,40.030300000000004,71.408,27
3902136,487767,random,1000,39.139326,39.006,1.1084564300780528,37.57,38.638,39.404,38.1417,40.0233,47.408,21
3958888,494861,random,1000,39.314174,39.211,1.1400782008388846,37.732,38.8275,39.545,38.2974,40.140100000000004,48.318,21
4016472,502059,random,1000,39.43712,39.334,1.1704052606144908,37.194,38.9355,39.6845,38.423899999999996,40.194300000000005,49.474,24
4074896,509362,random,1000,39.624702,39.480999999999995,1.1578422439425233,37.776,39.132,39.8655,38.6396,40.420700000000004,48.508,22
4134168,516771,random,1000,39.80167,39.663,1.1647270427804894,38.178,39.29,40.0465,38.8638,40.6244,48.608,20
4194296,524287,random,1000,38.073102,37.958,1.2020074023862712,36.306,37.5755,38.311,37.0318,38.85,47.634,23
4255304,531913,random,1000,38.13836,38.006,1.1685501323485492,36.314,37.659,38.376,37.1398,38.9264,47.594,23
4317200,539650,random,1000,38.31182,38.176,1.173686450242774,36.448,37.8375,38.568,37.281,39.1242,48.008,24
4380000,547500,random,1000,38.519678,38.27,2.136641979196155,36.866,37.876,38.6225,37.375699999999995,39.418,71.332,35
4443704,555463,random,1000,38.510602,38.376999999999995,1.1752656699618989,36.594,38.0255,38.708,37.552,39.3829,48.956,24
4508344,563543,random,1000,38.775234,38.586,1.5997529818215208,37.072,38.2255,38.947,37.7739,39.5204,62.292,32
4573920,571740,random,1000,38.860968,38.760000000000005,1.154277743042845,37.068,38.39,39.1045,37.766,39.658500000000004,47.914,30
4640448,580056,random,1000,39.020828,38.894999999999996,1.1370760433429,37.304,38.56,39.2225,38.0559,39.8463,48.69,30
4707944,588493,random,1000,39.185364,39.058,1.4006594455421297,37.488,38.6975,39.3805,38.147600000000004,39.9062,63.018,25
4776424,597053,random,1000,39.336166,39.185,1.1351346682923393,37.412,38.842,39.562,38.3896,40.1863,48.436,22
4845896,605737,random,1000,39.5047,39.358999999999995,1.1605839810962313,37.88,39.03,39.71,38.5538,40.2642,49.636,24
4916384,614548,random,1000,39.674798,39.544,1.163863387679663,37.866,39.1945,39.8825,38.7049,40.466,49.168,27
4987888,623486,random,1000,39.794136,39.667,1.1497983657084339,37.962,39.3495,40.0245,38.8058,40.4885,48.364,29
5060440,632555,random,1000,39.966012,39.836,1.1719602462006442,38.246,39.4995,40.177,39.0158,40.710100000000004,49.32,23
5134048,641756,random,1000,40.14112,40.001000000000005,1.1409794124433708,38.138,39.7035,40.339,39.217800000000004,40.8741,49.232,24
5208728,651091,random,1000,40.260446,40.126,1.176613241385547,38.654,39.794,40.4595,39.339800000000004,41.0223,49.87,26
5284488,660561,random,1000,40.338528,40.211,1.1047941869015292,38.794,39.888,40.534,39.4216,41.1122,49.39,23
5361352,670169,random,1000,40.596566,40.404,2.0230446265975464,38.8,40.069,40.7585,39.6277,41.2365,93.174,25
5439336,679917,random,1000,40.733821999999996,40.569,1.5570833120795935,38.824,40.2675,40.904,39.7478,41.428999999999995,74.282,31
5518448,689806,random,1000,40.99279,40.792,1.7315126115116293,38.986,40.4405,41.1265,40.0253,41.766,72.814,30
5598720,699840,random,1000,41.012234,40.82,1.5165107748295672,39.334,40.502,41.1845,40.0559,41.7303,69.802,22
5680152,710019,random,1000,41.109372,40.95,1.396932809726685,39.436,40.634,41.29,40.1174,41.8661,64.282,25
5762776,720347,random,1000,41.250156,41.111000000000004,1.1639473446359525,39.692,40.8035,41.434,40.3998,41.9645,51.758,21
5846592,730824,random,1000,41.3716,41.238,1.1456546130891685,39.496,40.916,41.5405,40.4999,42.0904,50.724,28
5931640,741455,random,1000,41.471594,41.338,1.111128182074868,39.838,41.014,41.672,40.5978,42.194300000000005,49.89,23
6017912,752239,random,1000,41.616364,41.498999999999995,1.118381249898318,40.07,41.165499999999994,41.8005,40.698,42.328500000000005,50.51,24
6105448,763181,random,1000,41.736928,41.607,1.1072490719451171,40.198,41.298,41.9175,40.8118,42.4542,49.55,29
6194256,774282,random,1000,41.851138,41.727999999999994,1.1343653581283772,39.9,41.42,42.042500000000004,40.9574,42.5223,50.782,26
6284352,785544,random,1000,41.98102,41.864,1.1386433947379575,39.892,41.5335,42.16,41.0639,42.6802,50.754,27
6375760,796970,random,1000,40.921752,40.728,1.6545777654973122,39.166,40.4035,41.052,39.9639,41.684,73.156,32
6468496,808562,random,1000,40.922964,40.802,1.1254572176020963,39.332,40.482,41.0945,40.048,41.636,50.18,31
6562584,820323,random,1000,41.032994,40.879000000000005,1.411193461914755,39.408,40.562,41.168,40.0895,41.7201,65.786,31
6658040,832255,random,1000,41.110942,40.972,1.158955321862786,39.432,40.668,41.265,40.2617,41.8205,51.7,27
6754880,844360,random,1000,41.287522,41.161,1.1339865700514522,39.824,40.838,41.478,40.4379,42.0022,49.79,28
6853136,856642,random,1000,41.422242,41.26,1.6410615065573577,39.64,40.9495,41.56,40.4958,42.076100000000004,79.132,28
6952816,869102,random,1000,41.547836,41.409,1.16667816601111,39.832,41.076,41.72,40.6919,42.212300000000006,52.526,24
7053944,881743,random,1000,41.66263,41.542,1.1290323756231286,39.792,41.211,41.844,40.8098,42.338,51.342,23
7156544,894568,random,1000,41.786972,41.646,1.1783674049111157,40.108,41.329,41.9605,40.914,42.398,51.804,25
7260640,907580,random,1000,41.91326,41.783,1.1398805955766473,40.196,41.4975,42.073,41.0579,42.5863,50.894,31
7366248,920781,random,1000,42.035246,41.904,1.1388588371413444,40.268,41.6225,42.1805,41.2238,42.6721,51.056,28
7473392,934174,random,1000,42.164472,42.031,1.1609996698748235,40.518,41.7275,42.315,41.301,42.826100000000004,53.41,24
7582096,947762,random,1000,42.411638,42.224000000000004,1.6955073583320595,40.638,41.8915,42.5145,41.445699999999995,43.0802,74.108,33
7692384,961548,random,1000,42.435436,42.272,1.406709144251405,40.79,41.9795,42.562,41.5579,43.12,65.396,32
7804272,975534,random,1000,42.500394,42.369,1.1189218072657154,41.222,42.068,42.6685,41.6818,43.170500000000004,51.308,21
7917784,989723,random,1000,42.59674,42.462,1.1437471652327615,41.136,42.175,42.748,41.7677,43.1922,51.978,26
8032952,1004119,random,1000,42.721126,42.588,1.1316447304343886,41.116,42.284,42.876,41.8678,43.4161,51.804,27
8149792,1018724,random,1000,42.827882,42.703,1.1446329047177364,41.4,42.398,42.9855,41.958,43.480399999999996,52.64,22
8268336,1033542,random,1000,42.930866,42.786,1.1772777705337825,41.004,42.472,43.0805,42.0938,43.582100000000004,51.618,25
8388600,1048575,random,1000,42.176046,41.974,2.009114758294308,40.656,41.714,42.262,41.302,42.80799999999999,94.728,35
8510616,1063827,random,1000,42.21872,42.062,1.1312190708197003,40.8,41.818,42.358,41.4558,42.8421,51.974,31
8634408,1079301,random,1000,42.253858,42.118,1.1376464473971144,40.854,41.814,42.3965,41.4519,42.8421,52.474,25
