size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,524288,random,1000,39.183168,38.988,1.6302253753854252,37.274,38.6295,39.352,38.1359,39.874300000000005,52.828,25
4255312,531914,random,1000,39.254344,39.076,1.6034319853975085,37.528,38.682,39.426,38.1919,39.9902,51.71,20
4317200,539650,random,1000,39.4358,39.244,1.6347636759716297,37.342,38.8435,39.636,38.312,40.1742,52.742,22
4380000,547500,random,1000,39.44594,39.238,1.686182003862617,37.546,38.9065,39.582,38.388,40.1801,53.478,25
4443704,555463,random,1000,39.602796,39.432,1.5679327343490994,37.878,39.0455,39.766,38.5414,40.3941,52.098,25
4508344,563543,random,1000,39.788878,39.601,1.6046656227628473,37.99,39.266,39.9545,38.696,40.4862,52.664,25
4573920,571740,random,1000,39.95426,39.753,1.6484352650993679,37.662,39.362,40.152,38.857299999999995,40.7383,53.316,21
4640448,580056,random,1000,40.189552,39.97,1.964020050318747,38.3,39.5895,40.342,39.0792,40.9702,75.574,24
4707944,588493,random,1000,40.305976,40.111000000000004,1.6583595713511265,38.564,39.7475,40.4465,39.2458,40.974599999999995,54.64,27
4776424,597053,random,1000,40.544168,40.285,2.144825376498439,38.752,39.944,40.658500000000004,39.4379,41.3342,84.47,25
4845896,605737,random,1000,40.649136,40.457,1.6306620963205027,39.024,40.104,40.794,39.6216,41.2841,53.366,22
4916384,614548,random,1000,40.828116,40.614,1.6444233550745728,38.94,40.2755,40.982,39.783899999999996,41.5641,53.334,28
4987896,623487,random,1000,40.960892,40.762,1.6766496301607914,38.688,40.427499999999995,41.092,39.936,41.6281,55.12,27
5060440,632555,random,1000,41.129548,40.900999999999996,1.6749766035137084,39.374,40.5755,41.263,40.0777,41.8306,55.312,27
5134048,641756,random,1000,41.298884,41.125,1.6139823758807448,39.428,40.7425,41.456,40.2437,41.9784,53.378,23
5208728,651091,random,1000,41.419074,41.215,1.6531435188809283,39.68,40.8675,41.572500000000005,40.4019,42.136,54.832,25
5284488,660561,random,1000,41.54318,41.352000000000004,1.6590860997206522,39.926,40.987,41.67,40.4899,42.2443,55.154,26
5361352,670169,random,1000,41.732518,41.513000000000005,1.6978149862112195,39.97,41.195,41.8555,40.6757,42.3924,55.116,26
5439336,679917,random,1000,41.852542,41.638999999999996,1.600471756726772,40.232,41.3335,41.9745,40.903400000000005,42.4562,54.476,28
5518456,689807,random,1000,42.00956,41.807,1.6115114270396844,40.182,41.4675,42.128,41.0738,42.6264,55.334,22
5598720,699840,random,1000,42.174446,41.952,1.70941002914214,40.36,41.599000000000004,42.2805,41.1559,42.8705,55.224,26
5680152,710019,random,1000,42.306358,42.061,2.084029427453099,40.576,41.7455,42.3945,41.184,42.9701,83.13,32
5762776,720347,random,1000,42.433706,42.230000000000004,1.6692796902401492,40.84,41.88,42.55,41.4379,43.0965,56.062,25
5846600,730825,random,1000,42.538402,42.294,1.7025781105777844,40.868,41.9735,42.6525,41.54,43.2002,55.372,25
5931640,741455,random,1000,42.729078,42.472,2.081480698881404,41.042,42.172,42.786,41.7317,43.3367,83.176,26
6017912,752239,random,1000,43.133684,42.698,2.6163222068457155,41.006,42.322,43.1105,41.8238,44.548300000000005,78.118,69
6105448,763181,random,1000,42.962272,42.766999999999996,1.650100772248342,41.37,42.394,43.09,41.9439,43.5542,56.278,20
6194256,774282,random,1000,43.07472,42.854,1.6730722364286332,41.322,42.52,43.184,42.0779,43.7006,55.716,25
6284352,785544,random,1000,43.21445,43.022,1.6233492120194486,41.562,42.671499999999995,43.348,42.237899999999996,43.8082,56.444,21
6375760,796970,random,1000,41.951418,41.753,1.5917956447517534,40.042,41.43,42.072,40.954,42.5581,54.602,28
6468496,808562,random,1000,42.048868,41.852,1.595560850925155,40.4,41.538,42.182,41.027699999999996,42.640100000000004,55.402,24
6562584,820323,random,1000,42.115982,41.898,1.5867916383001832,40.482,41.6115,42.224,41.1419,42.7149,53.954,25
6658040,832255,random,1000,42.244316,42.057,1.5985507338187903,40.282,41.7,42.3705,41.2678,42.8988,54.408,25
6754880,844360,random,1000,42.4098,42.196,1.5840582945967236,40.932,41.8995,42.5325,41.4399,43.0383,54.86,23
6853136,856642,random,1000,42.539904,42.304,1.7089996742745945,40.88,42.018,42.6465,41.5874,43.1282,56.016,25
6952816,869102,random,1000,42.6884,42.476,1.65464881310044,40.954,42.1675,42.7825,41.7036,43.282999999999994,55.698,31
