size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
67108864,8388608,sequential,1000,5.436348,5.252,0.737975749671426,5.216,5.242,5.43,5.23,6.0665,19.158,135
68084984,8510623,sequential,1000,5.397258,5.252,0.6207173781194621,5.218,5.24,5.3875,5.23,5.9121,19.116,152
69075304,8634413,sequential,1000,5.400594,5.258,0.602545500559289,5.214,5.24,5.412,5.23,5.9084,18.502,108
70080024,8760003,sequential,1000,5.394906,5.252,0.600250991183202,5.216,5.24,5.368,5.232,5.928299999999999,17.748,162
71099360,8887420,sequential,1000,5.407938,5.254,0.6157977907357861,5.218,5.242,5.3985,5.23,5.914,18.332,142
72133528,9016691,sequential,1000,5.426742,5.254,0.7076820665689807,5.21,5.242,5.4345,5.23,5.9641,18.264,112
73182728,9147841,sequential,1000,5.465908,5.3,0.7000176285038944,5.214,5.2515,5.5115,5.232,6.012099999999999,17.488,73
74247200,9280900,sequential,1000,5.3969380000000005,5.252,0.5822439043219947,5.218,5.24,5.3805,5.23,5.8984,18.178,144
75327152,9415894,sequential,1000,5.395726,5.254,0.591266536378511,5.222,5.242,5.4085,5.2319,5.8761,17.748,132
76422808,9552851,sequential,1000,5.419682,5.252,0.7904074840655717,5.218,5.242,5.3785,5.232,5.9624,20.234,154
77534400,9691800,sequential,1000,5.44359,5.262,0.7634290614273417,5.21,5.242,5.452,5.23,6.0322,18.396,103
78662168,9832771,sequential,1000,5.4065,5.256,0.4449825968636431,5.216,5.242,5.4585,5.2319,5.9380999999999995,16.76,89
79806336,9975792,sequential,1000,5.435426,5.254,0.703340089718911,5.216,5.242,5.444,5.232,6.02,18.548,117
80967144,10120893,sequential,1000,5.43546,5.254,0.7270851512836838,5.214,5.242,5.444,5.23,6.0065,19.138,113
82144840,10268105,sequential,1000,5.438376,5.254,0.7104729737790667,5.218,5.242,5.44,5.232,6.054899999999999,18.118,122
83339664,10417458,sequential,1000,5.481534,5.302,0.6953163450284077,5.214,5.25,5.5955,5.232,6.0245,17.524,42
84551864,10568983,sequential,1000,5.427876,5.262,0.7114893911913077,5.218,5.242,5.4025,5.23,5.9745,18.53,155
85781704,10722713,sequential,1000,5.43042,5.254,0.6667650735178494,5.216,5.242,5.452,5.232,6.0020999999999995,17.644,104
87029424,10878678,sequential,1000,5.390504,5.252,0.5649166352558479,5.22,5.242,5.3685,5.232,5.9281,17.552,151
