footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2965760,11585,256,4096,0,random,1000,49.196534,48.672,5.647921506553378,47.984,48.4935,48.884,48.2218,49.316500000000005,205.244,37
3328768,13003,256,4096,0,random,1000,56.168424,48.969,223.3624756164332,48.072,48.806,49.1165,48.3179,49.3421,7112.346,83
3736576,14596,256,4096,0,random,1000,49.41973,49.122,2.115034064073719,48.696,48.994,49.2685,48.828,49.596399999999996,81.714,46
4194048,16383,256,4096,0,random,1000,48.23,48.049,1.141493470565357,47.47,47.898,48.234,47.6818,48.5641,58.59,27
4707840,18390,256,4096,0,random,1000,48.370002,48.208,1.1088359920444741,47.562,48.0475,48.386,47.8159,48.6544,59.646,26
5284352,20642,256,4096,0,random,1000,48.693692,48.528,1.129094787950142,47.836,48.376,48.7045,48.152,48.91,58.012,25
5931520,23170,256,4096,0,random,1000,49.023934,48.82,1.687520414333644,48.194,48.692,48.95,48.4259,49.1566,81.114,35
6657792,26007,256,4096,0,random,1000,48.351422,48.202,1.1200820280969004,47.526,48.04,48.3725,47.7836,48.5802,58.596,24
7473152,29192,256,4096,0,random,1000,48.623016,48.45,1.1180971930369368,47.716,48.287499999999994,48.6465,48.0479,48.9361,61.68,29
8388352,32767,256,4096,0,random,1000,49.055118,48.366,2.6415742375576974,47.516,48.1135,49.2455,47.7918,50.5641,82.022,32
9415680,36780,256,4096,0,random,1000,48.490986,48.32,1.1246312120722808,47.52,48.17,48.496,47.9059,48.8721,60.496,46
10568960,41285,256,4096,0,random,1000,48.393524,48.164,1.6768482392397475,47.596,47.9915,48.3645,47.7699,48.7622,79.984,38
11863040,46340,256,4096,0,random,1000,48.556762,48.400999999999996,1.1000032975453347,47.764,48.236,48.5645,47.9659,48.8904,58.102,32
13315840,52015,256,4096,0,random,1000,48.391998,48.22,1.119443768282421,47.504,48.049499999999995,48.4105,47.8359,48.7301,60.204,29
14946560,58385,256,4096,0,random,1000,48.55822,48.211,2.8526168825621636,47.588,48.054,48.38,47.8519,48.7324,99.392,36
16776960,65535,256,4096,0,random,1000,48.399226,48.141000000000005,1.3100145369464458,47.468,47.9795,48.356,47.766,49.102799999999995,64.526,57
18831616,73561,256,4096,0,random,1000,55.756336,54.316,4.142779734312582,49.962,52.896,57.559,51.647800000000004,63.59669999999999,82.304,43
21137920,82570,256,4096,0,random,1000,72.79982,70.62700000000001,10.943522183528545,52.932,66.47149999999999,78.42,56.9075,93.02349999999998,112.996,34
23726336,92681,256,4096,0,random,1000,91.790572,91.585,9.480786860609847,73.796,83.803,98.40950000000001,77.8459,107.1779,151.814,3
26631936,104031,256,4096,0,random,1000,110.517468,112.231,10.821953254991875,79.736,103.042,118.996,91.30409999999999,125.4071,138.626,0
29893376,116771,256,4096,0,random,1000,136.42791,138.279,14.247217407752427,91.942,127.09049999999999,146.6455,110.1016,157.1392,166.72,5
33554176,131071,256,4096,0,random,1000,160.71061,163.06,13.15485307829059,94.582,154.4665,169.64499999999998,135.8941,176.9589,229.478,23
37663488,147123,256,4096,0,random,1000,171.757426,174.267,10.598618437291877,117.958,166.656,178.66549999999998,150.9479,183.6119,231.24,40
42275840,165140,256,4096,0,random,1000,178.796474,179.947,8.128929540523696,127.692,175.13299999999998,183.67149999999998,164.9423,188.60090000000002,241.924,41
47452928,185363,256,4096,0,random,1000,173.71686,173.174,7.729136111975092,156.25,167.909,178.76749999999998,162.4413,185.531,224.324,9
53264128,208063,256,4096,0,random,1000,168.195646,168.425,11.21495268730379,98.202,163.3605,174.431,154.3753,180.78220000000002,231.452,38
59787008,233543,256,4096,0,random,1000,166.896608,167.148,7.393253016941088,144.716,162.2495,171.7805,154.8007,177.1123,225.552,9
67108608,262143,256,4096,0,random,1000,169.113966,169.071,9.328316746775496,140.16,163.536,175.3955,153.79229999999998,182.8779,230.596,17
75326976,294246,256,4096,0,random,1000,179.019406,178.842,5.773677638788005,160.622,175.4555,182.221,170.5958,187.9709,224.92,19
84551680,330280,256,4096,0,random,1000,181.587908,181.971,6.946475529491039,146.408,177.7765,185.20749999999998,171.19199999999998,191.089,253.998,19
94906112,370727,256,4096,0,random,1000,192.155454,191.41199999999998,6.567926919958071,175.204,188.475,194.39600000000002,184.4674,200.78009999999998,233.294,43
