footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,512,8,4096,0,sequential,1000,5.35782,5.212,4.127505467104918,5.192,5.208,5.216,5.204,5.248,135.002,70
4592,574,8,4096,0,sequential,1000,5.230924,5.21,0.4218787027853668,5.188,5.204,5.216,5.196,5.2440999999999995,15.546,63
5160,645,8,4096,0,sequential,1000,5.23168,5.208,0.4802846019798041,5.19,5.202,5.214,5.196,5.24,17.252,63
5792,724,8,4096,0,sequential,1000,30.723106,5.198,807.165704447056,5.042,5.06,5.208,5.048,5.224,25530.002,6
6496,812,8,4096,0,sequential,1000,5.104594,5.074,0.5537194094018634,5.05,5.066,5.08,5.058,5.106,16.91,54
7296,912,8,4096,0,sequential,1000,5.086226,5.064,0.4358398849684702,5.048,5.06,5.07,5.054,5.098,15.144,62
8192,1024,8,4096,0,sequential,1000,5.1006,5.062,0.6716820891082542,5.042,5.058,5.066,5.054,5.0961,20.112,67
9192,1149,8,4096,0,sequential,1000,5.089596,5.062,0.48846168283663727,5.04,5.056,5.066,5.0499,5.0961,14.104,67
10320,1290,8,4096,0,sequential,1000,5.090796,5.06,0.666644785214475,5.04,5.054,5.066,5.048,5.092,22.7,62
11584,1448,8,4096,0,sequential,1000,5.095146,5.064,0.539306308119957,5.042,5.06,5.068,5.054,5.096,17.682,75
13000,1625,8,4096,0,sequential,1000,5.0832619999999995,5.064,0.3896359577035153,5.044,5.06,5.068,5.052,5.098,14.318,76
14592,1824,8,4096,0,sequential,1000,5.246432,5.208,0.9179909982395518,5.042,5.202,5.214,5.06,5.2401,29.264,176
16384,2048,8,4096,0,sequential,1000,5.095912,5.062,0.5581380172522764,5.046,5.058,5.066,5.054,5.098,16.388,81
18384,2298,8,4096,0,sequential,1000,5.080424,5.062,0.3776488618900988,5.042,5.056,5.066,5.048,5.096,14.952,77
20640,2580,8,4096,0,sequential,1000,5.112772,5.08,0.5610401073167747,5.054,5.076,5.086,5.068,5.114,16.482,95
23168,2896,8,4096,0,sequential,1000,5.155578,5.082,1.1030050398951194,5.046,5.076,5.096,5.066,5.2461,37.506,159
26008,3251,8,4096,0,sequential,1000,5.278286,5.232,1.3696479787849831,5.052,5.1,5.244,5.076,5.26,37.154,5
29192,3649,8,4096,0,sequential,1000,5.260248,5.242,0.3808259535573999,5.2,5.228,5.256,5.214,5.278,14.108,9
32768,4096,8,4096,0,sequential,1000,5.2878739999999995,5.258,0.5179025421516747,5.214,5.25,5.268,5.236,5.292,16.654,46
36776,4597,8,4096,0,sequential,1000,5.265898,5.244,0.4385640797512355,5.22,5.238,5.252,5.23,5.274,16.628,54
41280,5160,8,4096,0,sequential,1000,5.788144,5.758,0.5219047459334202,5.73,5.752,5.766,5.742,5.79,17.014,59
46336,5792,8,4096,0,sequential,1000,5.780566,5.756,0.4861680893014833,5.726,5.75,5.764,5.742,5.79,17.252,60
52016,6502,8,4096,0,sequential,1000,5.781662,5.756,0.4600743572186677,5.714,5.748,5.764,5.736,5.788,15.278,46
58384,7298,8,4096,0,sequential,1000,5.72412,5.752,0.8846934859962315,5.22,5.742,5.76,5.242,5.784,26.43,209
65536,8192,8,4096,0,sequential,1000,5.291906,5.25,0.7473091529843148,5.226,5.244,5.256,5.234,5.276,20.41,52
73560,9195,8,4096,0,sequential,1000,5.279134,5.244,0.6051216954549806,5.212,5.238,5.252,5.23,5.2761,17.496,59
82568,10321,8,4096,0,sequential,1000,5.264816,5.244,0.42430468369864666,5.22,5.238,5.252,5.228,5.276,15.508,54
92680,11585,8,4096,0,sequential,1000,5.234114,5.232,0.9453997946772443,5.068,5.096,5.2445,5.082,5.262,29.298,4
104032,13004,8,4096,0,sequential,1000,5.199422,5.104,1.1432449671750018,5.074,5.096,5.2325,5.086,5.26,36.992,4
116768,14596,8,4096,0,sequential,1000,5.212008,5.106,1.0142518201564592,5.074,5.096,5.244,5.088,5.262,29.154,4
131072,16384,8,4096,0,sequential,1000,5.297748,5.238,1.5090179931994847,5.074,5.102,5.25,5.0899,5.268,37.17,7
