stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,8192,65536,4096,sequential,1000,7.174488,7.14,0.5959542157609788,7.1,7.132,7.15,7.118,7.1741,19.966,54
16,4096,65536,4096,sequential,1000,10.912238,7.164,122.21387695925847,5.252,7.154,7.174,5.27,7.204,3871.642,142
24,2730,65536,4096,sequential,1000,5.24808,5.232,0.30965798175675313,5.178,5.218,5.248,5.2,5.276,12.634,13
32,2048,65536,4096,sequential,1000,5.48787,5.458,0.5803093675463649,5.302,5.428,5.488,5.386,5.528,19.184,9
40,1638,65536,4096,sequential,1000,6.019344,5.996,0.4530476330606108,5.814,5.958,6.032,5.9,6.088,14.576,8
48,1365,65536,4096,sequential,1000,6.81969,6.756,1.1095720048441804,6.51,6.6835,6.8525,6.5919,6.95,39.2,4
56,1170,65536,4096,sequential,1000,7.510186,7.443,1.1766744069894886,7.078,7.3515,7.538,7.242,7.664,40.524,6
64,1024,65536,4096,sequential,1000,9.203264,9.176,0.5680041681528746,8.89,9.116,9.226,9.0139,9.3041,19.112,20
72,910,65536,4096,sequential,1000,9.253730000000001,9.226,0.4906035455833345,8.958,9.164,9.284,9.08,9.364,17.908,5
80,819,65536,4096,sequential,1000,9.415928,9.3,1.3894435102169804,8.992,9.224,9.428,9.126,9.592,42.11,6
88,744,65536,4096,sequential,1000,9.499606,9.434,1.3807323877894262,8.944,9.3,9.518,9.126,9.624,41.472,8
96,682,65536,4096,sequential,1000,9.309322,9.284,0.5064849289952261,8.896,9.224,9.34,9.1119,9.43,18.12,20
104,630,65536,4096,sequential,1000,9.158234,9.147,0.5353038047757622,8.526,8.952,9.338,8.741900000000001,9.4381,17.71,4
112,585,65536,4096,sequential,1000,8.982388,8.869,1.1266083293602014,8.25,8.68,9.2485,8.46,9.4122,40.594,5
120,546,65536,4096,sequential,1000,7.817486,7.716,1.3799699565153165,7.12,7.602,7.84,7.487900000000001,8.0161,39.326,9
