footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2965760,46340,64,4096,0,sequential,1000,18.905896,18.256,6.201305923137184,17.91,18.192,18.32,18.09,18.905799999999974,193.064,59
3328960,52015,64,4096,0,sequential,1000,19.572168,12.834,208.9057724533051,11.146,12.662,12.9845,12.283800000000001,13.222199999999999,6618.884,56
3736640,58385,64,4096,0,sequential,1000,12.45636,12.329,1.3130727681642378,11.258,11.9875,12.761,11.677900000000001,13.120599999999998,43.114,7
4194240,65535,64,4096,0,sequential,1000,12.507174000000001,12.398,1.256207598789012,11.736,12.262,12.54,12.0618,12.7981,33.246,23
4707904,73561,64,4096,0,sequential,1000,12.06949,11.951,1.4537680094586363,11.404,11.826,12.082,11.646,12.312199999999999,44.968,25
5284480,82570,64,4096,0,sequential,1000,11.614672,11.524999999999999,0.7520727477005359,10.796,11.3675,11.7425,11.154,12.146,24.326,23
5931584,92681,64,4096,0,sequential,1000,11.485162,11.418,0.8506344083404178,10.776,11.296,11.5485,11.1157,11.7401,26.754,21
6657984,104031,64,4096,0,sequential,1000,11.487018,11.423,0.7072540250376324,10.82,11.298,11.56,11.1339,11.8001,23.43,23
7473344,116771,64,4096,0,sequential,1000,11.496966,11.436,0.7701624328782968,10.832,11.302,11.568,11.1157,11.7682,23.924,24
8388544,131071,64,4096,0,sequential,1000,11.211714,11.113,1.1457494036218825,10.49,10.971499999999999,11.256499999999999,10.798,11.6141,39.724,39
9415872,147123,64,4096,0,sequential,1000,11.071256,11.013,0.6617505755859139,10.458,10.908,11.1285,10.7399,11.3361,23.128,23
10568960,165140,64,4096,0,sequential,1000,11.231176,11.036,1.8998424129959355,10.516,10.926,11.172,10.7859,12.1287,65.95,94
11863232,185363,64,4096,0,sequential,1000,11.154176,11.038,0.7545695410074649,10.502,10.918,11.18,10.772,11.8523,23.09,81
13316032,208063,64,4096,0,sequential,1000,11.062784,10.945,1.3022755818316778,10.428,10.814,11.084,10.6519,11.3121,43.228,26
14946752,233543,64,4096,0,sequential,1000,10.901906,10.757,1.2704323395968373,10.374,10.642,10.908,10.512,11.2381,42.902,30
16777152,262143,64,4096,0,sequential,1000,10.770496,10.706,0.6662525936178428,10.286,10.61,10.798,10.486,10.9321,20.096,22
18831744,294246,64,4096,0,sequential,1000,10.860734,10.736,0.7166242247674324,10.294,10.6335,10.8585,10.506,11.572299999999998,20.22,94
21137920,330280,64,4096,0,sequential,1000,10.898434,10.76,0.7488786837178147,10.312,10.656,10.886,10.5198,11.626599999999998,20.276,94
23726528,370727,64,4096,0,sequential,1000,11.518954,11.131,1.7234995400488358,10.344,10.8065,11.668,10.5496,13.180399999999999,32.244,60
26632128,416127,64,4096,0,sequential,1000,13.108342,12.771,1.8856864162146092,10.24,11.8585,13.9465,10.872,16.2047,29.842,26
29893568,467087,64,4096,0,sequential,1000,13.77383,13.472000000000001,2.164253506486784,10.554,12.368,14.8325,11.293800000000001,16.5721,43.172,15
33554368,524287,64,4096,0,sequential,1000,15.382384,15.093,2.4044137451782297,11.448,13.8075,16.4605,12.6794,18.5951,36.78,19
37663552,588493,64,4096,0,sequential,1000,16.094828,16.016,2.4217427213112925,11.674,14.489,17.4615,12.7878,18.928,33.828,18
42275904,660561,64,4096,0,sequential,1000,16.448914,16.451,2.7870945201891644,11.626,14.553,17.7175,13.069899999999999,19.1982,49.914,22
47453120,741455,64,4096,0,sequential,1000,16.514996,16.716,2.8095272120303694,11.498,14.465499999999999,18.001,12.6772,19.4781,36.27,21
53264320,832255,64,4096,0,sequential,1000,16.30328,16.366,2.7769299230260382,11.498,14.474,17.728,12.6696,19.0574,37.036,20
59787136,934174,64,4096,0,sequential,1000,15.651888,15.702,2.4762614891037695,11.156,13.958,17.0165,12.1999,18.4845,34.852,16
67108800,1048575,64,4096,0,sequential,1000,17.494242,17.466,3.0450011128426886,12.2,16.139,18.72,13.987499999999999,20.162499999999998,75.182,22
75327104,1176986,64,4096,0,sequential,1000,16.690978,16.487000000000002,2.470138190100747,11.87,15.5175,17.669,13.4677,19.1084,36.246,28
84551808,1321122,64,4096,0,sequential,1000,16.95703,16.59,2.580291091566457,12.712,15.709,17.5885,14.9297,18.816399999999998,52.376,29
94906240,1482910,64,4096,0,sequential,1000,18.04542,17.715,2.304746299075693,14.844,16.941,18.611,16.119,19.773099999999996,38.778,27
