num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,9.885200000000001,9.8,1.1419133654240736,9.786,9.798,9.8,9.796,9.878,30.646,186
3,32768,random,1000,9.834188000000001,9.8,1.3256494858050583,4.766,9.798,9.8,9.796,9.878,31.602,148
4,32768,random,1000,7.91371,4.768,98.89933374602332,4.76,4.766,4.768,4.766,4.806,3132.218,173
5,32768,random,1000,23.29602,4.768,584.6468489989935,4.76,4.766,4.768,4.766,4.806,18492.942,163
6,32768,random,1000,4.78814,4.768,0.4045273473756438,4.76,4.766,4.768,4.766,4.806,15.248,152
7,32768,random,1000,4.80216,4.78,0.5014034980610604,4.76,4.768,4.786,4.766,4.808,16.318,41
8,32768,random,1000,4.8058119999999995,4.784,0.4851671132545814,4.76,4.768,4.786,4.766,4.812,16.378,48
9,32768,random,1000,12.685602,12.622,0.9597603875955694,12.566,12.618,12.626,12.604,12.636,36.604,132
10,32768,random,1000,14.939084,14.888,0.6324791718680125,14.882,14.886,14.888,14.884,14.898,25.204,97
11,32768,random,1000,15.007928,14.954,0.6535388188958662,14.95,14.954,14.956,14.954,14.968,26.236,90
12,32768,random,1000,14.936266,14.886,0.6146882061946811,14.868,14.886,14.888,14.87,14.902,24.464,202
13,32768,random,1000,15.01089,14.954,0.6367553354760817,14.95,14.954,14.956,14.954,14.97,24.826,89
14,32768,random,1000,14.936256,14.886,0.6148075754403315,14.864,14.886,14.888,14.87,14.902,24.514,175
15,32768,random,1000,14.938858,14.888,0.6175089320140374,14.882,14.886,14.888,14.886,14.904,25.018,92
16,32768,random,1000,14.938848,14.886,0.6402370001119213,14.868,14.886,14.888,14.886,14.9,26.646,76
17,32768,random,1000,15.007124000000001,14.954,0.6318943987369686,14.95,14.954,14.956,14.954,14.974,25.554,91
18,32768,random,1000,16.395646,14.972,2.9128785110100117,14.95,14.954,16.274,14.954,19.772,50.76,209
19,32768,random,1000,16.638138,16.274,3.41130603755187,14.952,14.954,16.28,14.954,19.766,78.726,175
20,32768,random,1000,15.043098,14.954,1.1198541796947403,14.95,14.954,14.956,14.954,14.974,38.654,92
21,32768,random,1000,15.029832,14.954,0.9085468073121368,14.95,14.954,14.956,14.954,14.974,33.974,91
22,32768,random,1000,14.958015999999999,14.888,0.8846373126422595,14.882,14.886,14.89,14.886,14.906,33.94,107
23,32768,random,1000,15.027252,14.954,0.9282686611122898,14.952,14.954,14.956,14.954,14.974,35.604,89
24,32768,random,1000,14.960092,14.886,0.9181577278164952,14.882,14.886,14.888,14.884,14.906,34.584,215
25,32768,random,1000,15.029424,14.954,0.9290365984315285,14.95,14.954,14.956,14.954,14.9741,32.502,94
26,32768,random,1000,15.018784,14.954,0.8230652597247473,14.95,14.954,14.956,14.954,14.974,33.424,92
27,32768,random,1000,15.021256000000001,14.954,0.8535372495095338,14.95,14.954,14.956,14.954,14.974,33.806,87
28,32768,random,1000,15.06179,14.954,1.5264807917256957,14.95,14.954,14.956,14.954,14.976,54.562,90
29,32768,random,1000,14.97028,14.904,0.8677389079742894,14.888,14.904,14.906,14.902,14.924,35.162,93
30,32768,random,1000,15.019684,14.954,0.8459630261338763,14.952,14.954,14.956,14.954,14.976,34.474,91
31,32768,random,1000,14.96886,14.904,0.8286272959513195,14.898,14.902,14.904,14.9,14.924,32.696,124
32,32768,random,1000,15.021376,14.954,0.8601350888058196,14.95,14.954,14.956,14.954,14.976,33.526,90
33,32768,random,1000,42.101274,14.954,856.6636302643639,14.95,14.954,14.956,14.954,14.976,27105.084,94
34,32768,random,1000,14.994302,14.902,1.2959623479110816,14.882,14.886,14.904,14.886,14.9162,44.346,14
35,32768,random,1000,42.217506,14.939,861.6396019256349,14.882,14.888,14.954,14.886,14.958,27262.4,7
36,32768,random,1000,14.965945999999999,14.888,0.995742131013585,14.882,14.886,14.902,14.886,14.91,38.72,17
37,32768,random,1000,15.157462,14.904,1.54924157962147,14.9,14.904,14.906,14.902,15.756,47.126,231
38,32768,random,1000,33.82373,14.954,594.9196582017288,14.95,14.954,14.956,14.954,14.974,18828.01,94
39,32768,random,1000,15.027454,14.954,0.8980356774438095,14.952,14.954,14.956,14.954,14.976,35.232,91
40,32768,random,1000,15.02952,14.954,0.9213087231560132,14.95,14.954,14.956,14.954,14.976,31.662,92
