num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,23728128,random,1000,10.00512,9.8,3.9098910462560963,9.786,9.798,9.8,9.796,9.878,126.88,201
3,23728128,random,1000,9.86796,9.8,0.9001367210132672,9.786,9.798,9.8,9.796,9.876,26.44,159
4,23728128,random,1000,4.8109779999999995,4.768,0.9311891369237104,4.76,4.766,4.768,4.766,4.806,32.818,166
5,23728128,random,1000,23.829645999999997,4.768,598.5432069461018,4.758,4.766,4.806,4.766,5.048,18932.456,216
6,23728128,random,1000,4.789962,4.768,0.458182424029654,4.76,4.766,4.768,4.766,4.804,17.58,184
7,23728128,random,1000,4.815206,4.768,0.9305135426295617,4.76,4.766,4.768,4.766,4.804,30.71,176
8,23728128,random,1000,4.821422,4.768,1.0018754894758193,4.76,4.766,4.768,4.766,4.806,33.946,197
9,23728128,random,1000,7.628026,7.594,0.5020802085920734,7.582,7.592,7.598,7.586,7.606,17.556,57
10,23728128,random,1000,9.888244,9.864,0.4338329165283144,9.846,9.852,9.866,9.848,9.876,17.66,15
11,23728128,random,1000,9.888608,9.864,0.4323178472571506,9.814,9.852,9.866,9.848,9.8761,17.916,16
12,23728128,random,1000,9.898034,9.864,0.5238474080788706,9.846,9.852,9.866,9.848,9.8761,18.278,22
13,23728128,random,1000,9.894972000000001,9.864,0.48815907499348865,9.848,9.85,9.866,9.848,9.878,18.03,12
14,23728128,random,1000,9.890658,9.864,0.42593010164519657,9.848,9.85,9.866,9.848,9.8761,17.916,11
15,23728128,random,1000,9.887562,9.864,0.39787174073824105,9.846,9.86,9.866,9.848,9.8781,17.762,230
16,23728128,random,1000,9.889448,9.864,0.42826872568213215,9.846,9.86,9.866,9.848,9.876,17.878,219
17,23728128,random,1000,9.884776,9.864,0.4001743236557205,9.848,9.848,9.866,9.848,9.876,18.076,8
18,23728128,random,1000,9.89331,9.864,0.4815533007689611,9.848,9.85,9.866,9.848,9.876,19.046,9
19,23728128,random,1000,9.890806,9.864,0.4355243688243401,9.846,9.85,9.866,9.848,9.876,17.44,5
20,23728128,random,1000,9.894266,9.864,0.45739799974876827,9.848,9.856,9.866,9.848,9.878,17.62,34
21,23728128,random,1000,9.888926,9.864,0.39906925062047915,9.848,9.85,9.866,9.848,9.876,16.19,9
22,23728128,random,1000,9.954024,9.864,1.3241004438521307,9.848,9.852,9.866,9.848,9.88,41.746,28
23,23728128,random,1000,9.884166,9.864,0.36437657819175856,9.848,9.85,9.866,9.848,9.8781,16.608,8
24,23728128,random,1000,9.894812,9.864,0.5062921611168876,9.848,9.85,9.866,9.848,9.876,21.28,7
25,23728128,random,1000,9.888938,9.864,0.3834184735793019,9.848,9.852,9.866,9.848,9.876,15.782,13
26,23728128,random,1000,9.89169,9.866,0.403501138869606,9.846,9.864,9.866,9.848,9.876,16.568,323
27,23728128,random,1000,9.8953,9.866,0.4563091408596063,9.848,9.864,9.866,9.848,9.878,18.628,299
28,23728128,random,1000,9.890446,9.864,0.41275295527238337,9.848,9.85,9.866,9.848,9.8781,16.106,8
29,23728128,random,1000,10.76991,10.738,0.4499739553134831,10.722,10.734,10.742,10.728,10.754,18.09,47
30,23728128,random,1000,10.734112,10.704,0.3817623789348159,10.692,10.702,10.712,10.7,10.724,16.586,37
31,23728128,random,1000,10.899292,10.684,1.3206990788187871,10.664,10.678,10.7005,10.672,11.298,43.4,226
32,23728128,random,1000,10.684684,10.656,0.38700367955872456,10.644,10.656,10.66,10.646,10.674,16.948,260
33,23728128,random,1000,10.661158,10.632,0.4134808114258961,10.614,10.6275,10.636,10.62,10.648,16.946,52
34,23728128,random,1000,11.395252,11.358,0.459380346552613,11.342,11.354,11.366,11.348,11.374,18.642,12
35,23728128,random,1000,11.34961,11.312,0.4880043033622758,11.298,11.308,11.32,11.304,11.332,19.748,18
36,23728128,random,1000,11.454926,11.419,0.47861277115086337,11.394,11.41,11.424,11.404,11.434,19.006,16
37,23728128,random,1000,12.093112,12.062,0.4176054570689585,12.05,12.06,12.066,12.056,12.0761,19.342,56
38,23728128,random,1000,12.712916,12.676,0.44979223870805285,12.652,12.67,12.688,12.662,12.7,19.52,8
39,23728128,random,1000,13.299578,13.258,0.5040996313769277,13.236,13.25,13.266,13.24,13.272,21.004,8
40,23728128,random,1000,13.339038,13.304,0.4408802989406467,13.292,13.304,13.306,13.298,13.318,19.546,167
