num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,23728128,random,1000,9.49298,9.284,4.617448551605825,9.27,9.282,9.284,9.282,9.36,148.91,178
3,23728128,random,1000,9.369918,9.284,1.655920553092495,9.268,9.282,9.284,9.282,9.3601,58.406,159
4,23728128,random,1000,8.076342,4.768,104.09961600680283,4.76,4.766,4.768,4.766,4.806,3296.674,168
5,23728128,random,1000,23.633676,4.768,595.2097922874403,4.76,4.766,4.768,4.766,4.806,18826.972,177
6,23728128,random,1000,4.822304,4.768,1.0603373986533642,4.76,4.766,4.768,4.766,4.8041,34.316,169
7,23728128,random,1000,4.78492,4.768,0.32356212084551256,4.76,4.766,4.768,4.766,4.804,12.848,172
8,23728128,random,1000,4.789514,4.768,0.4419199079120661,4.76,4.766,4.768,4.766,4.808,17.578,180
9,23728128,random,1000,7.622452,7.592,0.43390656898300883,7.544,7.588,7.598,7.584,7.612,16.144,47
10,23728128,random,1000,9.896118,9.864,0.4835134324042253,9.848,9.854,9.866,9.848,9.882,18.05,34
11,23728128,random,1000,9.886554,9.864,0.4181418176452382,9.842,9.85,9.866,9.848,9.876,18.008,7
12,23728128,random,1000,9.949788,9.864,0.9443180966833813,9.848,9.852,9.866,9.848,9.886,34.564,47
13,23728128,random,1000,9.8926,9.864,0.44768189049265217,9.848,9.852,9.866,9.848,9.88,17.766,14
14,23728128,random,1000,9.897304,9.864,0.5289298198611403,9.848,9.85,9.866,9.848,9.878,19.016,9
15,23728128,random,1000,9.88786,9.866,0.3905714665339372,9.848,9.862,9.866,9.848,9.8761,17.27,259
16,23728128,random,1000,9.894222000000001,9.866,0.44467726339963076,9.848,9.86,9.866,9.848,9.878,17.984,206
17,23728128,random,1000,9.892798,9.864,0.4492231345563367,9.848,9.852,9.866,9.848,9.876,17.846,15
18,23728128,random,1000,9.89307,9.864,0.44087263896026,9.848,9.856,9.866,9.848,9.88,18.234,47
19,23728128,random,1000,9.890684,9.864,0.43153946569746604,9.848,9.85,9.866,9.848,9.8761,18.164,8
20,23728128,random,1000,9.893438,9.864,0.4583537414577395,9.848,9.852,9.866,9.848,9.876,17.866,17
21,23728128,random,1000,9.89728,9.866,0.48323057165848415,9.848,9.864,9.866,9.848,9.878,18.45,316
22,23728128,random,1000,9.883698,9.864,0.34833478424917297,9.848,9.852,9.866,9.848,9.876,15.642,15
23,23728128,random,1000,9.883682,9.864,0.34100820734034165,9.848,9.854,9.866,9.848,9.8761,15.824,26
24,23728128,random,1000,9.877908,9.864,0.2985901599510935,9.848,9.852,9.866,9.848,9.8781,15.892,12
25,23728128,random,1000,9.89,9.864,0.41144671635632285,9.848,9.85,9.866,9.848,9.876,16.82,9
26,23728128,random,1000,9.892494000000001,9.864,0.4451854872770249,9.848,9.852,9.866,9.848,9.8781,17.43,15
27,23728128,random,1000,9.895724,9.866,0.49875570882054177,9.848,9.864,9.866,9.848,9.878,18.416,297
28,23728128,random,1000,10.800318,10.77,0.43082791409978016,10.756,10.768,10.774,10.758,10.7841,18.832,148
29,23728128,random,1000,10.768532,10.738,0.43215695830636885,10.716,10.732,10.744,10.724,10.754,18.444,12
30,23728128,random,1000,10.741584,10.708,0.42612984592678976,10.694,10.706,10.71,10.698,10.726,17.18,143
31,23728128,random,1000,10.708742,10.68,0.3780797875604589,10.664,10.676,10.686,10.67,10.6961,16.42,38
32,23728128,random,1000,10.685528,10.656,0.42122833062665965,10.644,10.654,10.658,10.646,10.674,18.04,177
33,23728128,random,1000,10.660602,10.632,0.4048631420119147,10.614,10.626,10.6365,10.6199,10.65,17.338,30
34,23728128,random,1000,10.644726,10.61,0.5014613808065786,10.592,10.604,10.616,10.594,10.624,19.82,18
35,23728128,random,1000,10.761488,10.732,0.39579013085685155,10.716,10.73,10.738,10.722,10.75,17.042,108
36,23728128,random,1000,11.451462,11.418,0.43200205130106545,11.396,11.412,11.422,11.4,11.436,17.718,52
37,23728128,random,1000,12.10159,12.062,0.5067619594874734,12.052,12.058,12.066,12.054,12.078,19.768,40
38,23728128,random,1000,12.71281,12.678,0.4747513630909939,12.654,12.67,12.684,12.662,12.69,21.512,13
39,23728128,random,1000,13.292372,13.258,0.44858394216597763,13.244,13.254,13.26,13.248,13.27,19.922,59
40,23728128,random,1000,13.84704,13.808,0.49709359726760155,13.798,13.806,13.81,13.806,13.82,22.24,68
