footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,32,128,4096,0,random,1000,14.978208,17.636,4.826462300181269,8.386,8.4,17.64,8.398,17.686,47.06,7
4480,35,128,4096,0,random,1000,15.817714,8.398,286.46321733873316,4.76,4.768,8.4,4.766,8.418,9065.306,3
5120,40,128,4096,0,random,1000,4.788342,4.768,0.32668375121715093,4.76,4.766,4.768,4.766,4.806,11.46,168
5760,45,128,4096,0,random,1000,4.78525,4.768,0.3461290840753531,4.76,4.766,4.768,4.766,4.806,14.152,153
6400,50,128,4096,0,random,1000,4.810968,4.768,0.9529233032084994,4.76,4.766,4.768,4.766,4.804,33.772,161
7296,57,128,4096,0,random,1000,4.787782,4.768,0.3186250058773956,4.76,4.766,4.768,4.766,4.806,10.898,161
8192,64,128,4096,0,random,1000,4.7865079999999995,4.768,0.3624680579430814,4.76,4.766,4.768,4.766,4.804,13.424,159
9088,71,128,4096,0,random,1000,4.782872,4.768,0.2839412020510976,4.76,4.766,4.768,4.766,4.8041,11.812,141
10240,80,128,4096,0,random,1000,4.788684,4.768,0.33448650401079766,4.76,4.766,4.768,4.766,4.804,11.212,167
11520,90,128,4096,0,random,1000,4.783158,4.768,0.28600179730914993,4.76,4.766,4.768,4.766,4.8041,11.872,178
12928,101,128,4096,0,random,1000,4.788392,4.768,0.327880172843287,4.76,4.766,4.768,4.766,4.806,10.816,175
14592,114,128,4096,0,random,1000,4.791892,4.768,0.3976087638182351,4.76,4.766,4.768,4.766,4.806,13.884,168
16384,128,128,4096,0,random,1000,5.053606,4.806,1.4508849312911922,4.76,4.768,5.188,4.766,5.2001,37.192,4
18304,143,128,4096,0,random,1000,4.7838199999999995,4.768,0.2981781712698329,4.76,4.766,4.768,4.766,4.806,11.92,172
20608,161,128,4096,0,random,1000,4.954748,4.948,0.35487722149827866,4.762,4.938,4.956,4.768,4.9742,11.568,118
23168,181,128,4096,0,random,1000,4.784302,4.768,0.2959654783253621,4.76,4.766,4.768,4.766,4.8061,11.998,210
25984,203,128,4096,0,random,1000,4.906636,4.932,0.2990443027362317,4.762,4.7875,4.942,4.766,4.96,12.434,3
29184,228,128,4096,0,random,1000,4.966238,4.968,0.3727787324128609,4.76,4.954,4.978,4.768,5.008,11.768,161
32768,256,128,4096,0,random,1000,5.008926,4.99,0.3288573759210787,4.934,4.978,5.02,4.948,5.038,12.544,2
36736,287,128,4096,0,random,1000,9.757884,9.732,0.42109271380257535,9.65,9.722,9.744,9.672,9.76,16.364,134
41216,322,128,4096,0,random,1000,9.728028,9.698,0.388462433548314,9.472,9.638,9.766,9.5679,9.848,16.41,4
46336,362,128,4096,0,random,1000,9.84593,9.86,0.4135074891021244,9.588,9.752,9.88,9.7019,9.89,15.734,5
51968,406,128,4096,0,random,1000,9.905638,9.876,0.46467054099401184,9.802,9.862,9.886,9.832,9.91,18.648,43
58368,456,128,4096,0,random,1000,9.88978,9.862,0.45358465873819254,9.814,9.85,9.872,9.834,9.888,18.668,9
65536,512,128,4096,0,random,1000,9.901418,9.876,0.38828603802264555,9.82,9.87,9.884,9.86,9.894,17.03,32
73472,574,128,4096,0,random,1000,9.905972,9.876,0.41925485071236307,9.826,9.868,9.888,9.854,9.898,16.536,19
82560,645,128,4096,0,random,1000,9.915294,9.878,0.5792113390976901,9.82,9.868,9.886,9.848,9.896,20.314,32
92672,724,128,4096,0,random,1000,9.905752,9.87,0.582612729081753,9.826,9.86,9.882,9.846,9.894,22.752,9
103936,812,128,4096,0,random,1000,9.91989,9.878,0.6291680127662946,9.844,9.87,9.884,9.856,9.894,22.606,18
116736,912,128,4096,0,random,1000,9.901608,9.872,0.4164655494634459,9.838,9.864,9.88,9.852,9.898,16.144,24
131072,1024,128,4096,0,random,1000,9.916202,9.874,0.6011540746076812,9.846,9.868,9.88,9.856,9.8901,19.62,21
