footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4096,256,16,4096,0,sequential,1000,9.780606,9.296,5.79269622389318,9.27,9.282,9.8,9.282,9.818,186.768,7
4592,287,16,4096,0,sequential,1000,9.349922,9.284,0.9854592227970652,9.27,9.282,9.286,9.282,9.36,29.402,175
5152,322,16,4096,0,sequential,1000,4.799436,4.768,0.5357604400785422,4.76,4.766,4.768,4.766,4.806,15.354,150
5792,362,16,4096,0,sequential,1000,4.791408,4.768,0.4708605134847889,4.76,4.766,4.768,4.766,4.806,16.514,166
6496,406,16,4096,0,sequential,1000,4.820938,4.768,1.0484150295709378,4.76,4.766,4.768,4.766,4.804,34.426,185
7296,456,16,4096,0,sequential,1000,4.789636,4.768,0.44023765933947623,4.76,4.766,4.768,4.766,4.806,16.472,168
8192,512,16,4096,0,sequential,1000,4.782526,4.768,0.2755130537139153,4.76,4.766,4.768,4.766,4.806,11.686,163
9184,574,16,4096,0,sequential,1000,4.7916479999999995,4.768,0.3312998818407693,4.76,4.766,4.776,4.764,4.806,10.934,89
10320,645,16,4096,0,sequential,1000,4.8163219999999995,4.768,0.9822624108453708,4.76,4.766,4.776,4.762,4.806,34.02,72
11584,724,16,4096,0,sequential,1000,4.797148,4.768,0.4527704707632723,4.76,4.766,4.774,4.762,4.8041,14.176,71
12992,812,16,4096,0,sequential,1000,4.785956,4.77,0.29854272361225254,4.758,4.766,4.776,4.762,4.804,12.41,65
14592,912,16,4096,0,sequential,1000,4.79719,4.768,0.43755562254737723,4.76,4.766,4.776,4.766,4.806,14.024,73
16384,1024,16,4096,0,sequential,1000,4.785912,4.768,0.29015494851914925,4.76,4.766,4.774,4.764,4.806,11.516,86
18384,1149,16,4096,0,sequential,1000,4.82202,4.808,0.2680599779000061,4.788,4.804,4.814,4.7979,4.838,10.972,67
20640,1290,16,4096,0,sequential,1000,4.821608,4.804,0.3432040491534961,4.786,4.8,4.808,4.7959000000000005,4.838,13.568,77
23168,1448,16,4096,0,sequential,1000,4.822108,4.806,0.30751228941969805,4.79,4.802,4.812,4.796,4.836,12.738,73
26000,1625,16,4096,0,sequential,1000,4.832198,4.82,0.2710227335817387,4.79,4.806,4.83,4.796,4.85,11.36,13
29184,1824,16,4096,0,sequential,1000,4.826736,4.82,0.1885683332914631,4.768,4.812,4.828,4.792,4.854,10.758,74
32768,2048,16,4096,0,sequential,1000,4.8586599999999995,4.842,0.32467568233346134,4.8,4.83,4.858,4.816,4.8781,13.382,15
36768,2298,16,4096,0,sequential,1000,4.855294,4.836,0.3445168172983743,4.804,4.828,4.844,4.816,4.862,12.332,30
41280,2580,16,4096,0,sequential,1000,4.85652,4.842,0.2718571019559428,4.81,4.836,4.85,4.826,4.8701,11.436,51
46336,2896,16,4096,0,sequential,1000,4.863112,4.844,0.3355955121925855,4.812,4.836,4.852,4.826,4.87,11.13,34
52016,3251,16,4096,0,sequential,1000,4.849198,4.834,0.300040932803105,4.802,4.826,4.844,4.816,4.864,12.16,32
58384,3649,16,4096,0,sequential,1000,4.854306,4.834,0.3493568613618181,4.798,4.826,4.844,4.814,4.864,12.574,37
65536,4096,16,4096,0,sequential,1000,4.855688,4.842,0.28491334519511413,4.814,4.834,4.85,4.826,4.8681,11.754,32
73552,4597,16,4096,0,sequential,1000,4.84898,4.833,0.3220615768129742,4.8,4.824,4.842,4.816,4.862,13.446,32
82560,5160,16,4096,0,sequential,1000,5.046666,4.872,1.2693677792519404,4.808,4.842,5.118,4.828,5.136,37.306,5
92672,5792,16,4096,0,sequential,1000,4.857748,4.842,0.3306078614522862,4.816,4.834,4.848,4.826,4.866,13.274,37
104032,6502,16,4096,0,sequential,1000,4.855682,4.836,0.3711253331273532,4.804,4.824,4.846,4.814,4.866,13.274,13
116768,7298,16,4096,0,sequential,1000,4.856352,4.834,0.46496046318835355,4.806,4.824,4.844,4.814,4.862,16.098,21
131072,8192,16,4096,0,sequential,1000,4.855992,4.842,0.27747475592596915,4.816,4.836,4.85,4.826,4.866,11.7,42
