num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,33554432,random,1000,3.2483880000000003,3.224,0.9745829412448,3.198,3.198,3.224,3.198,3.224,34.034,3
3,33554432,random,1000,3.4350940000000003,3.224,6.144862125198718,3.198,3.198,3.224,3.198,3.224,195.624,3
4,33554432,random,1000,3.25299,3.224,1.126670202697154,3.198,3.198,3.224,3.198,3.224,38.844,1
5,33554432,random,1000,14.534468,3.224,346.0405578322024,3.198,3.198,3.224,3.198,3.224,10939.682,3
6,33554432,random,1000,3.237234,3.224,0.6926683352562513,3.198,3.198,3.224,3.198,3.224,25.116,1
7,33554432,random,1000,3.267056,3.224,1.5977989480351842,3.198,3.198,3.224,3.198,3.224,53.742,1
8,33554432,random,1000,3.282344,3.224,1.4975864953233837,3.198,3.198,3.224,3.198,3.224,41.314,2
9,33554432,random,1000,3.262922,3.224,1.4358177567318722,3.198,3.198,3.224,3.198,3.224,48.62,2
10,33554432,random,1000,3.2526,3.224,1.0304816681865177,3.198,3.224,3.224,3.198,3.224,35.802,238
11,33554432,random,1000,3.277794,3.224,1.4698580299444541,3.198,3.224,3.224,3.198,3.224,47.684,250
12,33554432,random,1000,16.383016,16.25,2.0345879887653,9.776,16.198,16.276,16.12,16.38,48.36,34
13,33554432,random,1000,9.415484,9.282,1.7425486051715704,9.256,9.282,9.334,9.282,9.36,43.394,8
14,33554432,random,1000,9.486203999999999,9.386,1.6536948621438845,9.36,9.386,9.412,9.386,9.412,41.704,3
15,33554432,random,1000,9.633364,9.516,1.9115144412122453,9.49,9.516,9.516,9.49,9.542,45.344,186
16,33554432,random,1000,9.724806,9.594,1.9053456317267845,9.568,9.594,9.62,9.594,9.62,47.086,5
17,33554432,random,1000,9.802962,9.672,2.008137235776906,9.646,9.672,9.672,9.672,9.698,49.166,257
18,33554432,random,1000,9.891752,9.776,1.8686033589312123,9.75,9.776,9.776,9.75,9.802,42.276,260
19,33554432,random,1000,9.938343999999999,9.854,1.7904663088891863,9.828,9.828,9.854,9.828,9.854,48.672,3
20,33554432,random,1000,10.009558,9.88,1.859191629216889,9.854,9.88,9.906,9.88,9.906,44.018,5
21,33554432,random,1000,10.075728,9.958,1.6902470722297323,9.932,9.958,9.984,9.932,10.01,37.856,7
22,33554432,random,1000,10.085816,10.01,1.4073468482557152,9.984,10.01,10.01,9.984,10.036,38.454,272
23,33554432,random,1000,10.172578,10.062,1.8953827565190389,10.036,10.036,10.062,10.036,10.062,45.214,5
24,33554432,random,1000,10.205104,10.088,1.829187418444539,10.062,10.088,10.088,10.062,10.114,43.524,304
25,33554432,random,1000,10.218572,10.14,1.4515146432522046,10.088,10.114,10.14,10.114,10.14,36.062,5
26,33554432,random,1000,10.265398000000001,10.166,1.5627575514969558,10.14,10.166,10.192,10.166,10.192,42.666,4
27,33554432,random,1000,10.315552,10.192,1.8794457149626564,10.166,10.192,10.218,10.166,10.218,44.876,5
28,33554432,random,1000,10.333674,10.218,1.9020657590829704,10.192,10.218,10.218,10.192,10.244,56.758,259
29,33554432,random,1000,10.376574,10.244,2.1989745418170625,10.218,10.244,10.244,10.218,10.27,61.308,270
30,33554432,random,1000,10.436218,10.296,2.3013820951819417,10.244,10.296,10.296,10.27,10.322,58.734,306
31,33554432,random,1000,10.45993,10.322,2.329288325476948,10.296,10.296,10.322,10.296,10.322,58.396,5
32,33554432,random,1000,10.487724,10.348,2.388352461280224,10.296,10.322,10.348,10.322,10.348,55.64,5
33,33554432,random,1000,10.497552,10.374,2.2011935408546655,10.322,10.348,10.374,10.348,10.374,58.214,5
34,33554432,random,1000,10.475634000000001,10.374,1.747362376073526,10.322,10.348,10.374,10.348,10.374,41.444,7
35,33554432,random,1000,10.496512000000001,10.374,1.7741854897411398,10.348,10.374,10.4,10.374,10.4,41.756,5
36,33554432,random,1000,10.643048,10.4,4.112360907061286,10.374,10.4,10.426,10.4,10.426,125.84,6
37,33554432,random,1000,10.527296,10.426,1.523810757150509,10.4,10.426,10.426,10.4,10.452,35.594,303
38,33554432,random,1000,10.558236,10.452,1.7059248905025204,10.426,10.452,10.452,10.426,10.478,38.714,220
39,33554432,random,1000,10.567466,10.452,1.7876927869028123,10.426,10.452,10.452,10.426,10.478,41.964,253
40,33554432,random,1000,10.597964,10.478,1.9024352863429346,10.452,10.478,10.478,10.452,10.504,43.004,261
