size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,16384,random,1000,8.557198,8.372,3.5047823253297694,8.138,8.294,8.502,8.216,8.606,110.604,5
132976,16622,random,1000,8.552336,8.476,1.397072010064372,8.216,8.424,8.528,8.294,8.606,34.788,28
134912,16864,random,1000,17.874064,8.424,239.14093631493856,8.164,8.372,8.502,8.294,8.606,7280.13,18
136872,17109,random,1000,8.7074,8.554,2.451751216585408,8.294,8.476,8.632,8.398,8.84,69.056,46
138864,17358,random,1000,8.668946,8.554,1.638784054798637,8.346,8.476,8.684,8.398,8.788,44.538,4
140880,17610,random,1000,8.735584,8.606,2.3783829743160614,8.294,8.554,8.658,8.476,8.736,60.476,37
142928,17866,random,1000,8.714992,8.632,1.6701821278759619,8.216,8.528,8.71,8.346,8.814,40.404,9
145008,18126,random,1000,8.750222,8.632,2.095892877431876,8.346,8.554,8.71,8.424,8.788,48.282,5
147120,18390,random,1000,8.770112,8.684,1.6667184458791573,8.476,8.606,8.736,8.528,8.866,45.11,8
149256,18657,random,1000,8.808826,8.71,1.6806150626222272,8.424,8.658,8.788,8.554,8.866,42.38,7
151432,18929,random,1000,8.839012,8.762,1.5867229227213837,8.476,8.71,8.814,8.632,8.892,48.438,17
153632,19204,random,1000,8.909342,8.788,1.9227975227125056,8.45,8.71,8.892,8.632,9.022,44.876,4
155872,19484,random,1000,18.104866,8.814,290.44510829180905,8.502,8.762,8.866,8.632,8.944,9193.444,55
158136,19767,random,1000,8.951722,8.866,1.7163924731359776,8.606,8.814,8.918,8.71,9.022,50.7,38
160432,20054,random,1000,18.975424,8.866,316.320914962737,8.554,8.788,8.944,8.684,9.074,10011.794,13
162768,20346,random,1000,9.031334,8.944,1.7853174369827889,8.684,8.866,8.996,8.7867,9.074,45.11,3
165136,20642,random,1000,18.694806,8.918,305.26678493054595,8.684,8.866,9.022,8.788,9.1,9662.302,14
167536,20942,random,1000,9.108008,8.996,1.8774288809803525,8.71,8.918,9.048,8.814,9.204,46.852,10
169976,21247,random,1000,19.370676,9.022,323.6801418061582,8.736,8.97,9.1,8.866,9.204,10244.65,18
172448,21556,random,1000,9.166352,9.048,2.105482355196558,8.684,8.996,9.126,8.890699999999999,9.23,49.4,24
174960,21870,random,1000,9.15681,9.074,1.5329020531673263,8.658,9.022,9.152,8.814,9.23,43.108,66
177504,22188,random,1000,9.242168,9.1,2.014647900239131,8.918,9.022,9.178,8.97,9.334,45.448,20
180080,22510,random,1000,20.890272,9.178,368.2285374693776,8.918,9.1,9.23,8.996,9.309299999999999,11653.59,17
182704,22838,random,1000,9.218534,9.152,1.3571270451437702,8.84,9.1,9.204,8.996,9.282,39.234,16
185360,23170,random,1000,21.008988000000002,9.204,369.39436766714255,8.97,9.152,9.256,9.074,9.36,11690.458,19
188056,23507,random,1000,9.26653,9.204,1.1735434202701063,8.944,9.152,9.282,9.048,9.36,38.246,9
