size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6468496,808562,sequential,1000,3.25975,3.224,0.7217990907637855,3.198,3.224,3.25,3.224,3.25,26.052,22
6562584,820323,sequential,1000,3.2539260000000003,3.224,0.5722094705631865,3.198,3.224,3.25,3.224,3.25,21.32,18
6658040,832255,sequential,1000,3.295318,3.224,1.3204606935911871,3.198,3.224,3.25,3.224,3.25,34.684,20
6754880,844360,sequential,1000,3.262246,3.224,0.851716612889917,3.198,3.224,3.25,3.224,3.25,30.16,20
6853136,856642,sequential,1000,3.2693440000000002,3.224,1.0966353316917683,3.198,3.224,3.25,3.224,3.25,37.908,20
6952816,869102,sequential,1000,3.285958,3.224,1.1595636654061432,3.198,3.224,3.25,3.224,3.25,29.38,20
7053944,881743,sequential,1000,3.25871,3.224,0.7719926687349956,3.198,3.224,3.25,3.224,3.25,27.638,26
7156552,894569,sequential,1000,3.292094,3.224,1.2800324770513858,3.198,3.224,3.25,3.224,3.25,35.802,21
7260640,907580,sequential,1000,3.2571760000000003,3.224,0.7361120226799274,3.198,3.224,3.25,3.224,3.25,26.494,5
7366248,920781,sequential,1000,3.24792,3.224,0.48800683629665703,3.198,3.224,3.25,3.224,3.25,18.642,6
7473400,934175,sequential,1000,3.279952,3.224,1.053686460410711,3.198,3.224,3.25,3.224,3.25,27.69,5
7582096,947762,sequential,1000,3.274388,3.224,0.8072252957719636,3.198,3.224,3.25,3.224,3.25,21.372,16
7692384,961548,sequential,1000,3.283436,3.224,1.1071474958114125,3.198,3.224,3.25,3.224,3.25,28.158,10
7804272,975534,sequential,1000,3.260088,3.224,0.8243093291514576,3.198,3.224,3.25,3.224,3.25,29.276,10
7917792,989724,sequential,1000,3.25741,3.224,0.7231475300727026,3.198,3.224,3.25,3.224,3.25,26.078,6
8032952,1004119,sequential,1000,3.2566040000000003,3.224,0.7000948564244649,3.198,3.224,3.25,3.224,3.25,25.35,11
8149800,1018725,sequential,1000,3.2561620000000002,3.224,0.6534221746270127,3.198,3.224,3.25,3.224,3.25,23.868,5
