size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6468496,808562,sequential,1000,3.317184,3.25,1.6618276340310476,3.198,3.224,3.25,3.224,3.25,42.12,16
6562584,820323,sequential,1000,8.642738,3.25,127.42326698155094,3.224,3.224,3.25,3.224,3.25,3661.034,12
6658040,832255,sequential,1000,3.283072,3.224,1.2575228150798883,3.198,3.224,3.25,3.224,3.25,42.926,15
6754880,844360,sequential,1000,3.2775600000000003,3.224,1.0384992976363494,3.198,3.224,3.25,3.224,3.25,35.932,21
6853136,856642,sequential,1000,3.2700460000000002,3.224,0.8269971355126607,3.198,3.224,3.25,3.224,3.25,29.224,17
6952816,869102,sequential,1000,3.308994,3.25,1.3609962552376003,3.224,3.224,3.25,3.224,3.25,34.086,25
7053944,881743,sequential,1000,3.275064,3.25,0.8675651544415562,3.198,3.224,3.25,3.224,3.25,30.524,19
7156552,894569,sequential,1000,3.27678,3.224,0.916640700478532,3.198,3.224,3.25,3.224,3.25,32.058,23
7260640,907580,sequential,1000,3.305562,3.25,1.2906548795763235,3.198,3.224,3.25,3.224,3.25,32.214,18
7366248,920781,sequential,1000,3.280186,3.25,0.8802039447698403,3.224,3.224,3.25,3.224,3.25,30.862,28
7473400,934175,sequential,1000,3.272412,3.25,0.7451249247001535,3.224,3.224,3.25,3.224,3.25,26.624,25
7582096,947762,sequential,1000,3.270514,3.224,0.8739080129046872,3.198,3.224,3.25,3.224,3.25,30.706,17
7692384,961548,sequential,1000,3.272958,3.224,1.0207159346533468,3.198,3.224,3.25,3.224,3.25,35.438,15
7804272,975534,sequential,1000,3.2865040000000003,3.224,1.0582087202814385,3.198,3.224,3.25,3.224,3.25,32.604,13
7917792,989724,sequential,1000,3.271424,3.25,0.884678339278174,3.198,3.224,3.25,3.224,3.25,31.122,15
8032952,1004119,sequential,1000,3.27353,3.224,0.9244666384817062,3.198,3.224,3.25,3.224,3.25,32.37,17
8149800,1018725,sequential,1000,3.26716,3.224,0.7944785425387866,3.198,3.224,3.25,3.224,3.25,28.262,17
8268336,1033542,sequential,1000,3.300284,3.224,1.3057654209997593,3.198,3.224,3.25,3.224,3.25,35.88,17
8388608,1048576,sequential,1000,3.269604,3.224,0.7874209312095448,3.198,3.224,3.25,3.224,3.25,28.002,12
8510616,1063827,sequential,1000,3.26352,3.224,0.8196705566393254,3.198,3.224,3.25,3.224,3.25,29.068,9
8634408,1079301,sequential,1000,3.264066,3.224,0.8155683511388726,3.198,3.224,3.25,3.224,3.25,28.938,9
8760000,1095000,sequential,1000,3.2696300000000003,3.224,0.9171889831058432,3.224,3.224,3.25,3.224,3.25,32.162,7
8887416,1110927,sequential,1000,3.266406,3.224,0.7787448996833192,3.224,3.224,3.25,3.224,3.25,27.768,11
9016688,1127086,sequential,1000,3.2655220000000003,3.25,0.7321479742321031,3.224,3.224,3.25,3.224,3.25,26.286,8
9147840,1143480,sequential,1000,3.306784,3.224,1.445859184750066,3.198,3.224,3.25,3.224,3.25,36.062,14
9280896,1160112,sequential,1000,3.268174,3.224,0.8045266713346979,3.224,3.224,3.25,3.224,3.25,28.574,11
9415888,1176986,sequential,1000,3.2991140000000003,3.224,1.3425134343183778,3.198,3.224,3.25,3.224,3.25,35.906,11
