size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
103496016,12937002,random,1000,265.22119,263.83500000000004,8.269682631318007,247.234,260.09749999999997,268.5865,254.2501,282.4172,297.804,59
105001400,13125175,random,1000,268.440744,267.15,9.174426449383043,245.414,262.106,272.7465,256.4354,285.7153,313.43,31
106528680,13316085,random,1000,275.394496,274.508,9.615053670316515,248.404,269.1195,280.5725,261.0348,293.02259999999995,312.442,27
108078176,13509772,random,1000,276.437174,275.652,10.042368806460404,252.616,269.7435,281.59299999999996,262.3127,295.2872,372.71,25
109650208,13706276,random,1000,274.282216,273.429,9.814868124516277,250.51,266.9615,279.786,260.43940000000003,292.5351,321.984,20
111245104,13905638,random,1000,273.495586,272.012,8.523134493729534,251.992,268.00149999999996,277.0105,262.2607,290.60459999999995,306.332,54
112863200,14107900,random,1000,278.867914,277.615,8.758096279845926,256.282,272.818,282.7435,267.358,297.7949,323.102,54
114504832,14313104,random,1000,285.257752,283.751,9.239712447073263,263.588,279.422,289.172,273.2314,303.563,364.286,53
116170344,14521293,random,1000,299.779298,292.344,20.28827986249635,259.402,284.9015,310.817,277.98940000000005,341.5204,420.004,21
117860080,14732510,random,1000,288.173054,286.858,9.212206294145279,260.806,282.27549999999997,292.4545,275.31010000000003,306.9846,332.722,52
119574400,14946800,random,1000,288.242734,287.222,9.167458674452359,261.482,282.386,292.279,275.6507,306.98330000000004,327.132,54
121313648,15164206,random,1000,280.917234,279.812,8.295601340158461,261.742,275.47,284.453,269.7214,298.5866,321.438,59
123078192,15384774,random,1000,284.25462,281.424,13.137101383500104,263.042,276.081,287.3065,270.8667,307.50719999999995,361.92,65
124868408,15608551,random,1000,287.039402,285.428,10.450417487165383,263.484,279.838,293.085,273.2028,305.812,385.814,14
126684664,15835583,random,1000,297.047192,290.49800000000005,19.024200057373214,264.654,282.282,309.1725,275.262,334.1624,372.008,8
128527336,16065917,random,1000,289.727126,287.677,10.535171123371596,267.046,282.56149999999997,295.0025,276.4047,308.28459999999995,400.036,31
130396808,16299601,random,1000,286.9802,284.154,29.441279275557665,260.494,280.2735,289.23699999999997,275.04749999999996,304.61859999999996,944.476,64
132293472,16536684,random,1000,294.55907,293.982,10.914852914136645,271.232,286.8775,300.7225,278.73949999999996,314.7118,369.46,13
134217720,16777215,random,1000,288.835014,287.43,9.142558532069474,267.462,282.89300000000003,292.31149999999997,276.9728,307.16659999999996,387.53,60
136169968,17021246,random,1000,291.60872,289.822,9.745995007400953,271.752,285.428,295.178,279.1581,313.1986,333.086,73
138150600,17268825,random,1000,302.159208,300.755,8.865662225205032,279.838,296.7315,305.968,289.9741,319.9599,339.378,53
140160048,17520006,random,1000,301.442284,300.352,9.856340301119655,275.834,295.27549999999997,306.3385,286.56940000000003,321.9138,342.29,49
