stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,2097152,67108864,4096,sequential,1000,3.410212,3.328,1.0899729703676748,3.276,3.328,3.354,3.302,3.38,36.192,48
33,2033601,67108864,4096,sequential,1000,3.6091379999999997,3.536,0.7963304308583913,3.484,3.536,3.562,3.51,3.588,25.974,47
34,1973790,67108864,4096,sequential,1000,3.625258,3.51,1.2942039689899538,3.458,3.51,3.536,3.484,3.614,34.866,79
35,1917396,67108864,4096,sequential,1000,3.654768,3.536,1.349101842693115,3.484,3.536,3.562,3.51,3.666,35.256,106
36,1864135,67108864,4096,sequential,1000,3.4976760000000002,3.406,0.8289205150340074,3.354,3.406,3.458,3.38,3.536,26.962,48
37,1813753,67108864,4096,sequential,1000,3.62349,3.51,1.6503408207775525,3.432,3.484,3.536,3.484,3.6672999999999987,54.392,88
38,1766022,67108864,4096,sequential,1000,3.62596,3.536,0.5637100242069423,3.484,3.51,3.588,3.484,3.77,16.302,67
39,1720740,67108864,4096,sequential,1000,3.66951,3.536,1.651712800421149,3.406,3.484,3.588,3.458,3.718,41.47,45
40,1677721,67108864,4096,sequential,1000,3.56317,3.406,1.7929911087945238,3.302,3.354,3.484,3.328,3.7192999999999987,52.338,59
41,1636801,67108864,4096,sequential,1000,3.746418,3.614,1.5178064796889574,3.51,3.562,3.692,3.536,4.083299999999999,49.556,64
42,1597830,67108864,4096,sequential,1000,3.677128,3.562,0.6678167434400091,3.406,3.51,3.64,3.458,4.056,18.512,72
43,1560671,67108864,4096,sequential,1000,3.80809,3.666,1.697212193312648,3.51,3.588,3.744,3.536,4.031299999999999,50.362,54
44,1525201,67108864,4096,sequential,1000,3.763994,3.614,1.676940661426619,3.432,3.536,3.718,3.484,3.952,46.436,44
45,1491308,67108864,4096,sequential,1000,3.788356,3.666,1.298774003118008,3.406,3.562,3.744,3.484,4.031299999999999,33.436,54
