stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
32,2097152,67108864,4096,sequential,1000,3.353818,3.276,0.9438611702918945,3.224,3.276,3.302,3.25,3.354,31.304,55
33,2033601,67108864,4096,sequential,1000,3.611244,3.562,0.5570592135773642,3.51,3.536,3.562,3.536,3.614,17.68,58
34,1973790,67108864,4096,sequential,1000,3.533972,3.458,0.714521039250442,3.406,3.458,3.484,3.432,3.536,22.698,65
35,1917396,67108864,4096,sequential,1000,3.550118,3.51,0.34937142766756196,3.432,3.484,3.51,3.484,3.562,9.776,83
36,1864135,67108864,4096,sequential,1000,3.553992,3.458,0.9721180903149153,3.38,3.458,3.484,3.432,3.614,32.084,180
37,1813753,67108864,4096,sequential,1000,3.656536,3.51,2.1418928847712793,3.458,3.484,3.536,3.458,3.692,59.592,62
38,1766022,67108864,4096,sequential,1000,3.669562,3.536,1.3751260945571253,3.484,3.536,3.588,3.51,3.692,37.986,64
39,1720740,67108864,4096,sequential,1000,3.60347,3.51,0.8950150071160611,3.406,3.484,3.562,3.458,3.718,29.692,67
40,1677721,67108864,4096,sequential,1000,3.533166,3.432,0.9777802547968898,3.328,3.38,3.51,3.354,3.718,31.382,52
41,1636801,67108864,4096,sequential,1000,3.697486,3.614,0.7284546066282497,3.51,3.562,3.692,3.536,3.823299999999999,23.01,38
42,1597830,67108864,4096,sequential,1000,3.699696,3.588,0.9101945735642164,3.458,3.51,3.666,3.484,4.057299999999999,27.482,61
43,1560671,67108864,4096,sequential,1000,3.766256,3.64,1.107232771767019,3.51,3.588,3.744,3.536,4.005299999999998,36.27,52
44,1525201,67108864,4096,sequential,1000,3.751618,3.64,1.2427673284684904,3.432,3.536,3.744,3.458,4.056,40.196,48
45,1491308,67108864,4096,sequential,1000,3.827694,3.718,1.34888455840962,3.458,3.614,3.822,3.536,4.134,43.862,48
46,1458888,67108864,4096,sequential,1000,3.856112,3.718,1.4704583241762206,3.484,3.64,3.822,3.536,4.188599999999997,47.008,66
47,1427848,67108864,4096,sequential,1000,3.90455,3.77,1.1282530498272294,3.51,3.666,3.9,3.562,4.369299999999999,35.776,60
48,1398101,67108864,4096,sequential,1000,3.818126,3.666,1.3450131778434635,3.25,3.536,3.822,3.354,4.524,31.278,69
49,1369568,67108864,4096,sequential,1000,3.97501,3.796,1.496892597131587,3.484,3.692,3.926,3.562,4.7852999999999986,46.878,85
50,1342177,67108864,4096,sequential,1000,4.00257,3.874,0.6811634508300829,3.51,3.744,4.004,3.588,5.0192999999999985,14.898,92
51,1315860,67108864,4096,sequential,1000,4.051684,3.926,0.7341138871751054,3.51,3.77,4.082,3.614,4.967299999999999,16.484,79
52,1290555,67108864,4096,sequential,1000,4.188548,3.9,1.7655205063533967,3.484,3.7635,4.134,3.588,5.643299999999999,41.028,131
53,1266204,67108864,4096,sequential,1000,4.140084,3.978,1.4039487287564945,3.51,3.848,4.16,3.666,4.707299999999999,33.28,53
54,1242756,67108864,4096,sequential,1000,4.125446,4.004,1.0749162227680678,3.51,3.822,4.16,3.666,4.992,32.578,64
55,1220161,67108864,4096,sequential,1000,4.273282,4.082,1.4286726602150843,3.562,3.926,4.2705,3.744,5.4625999999999975,39.26,75
56,1198372,67108864,4096,sequential,1000,4.291716,4.082,1.3792542382017892,3.354,3.874,4.316,3.666,5.798,33.514,89
57,1177348,67108864,4096,sequential,1000,4.37021,4.186,1.0856684041565288,3.536,4.004,4.42,3.822,5.358599999999997,26.494,74
58,1157049,67108864,4096,sequential,1000,4.474314,4.264,1.2820242289159467,3.64,4.082,4.498,3.874,5.773299999999999,31.252,90
59,1137438,67108864,4096,sequential,1000,4.618926,4.342,1.4188453208748897,3.614,4.134,4.732,3.9,5.9552999999999985,37.7,81
60,1118481,67108864,4096,sequential,1000,4.528368,4.29,1.2166698673601406,3.588,4.082,4.576,3.874,5.98,28.626,101
61,1100145,67108864,4096,sequential,1000,4.601922,4.381,1.0984924704446652,3.718,4.16,4.68,3.926,6.059299999999999,26.858,93
62,1082401,67108864,4096,sequential,1000,4.673578,4.42,1.4331284530980046,3.64,4.238,4.758,3.952,6.11,36.088,84
63,1065220,67108864,4096,sequential,1000,4.73005,4.498,1.5309135553040916,3.692,4.238,4.784,3.978,6.292,42.38,97
64,1048576,67108864,4096,sequential,1000,4.802226,4.55,1.4631238349094995,3.458,4.264,4.914,3.926,6.5,30.68,78
65,1032444,67108864,4096,sequential,1000,4.88969,4.654,1.2949235432576254,3.718,4.394,4.966,4.082,6.422,23.322,90
66,1016800,67108864,4096,sequential,1000,4.979052,4.732,1.5473110226120335,3.666,4.498,5.018,4.082,6.709299999999999,36.79,104
67,1001624,67108864,4096,sequential,1000,5.062486,4.758,1.4757631126195587,3.744,4.498,5.096,4.134,6.919899999999997,30.108,110
68,986895,67108864,4096,sequential,1000,5.151718,4.81,1.7682894299248595,3.718,4.524,5.226,4.108,7.2838999999999965,34.762,98
69,972592,67108864,4096,sequential,1000,5.056168,4.81,1.6568006277449607,3.9,4.55,5.122,4.238,6.553299999999998,33.41,73
70,958698,67108864,4096,sequential,1000,5.179928,4.966,1.492866667087755,3.822,4.706,5.278,4.212,6.786,28.418,88
71,945195,67108864,4096,sequential,1000,5.158192,4.94,1.6485411863763608,3.926,4.68,5.226,4.316,6.606599999999998,42.64,68
