footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6144,48,128,4096,0,sequential,1000,3.5755719999999998,3.302,7.818413433263134,3.25,3.276,3.302,3.276,3.328,248.482,11
6784,53,128,4096,0,sequential,1000,3.346486,3.328,0.7386996229435459,3.276,3.302,3.328,3.302,3.354,26.676,7
7680,60,128,4096,0,sequential,1000,3.377478,3.328,0.9764376036951413,3.302,3.328,3.354,3.302,3.354,30.602,14
8576,67,128,4096,0,sequential,1000,3.348722,3.302,1.2224658299606663,3.276,3.302,3.328,3.276,3.328,41.964,3
9728,76,128,4096,0,sequential,1000,3.365726,3.328,1.0318209104855915,3.276,3.328,3.354,3.302,3.354,35.958,3
10880,85,128,4096,0,sequential,1000,3.351504,3.328,1.0158420985336025,3.276,3.302,3.328,3.302,3.354,35.438,5
12288,96,128,4096,0,sequential,1000,3.32956,3.302,0.8677834006423667,3.25,3.276,3.302,3.25,3.328,26.884,23
13696,107,128,4096,0,sequential,1000,3.361644,3.328,1.02123232063851,3.276,3.328,3.328,3.302,3.354,35.62,328
15360,120,128,4096,0,sequential,1000,3.362944,3.328,0.9282671235785079,3.276,3.328,3.354,3.302,3.354,32.682,4
17280,135,128,4096,0,sequential,1000,3.385564,3.328,1.4315477592071075,3.276,3.302,3.328,3.302,3.354,41.054,10
19456,152,128,4096,0,sequential,1000,3.325634,3.302,0.640657031082525,3.276,3.302,3.328,3.276,3.328,23.556,6
21888,171,128,4096,0,sequential,1000,3.394456,3.354,0.9671806565923898,3.302,3.328,3.354,3.328,3.38,28.886,9
24576,192,128,4096,0,sequential,1000,3.366142,3.328,0.8907102629972378,3.276,3.302,3.328,3.302,3.354,26.572,24
27520,215,128,4096,0,sequential,1000,3.377582,3.328,1.0294858048066027,3.276,3.328,3.354,3.302,3.354,33.774,11
30848,241,128,4096,0,sequential,1000,3.345082,3.328,0.5626087538297692,3.302,3.328,3.328,3.302,3.354,21.112,320
34688,271,128,4096,0,sequential,1000,3.3057179999999997,3.276,0.5088842536959262,3.25,3.276,3.302,3.25,3.328,19.37,7
38912,304,128,4096,0,sequential,1000,3.402412,3.38,0.7024586581589143,3.328,3.38,3.38,3.354,3.406,25.584,443
43776,342,128,4096,0,sequential,1000,3.420586,3.354,1.4382057155651566,3.302,3.354,3.38,3.328,3.38,47.346,9
49152,384,128,4096,0,sequential,1000,3.352024,3.328,0.6951950572260935,3.276,3.302,3.354,3.302,3.38,25.298,2
55168,431,128,4096,0,sequential,1000,3.446534,3.406,1.0699042190223766,3.328,3.38,3.406,3.38,3.432,32.864,24
61824,483,128,4096,0,sequential,1000,3.396796,3.38,0.6130327034339028,3.328,3.354,3.38,3.354,3.406,22.75,22
69504,543,128,4096,0,sequential,1000,3.4458320000000002,3.406,0.9522925437410842,3.328,3.38,3.406,3.38,3.432,25.74,30
77952,609,128,4096,0,sequential,1000,3.409016,3.38,1.2173550908264856,3.302,3.354,3.38,3.328,3.406,41.86,15
87552,684,128,4096,0,sequential,1000,3.4034,3.38,0.43775807031753067,3.328,3.38,3.406,3.354,3.432,17.212,15
98304,768,128,4096,0,sequential,1000,3.43382,3.406,0.5825422311309721,3.328,3.406,3.432,3.38,3.458,21.814,43
110336,862,128,4096,0,sequential,1000,3.519464,3.484,1.0534933359603718,3.406,3.458,3.51,3.458,3.536,36.79,3
123776,967,128,4096,0,sequential,1000,3.467282,3.458,0.4095174440887872,3.406,3.432,3.458,3.432,3.484,16.38,27
139008,1086,128,4096,0,sequential,1000,3.38572,3.38,0.40445135987223796,3.302,3.354,3.38,3.328,3.406,16.146,11
156032,1219,128,4096,0,sequential,1000,3.379428,3.354,0.6312095898846614,3.302,3.328,3.354,3.328,3.38,20.254,24
175104,1368,128,4096,0,sequential,1000,3.412084,3.38,1.0064726425115211,3.276,3.354,3.38,3.328,3.406,31.122,28
196608,1536,128,4096,0,sequential,1000,3.421158,3.38,0.9971995296518836,3.328,3.354,3.38,3.354,3.406,27.04,15
