footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
6144,96,64,4096,0,random,1000,3.35348,3.328,0.9886598818410515,3.276,3.302,3.328,3.302,3.354,34.58,10
6848,107,64,4096,0,random,1000,3.389256,3.354,1.0467485356860837,3.328,3.354,3.354,3.328,3.38,36.452,388
7680,120,64,4096,0,random,1000,3.566446,3.328,7.365037858676881,3.302,3.328,3.354,3.302,3.354,236.236,2
8640,135,64,4096,0,random,1000,12.187682,3.328,277.9380067181337,3.276,3.328,3.354,3.302,3.38,8792.472,14
9728,152,64,4096,0,random,1000,3.356002,3.328,0.6955370355083644,3.302,3.328,3.354,3.302,3.354,25.324,3
10944,171,64,4096,0,random,1000,3.312764,3.276,1.2244273137065143,3.224,3.276,3.276,3.25,3.302,41.99,420
12288,192,64,4096,0,random,1000,3.36063,3.328,1.4163385039805485,3.276,3.302,3.328,3.276,3.354,48.1,2
13760,215,64,4096,0,random,1000,3.343626,3.328,0.6153700613748092,3.276,3.302,3.328,3.302,3.354,22.776,4
15424,241,64,4096,0,random,1000,3.317756,3.302,0.542946269086652,3.276,3.302,3.302,3.276,3.328,20.462,338
17344,271,64,4096,0,random,1000,3.3599799999999997,3.328,0.6461953636850454,3.276,3.328,3.354,3.302,3.38,23.764,7
19456,304,64,4096,0,random,1000,3.379272,3.302,1.4483125350611363,3.276,3.302,3.328,3.276,3.354,41.366,12
21888,342,64,4096,0,random,1000,3.275506,3.25,0.5961502185246996,3.224,3.25,3.276,3.224,3.276,22.1,6
24576,384,64,4096,0,random,1000,3.3076939999999997,3.276,0.9801952811318535,3.224,3.276,3.276,3.25,3.302,34.268,424
27584,431,64,4096,0,random,1000,3.313284,3.276,1.1906827304990648,3.224,3.276,3.276,3.25,3.302,40.924,403
30912,483,64,4096,0,random,1000,3.382678,3.328,1.1002335834968202,3.276,3.328,3.354,3.302,3.354,30.602,25
34752,543,64,4096,0,random,1000,3.354858,3.328,0.7841306324106238,3.276,3.302,3.328,3.302,3.406,27.196,101
38976,609,64,4096,0,random,1000,3.4840780000000002,3.432,0.8383718991935246,3.38,3.432,3.458,3.406,3.484,22.984,26
43776,684,64,4096,0,random,1000,3.457506,3.406,0.900800382600548,3.354,3.406,3.432,3.38,3.458,29.094,53
49152,768,64,4096,0,random,1000,3.871114,3.77,1.4191122473485227,3.588,3.718,3.848,3.666,4.16,41.652,95
55168,862,64,4096,0,random,1000,11.455886,11.362,1.5762033015610173,11.05,11.284,11.414,11.18,11.492,42.016,9
61888,967,64,4096,0,random,1000,11.476608,11.362,1.5129448107371057,11.102,11.31,11.414,11.256699999999999,11.518,40.898,34
69504,1086,64,4096,0,random,1000,11.47094,11.362,1.674720295592213,11.154,11.31,11.414,11.232,11.466,44.512,15
78016,1219,64,4096,0,random,1000,11.488958,11.362,2.036672698770698,11.05,11.31,11.414,11.232,11.492,48.49,19
87552,1368,64,4096,0,random,1000,11.43181,11.362,1.4192569810567355,11.102,11.284,11.414,11.206,11.4933,39.832,6
98304,1536,64,4096,0,random,1000,11.397932,11.284,1.6775443047115834,11.076,11.258,11.336,11.206,11.414,44.174,20
110336,1724,64,4096,0,random,1000,11.427884,11.336,1.5355052076716598,11.154,11.284,11.388,11.256699999999999,11.44,44.668,7
123840,1935,64,4096,0,random,1000,11.436672,11.362,1.1655232339275028,11.154,11.31,11.414,11.258,11.466,39.988,10
139008,2172,64,4096,0,random,1000,11.50071,11.414,1.4039327102660424,11.258,11.362,11.44,11.31,11.492,36.218,12
156032,2438,64,4096,0,random,1000,11.380355999999999,11.31,1.2158914759736352,10.998,11.232,11.388,11.154,11.44,37.83,7
175104,2736,64,4096,0,random,1000,11.537552,11.466,1.3658664526455222,11.284,11.414,11.518,11.336,11.57,44.096,9
196608,3072,64,4096,0,random,1000,11.383528,11.284,1.2106831505009503,11.154,11.258,11.336,11.232,11.388,30.888,16
