stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,12288,98304,4096,sequential,1000,3.414398,3.354,1.209788617112136,3.302,3.328,3.354,3.328,3.5112999999999985,30.888,89
16,6144,98304,4096,sequential,1000,3.380052,3.328,0.48777965341564455,3.302,3.328,3.354,3.302,3.562,18.616,168
24,4096,98304,4096,sequential,1000,11.927786,3.354,260.9863905893007,3.302,3.354,3.4125,3.328,3.588,8252.478,232
32,3072,98304,4096,sequential,1000,3.472638,3.354,0.992253643101525,3.302,3.328,3.562,3.302,3.77,34.398,1
40,2457,98304,4096,sequential,1000,3.461146,3.38,0.5887465134853379,3.328,3.354,3.536,3.354,3.588,21.814,1
48,2048,98304,4096,sequential,1000,3.413332,3.328,1.116569310343429,3.25,3.276,3.432,3.25,3.51,32.006,2
56,1755,98304,4096,sequential,1000,3.427996,3.432,1.108794672430207,3.25,3.302,3.458,3.276,3.484,38.35,1
64,1536,98304,4096,sequential,1000,17.844008,3.51,453.00989772015396,3.25,3.302,3.562,3.276,3.641299999999999,14328.886,5
72,1365,98304,4096,sequential,1000,3.5436959999999997,3.536,1.0689512600583715,3.328,3.406,3.536,3.354,3.666,31.33,7
80,1228,98304,4096,sequential,1000,3.54068,3.536,0.882281990698615,3.302,3.484,3.588,3.354,3.614,31.278,2
88,1117,98304,4096,sequential,1000,4.523844,4.446,1.6274903884903984,4.316,4.446,4.472,4.342,4.524,48.906,160
96,1024,98304,4096,sequential,1000,4.607824,4.55,1.0292548948937101,4.394,4.524,4.602,4.498,4.628,33.202,4
104,945,98304,4096,sequential,1000,4.698954,4.628,1.309458727888758,4.498,4.602,4.68,4.55,4.732,39.026,15
112,877,98304,4096,sequential,1000,4.90451,4.836,1.2409268420528774,4.654,4.81,4.888,4.758,4.992,38.376,26
120,819,98304,4096,sequential,1000,5.427994,5.564,1.537684794257422,4.498,4.992,5.642,4.704700000000001,5.746,40.82,3
128,768,98304,4096,sequential,1000,3.417232,3.38,0.7131861107765662,3.328,3.38,3.406,3.354,3.432,23.66,17
136,722,98304,4096,sequential,1000,3.342014,3.302,1.026873067180214,3.25,3.302,3.328,3.276,3.328,35.776,9
144,682,98304,4096,sequential,1000,3.334994,3.302,0.8115227915500618,3.25,3.302,3.328,3.276,3.328,28.964,7
152,646,98304,4096,sequential,1000,3.36973,3.354,0.5835472307109943,3.276,3.328,3.38,3.302,3.38,21.788,2
160,614,98304,4096,sequential,1000,3.342924,3.302,1.3757229342479598,3.25,3.302,3.302,3.276,3.328,46.8,374
168,585,98304,4096,sequential,1000,3.351686,3.328,0.6500656233940684,3.276,3.302,3.328,3.302,3.354,22.23,21
176,558,98304,4096,sequential,1000,3.3510619999999998,3.328,0.6875225344607924,3.302,3.328,3.328,3.302,3.354,25.064,363
184,534,98304,4096,sequential,1000,3.372772,3.354,0.6975992378957367,3.302,3.328,3.354,3.328,3.38,25.402,21
192,512,98304,4096,sequential,1000,3.358524,3.328,0.7993174950430411,3.276,3.328,3.354,3.302,3.354,28.6,8
200,491,98304,4096,sequential,1000,3.365128,3.354,0.36883367239704934,3.302,3.354,3.354,3.328,3.38,15.002,396
208,472,98304,4096,sequential,1000,3.40756,3.354,1.2407017833933,3.302,3.354,3.354,3.328,3.38,31.824,379
216,455,98304,4096,sequential,1000,3.389386,3.354,0.7876886595784076,3.302,3.354,3.354,3.328,3.38,22.126,416
224,438,98304,4096,sequential,1000,3.36882,3.328,0.9111994183382581,3.276,3.328,3.354,3.302,3.354,30.316,11
232,423,98304,4096,sequential,1000,3.3895939999999998,3.38,0.5631470196402799,3.302,3.354,3.38,3.328,3.406,21.164,11
240,409,98304,4096,sequential,1000,3.3322119999999997,3.276,0.9563550481040157,3.25,3.276,3.302,3.276,3.328,29.64,19
248,396,98304,4096,sequential,1000,3.432156,3.38,1.2722452120340415,3.302,3.354,3.38,3.354,3.406,34.632,10
256,384,98304,4096,sequential,1000,3.518086,3.458,1.2346943697898647,3.38,3.458,3.484,3.432,3.51,41.158,37
264,372,98304,4096,sequential,1000,3.41172,3.38,0.6639861378004749,3.328,3.38,3.406,3.354,3.406,23.296,17
272,361,98304,4096,sequential,1000,3.361098,3.328,0.8631179635571345,3.276,3.302,3.328,3.302,3.354,28.132,9
280,351,98304,4096,sequential,1000,3.321058,3.302,0.6339769739031846,3.224,3.276,3.302,3.276,3.328,22.438,20
288,341,98304,4096,sequential,1000,3.337724,3.328,0.3169022291604255,3.302,3.328,3.328,3.302,3.354,13.338,319
296,332,98304,4096,sequential,1000,3.345732,3.328,0.7922363982339405,3.276,3.302,3.328,3.302,3.354,28.366,7
304,323,98304,4096,sequential,1000,3.366558,3.328,0.8113014079924985,3.302,3.328,3.354,3.328,3.38,28.99,5
312,315,98304,4096,sequential,1000,3.36908,3.354,0.6211477522539466,3.302,3.328,3.354,3.328,3.38,22.984,7
320,307,98304,4096,sequential,1000,3.384342,3.354,0.884742620506405,3.328,3.354,3.354,3.328,3.38,31.33,310
328,299,98304,4096,sequential,1000,3.371316,3.354,0.5364400097196592,3.302,3.354,3.354,3.328,3.38,20.306,441
336,292,98304,4096,sequential,1000,3.350802,3.328,0.6477343225030989,3.276,3.302,3.328,3.302,3.354,19.968,8
344,285,98304,4096,sequential,1000,3.338062,3.302,0.7908619087519102,3.25,3.302,3.328,3.276,3.3292999999999986,28.314,8
352,279,98304,4096,sequential,1000,3.342118,3.328,0.43791582792626754,3.276,3.302,3.354,3.302,3.354,17.16,3
360,273,98304,4096,sequential,1000,3.33866,3.302,0.8341110823491663,3.224,3.276,3.328,3.276,3.328,25.844,3
368,267,98304,4096,sequential,1000,3.340922,3.302,0.6680756716263653,3.276,3.302,3.328,3.302,3.328,19.708,5
376,261,98304,4096,sequential,1000,3.393026,3.354,0.8136219096951212,3.302,3.354,3.354,3.328,3.38,24.284,402
384,256,98304,4096,sequential,1000,3.339544,3.302,0.6286763061878202,3.25,3.302,3.328,3.276,3.328,20.098,12
392,250,98304,4096,sequential,1000,3.357536,3.302,1.0710758461342371,3.276,3.302,3.328,3.276,3.328,29.458,10
400,245,98304,4096,sequential,1000,3.346642,3.302,0.8037518727249778,3.25,3.302,3.328,3.302,3.328,26.65,12
408,240,98304,4096,sequential,1000,3.41848,3.406,0.4649184947996872,3.354,3.406,3.406,3.38,3.432,18.096,366
416,236,98304,4096,sequential,1000,3.334994,3.328,0.20135588433456858,3.25,3.328,3.328,3.302,3.354,9.672,384
424,231,98304,4096,sequential,1000,3.332576,3.302,0.5737735409552276,3.276,3.302,3.328,3.302,3.328,21.45,8
432,227,98304,4096,sequential,1000,3.344874,3.328,0.6593534978743641,3.25,3.302,3.328,3.302,3.354,22.802,12
440,223,98304,4096,sequential,1000,3.338946,3.302,0.6346703991833869,3.224,3.302,3.328,3.276,3.328,20.254,15
448,219,98304,4096,sequential,1000,3.351452,3.328,0.5962783306003528,3.302,3.328,3.354,3.302,3.354,22.178,6
456,215,98304,4096,sequential,1000,3.399916,3.38,0.7856261613575565,3.328,3.354,3.38,3.354,3.406,28.21,10
464,211,98304,4096,sequential,1000,3.35413,3.328,0.7301518560086202,3.25,3.302,3.328,3.302,3.354,24.986,15
472,208,98304,4096,sequential,1000,3.341442,3.328,0.4962718553276927,3.276,3.302,3.328,3.302,3.354,19.006,8
480,204,98304,4096,sequential,1000,3.346226,3.328,0.2494749339446083,3.276,3.328,3.354,3.302,3.354,11.206,11
488,201,98304,4096,sequential,1000,3.407872,3.38,0.6651678764942877,3.328,3.38,3.406,3.354,3.406,24.414,4
496,198,98304,4096,sequential,1000,3.329404,3.302,0.6322815517985201,3.25,3.302,3.328,3.276,3.328,23.296,9
504,195,98304,4096,sequential,1000,3.327792,3.302,0.5706948057388443,3.25,3.302,3.328,3.276,3.328,21.346,8
512,192,98304,4096,sequential,1000,3.65586,3.614,0.7715503861695607,3.536,3.614,3.64,3.588,3.666,21.086,61
520,189,98304,4096,sequential,1000,3.365336,3.354,0.6164325398453429,3.302,3.328,3.354,3.328,3.38,22.828,11
528,186,98304,4096,sequential,1000,3.366584,3.328,0.7360411996563723,3.276,3.328,3.354,3.302,3.354,23.842,9
536,183,98304,4096,sequential,1000,3.395288,3.354,0.808535336547789,3.328,3.354,3.38,3.328,3.38,23.218,8
544,180,98304,4096,sequential,1000,3.340194,3.328,0.44631005257223033,3.276,3.302,3.328,3.302,3.354,15.002,14
552,178,98304,4096,sequential,1000,3.319862,3.302,0.32361797470095743,3.25,3.302,3.328,3.276,3.328,13.52,20
560,175,98304,4096,sequential,1000,3.338608,3.328,0.5588642765606113,3.276,3.302,3.328,3.302,3.354,20.982,8
568,173,98304,4096,sequential,1000,3.370094,3.328,0.8482147413311156,3.302,3.328,3.354,3.302,3.354,25.402,8
576,170,98304,4096,sequential,1000,3.387488,3.354,0.5401212056314516,3.276,3.354,3.38,3.328,3.38,18.044,15
584,168,98304,4096,sequential,1000,3.412734,3.38,0.7072218916634637,3.328,3.38,3.38,3.354,3.406,22.048,405
592,166,98304,4096,sequential,1000,3.3550139999999997,3.328,0.8667133088650271,3.276,3.302,3.328,3.302,3.328,28.236,11
600,163,98304,4096,sequential,1000,3.350516,3.328,0.5469145099786851,3.276,3.328,3.354,3.302,3.354,20.618,11
608,161,98304,4096,sequential,1000,3.32969,3.302,0.568196292602237,3.25,3.302,3.328,3.276,3.328,21.268,8
616,159,98304,4096,sequential,1000,3.368742,3.354,0.5489087230334586,3.302,3.328,3.354,3.328,3.38,20.696,10
624,157,98304,4096,sequential,1000,3.33281,3.302,0.6684061839381252,3.276,3.302,3.328,3.276,3.328,24.44,6
632,155,98304,4096,sequential,1000,3.368404,3.328,0.8060537646183755,3.276,3.328,3.354,3.302,3.354,27.742,11
640,153,98304,4096,sequential,1000,3.340324,3.302,0.8243536024582447,3.224,3.302,3.328,3.276,3.328,28.86,13
648,151,98304,4096,sequential,1000,3.328494,3.302,0.5514185255813904,3.224,3.302,3.328,3.276,3.328,18.408,14
656,149,98304,4096,sequential,1000,3.285828,3.276,0.5530791145242451,3.224,3.25,3.276,3.25,3.302,20.748,7
664,148,98304,4096,sequential,1000,3.373214,3.354,0.5692243798350511,3.302,3.354,3.354,3.328,3.38,21.346,379
672,146,98304,4096,sequential,1000,3.31825,3.302,0.6984424696303795,3.25,3.276,3.302,3.276,3.328,25.376,7
680,144,98304,4096,sequential,1000,3.365804,3.354,0.5718544037104576,3.328,3.328,3.354,3.328,3.38,21.424,6
688,142,98304,4096,sequential,1000,3.357926,3.354,0.4906885262096046,3.302,3.328,3.354,3.328,3.354,18.85,5
696,141,98304,4096,sequential,1000,3.324932,3.302,0.46058461716123944,3.25,3.302,3.328,3.276,3.328,17.862,2
704,139,98304,4096,sequential,1000,3.297528,3.276,0.25486698962085774,3.224,3.276,3.302,3.25,3.328,11.31,16
712,138,98304,4096,sequential,1000,3.383562,3.354,0.8945806473933419,3.302,3.328,3.354,3.328,3.354,25.532,12
720,136,98304,4096,sequential,1000,3.387228,3.354,0.8475878155808524,3.276,3.354,3.354,3.328,3.38,28.99,356
728,135,98304,4096,sequential,1000,3.367026,3.354,0.4550908953682188,3.302,3.354,3.354,3.328,3.38,17.732,350
736,133,98304,4096,sequential,1000,3.34334,3.328,0.48051310204950837,3.276,3.328,3.328,3.302,3.354,18.512,380
744,132,98304,4096,sequential,1000,3.426904,3.406,0.46884045277061376,3.354,3.406,3.432,3.38,3.432,18.226,8
752,130,98304,4096,sequential,1000,3.367962,3.328,0.7800236967705042,3.302,3.328,3.354,3.302,3.354,21.97,9
760,129,98304,4096,sequential,1000,3.370354,3.354,0.6339159440399872,3.302,3.328,3.354,3.328,3.38,22.282,18
768,128,98304,4096,sequential,1000,3.309488,3.302,0.22751653484885365,3.25,3.302,3.302,3.276,3.328,10.478,355
776,126,98304,4096,sequential,1000,3.35712,3.354,0.3287571061358748,3.302,3.328,3.354,3.328,3.38,13.728,4
