footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
131072,512,256,4096,0,sequential,1000,3.4494979999999997,3.276,4.266576914408383,3.224,3.276,3.276,3.25,3.302,131.482,240
146944,574,256,4096,0,sequential,1000,3.28029,3.276,0.2547067872033399,3.224,3.25,3.276,3.25,3.302,11.31,3
165120,645,256,4096,0,sequential,1000,11.006138,3.276,243.29331064190825,3.224,3.25,3.276,3.25,3.407299999999999,7696.858,82
185344,724,256,4096,0,sequential,1000,3.3782579999999998,3.25,3.641120481362268,3.224,3.25,3.276,3.25,3.302,118.404,4
207872,812,256,4096,0,sequential,1000,3.2928479999999998,3.25,1.0867755103543262,3.224,3.25,3.276,3.25,3.276,37.622,1
233472,912,256,4096,0,sequential,1000,3.273608,3.25,0.6232228213255842,3.224,3.25,3.25,3.25,3.276,22.958,223
262144,1024,256,4096,0,sequential,1000,3.282344,3.25,1.035220550052621,3.198,3.25,3.25,3.224,3.276,35.984,196
294144,1149,256,4096,0,sequential,1000,3.307616,3.25,1.3410046748919564,3.198,3.25,3.25,3.224,3.276,39.91,288
330240,1290,256,4096,0,sequential,1000,3.297086,3.25,1.1657530221761008,3.198,3.25,3.25,3.224,3.276,36.088,370
370688,1448,256,4096,0,sequential,1000,3.30863,3.25,1.5263941109956112,3.198,3.224,3.25,3.224,3.276,47.944,3
416000,1625,256,4096,0,sequential,1000,3.301402,3.276,0.7713857364187845,3.25,3.276,3.276,3.25,3.302,27.664,379
466944,1824,256,4096,0,sequential,1000,3.269526,3.25,0.5358471643178748,3.198,3.224,3.276,3.224,3.302,20.176,15
524288,2048,256,4096,0,sequential,1000,3.359096,3.328,0.5990856486333139,3.224,3.276,3.38,3.224,3.51,22.1,24
588288,2298,256,4096,0,sequential,1000,3.311906,3.302,0.40506010029235023,3.198,3.25,3.328,3.224,3.406,15.99,9
660480,2580,256,4096,0,sequential,1000,3.428308,3.38,1.187890815574279,3.25,3.302,3.458,3.276,3.562,40.82,2
741376,2896,256,4096,0,sequential,1000,3.593356,3.562,0.6618098046126859,3.354,3.51,3.614,3.432,3.796,24.206,54
832000,3250,256,4096,0,sequential,1000,3.805802,3.77,0.8618463342730535,3.354,3.614,3.926,3.51,4.082,24.232,2
934144,3649,256,4096,0,sequential,1000,4.016506,3.978,1.1330902883555067,3.458,3.874,4.056,3.718,4.186,30.94,16
1048576,4096,256,4096,0,sequential,1000,4.270838,4.212,1.3170733464602324,3.406,4.056,4.342,3.822,4.603299999999999,37.596,15
1176832,4597,256,4096,0,sequential,1000,4.337346,4.342,0.9672107738052574,3.484,4.0495,4.524,3.874,4.706,28.366,2
1320960,5160,256,4096,0,sequential,1000,4.54649,4.524,1.2540156167556558,3.588,4.186,4.784,3.978,5.018,34.84,2
1482752,5792,256,4096,0,sequential,1000,4.780022,4.784,1.138967561707805,3.666,4.446,5.044,4.134,5.278,35.464,2
1664256,6501,256,4096,0,sequential,1000,4.981392,4.966,1.2022552174742034,3.874,4.732,5.148,4.446,5.382,34.996,7
1868288,7298,256,4096,0,sequential,1000,5.129098,5.122,0.8850046732462308,3.848,4.888,5.3105,4.524,5.59,30.134,14
2097152,8192,256,4096,0,sequential,1000,4.54129,4.524,0.9447382146363056,4.186,4.29,4.706,4.212,4.758,26.442,2
2353920,9195,256,4096,0,sequential,1000,4.6501,4.68,0.620007140970856,4.186,4.394,4.758,4.264,5.226,22.1,27
2642176,10321,256,4096,0,sequential,1000,4.77555,4.706,1.0701941192853535,4.264,4.42,4.81,4.368,5.408,34.398,54
2965760,11585,256,4096,0,sequential,1000,4.942678,4.758,1.665313062433581,4.29,4.472,5.278,4.368,5.642,46.904,2
3328768,13003,256,4096,0,sequential,1000,5.032924,4.784,1.5224764881208777,4.342,4.524,5.46,4.42,5.694,41.964,2
3736576,14596,256,4096,0,sequential,1000,5.112354,4.836,1.1822531917035763,4.368,4.628,5.538,4.446,5.798,31.746,2
4194304,16384,256,4096,0,sequential,1000,4.694586,4.732,1.1375255324347409,4.03,4.602,4.784,4.134,4.836,32.656,145
