stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,262144,2097152,4096,random,1000,26.704002,26.26,4.182249931614141,24.7,25.948,26.598,25.454,27.248,96.226,26
16,131072,2097152,4096,random,1000,27.960036,27.586,3.5180947851957627,26.026,27.196,27.976,26.728,28.548,67.34,14
24,87381,2097152,4096,random,1000,28.792452,28.444,3.4118765536451217,26.936,28.106,28.808,27.586,29.328,69.862,20
32,65536,2097152,4096,random,1000,31.066178,30.056,19.677301696685404,28.808,29.77,30.368,29.328,31.096,642.85,45
40,52428,2097152,4096,random,1000,41.311036,34.918,185.74006485706798,33.332,34.58,35.282,34.086,36.036,5907.408,37
48,43690,2097152,4096,random,1000,38.881466,32.63,183.77382067294457,30.94,32.318,32.994,31.85,33.67,5843.448,34
56,37449,2097152,4096,random,1000,38.946258,32.682,183.86346391029005,31.044,32.344,33.02,31.902,33.722,5846.282,35
64,32768,2097152,4096,random,1000,40.010672,33.748,184.9770049931522,32.344,33.384,34.0925,32.916,34.814,5882.63,32
72,29127,2097152,4096,random,1000,40.60342,34.19,189.1709638023169,32.604,33.878,34.554,33.408699999999996,35.23,6015.776,37
80,26214,2097152,4096,random,1000,41.221076,34.723,183.32044342295,32.916,34.294,35.178,33.748,41.0813,5831.54,95
88,23831,2097152,4096,random,1000,41.187302,34.918,184.84675979516538,33.176,34.58,35.308,33.982,36.01,5879.77,40
96,21845,2097152,4096,random,1000,41.64667,35.074,193.91030667278372,33.462,34.71,35.516,34.242,36.4013,6166.602,31
104,20164,2097152,4096,random,1000,43.26088,37.076,183.32139033936429,35.62,36.764,37.420500000000004,36.296,38.168,5833.854,41
112,18724,2097152,4096,random,1000,45.663774000000004,39.546,184.78391405214188,34.45,39.104,39.858,37.1501,40.378,5881.72,94
120,17476,2097152,4096,random,1000,45.489158,41.652,172.29220271960367,34.268,36.14,42.068,35.152,42.4333,5486.52,15
128,16384,2097152,4096,random,1000,47.275982,41.47,171.53616014539062,40.794,41.314,41.626,41.106,41.86,5465.356,20
136,15420,2097152,4096,random,1000,39.011544,32.578,176.9818858285319,30.472,32.058,33.28,31.304,38.272,5628.974,119
144,14563,2097152,4096,random,1000,33.897396,27.196,170.7173955289248,24.726,26.4875,28.47,25.714,36.01389999999999,5425.472,139
152,13797,2097152,4096,random,1000,31.939258,23.322,171.66187251977192,20.67,22.1715,28.912,21.32,41.548,5450.952,78
160,13107,2097152,4096,random,1000,25.644944,18.564,172.00606969411425,16.926,18.07,19.604,17.732,31.146699999999978,5457.296,125
168,12483,2097152,4096,random,1000,17.608734,17.238,2.142543024505192,16.458,17.03,17.602,16.796,18.956599999999998,54.444,104
176,11915,2097152,4096,random,1000,17.255004,17.004,2.191222716425005,16.354,16.822,17.212,16.614,18.096,50.336,87
184,11397,2097152,4096,random,1000,16.285438,16.068,1.9204003336798288,15.678,15.964,16.224,15.86,16.8493,45.838,81
192,10922,2097152,4096,random,1000,22.499958,16.25,180.14825472100821,15.756,16.146,16.38,15.964,17.16,5712.72,93
200,10485,2097152,4096,random,1000,15.94619,15.756,2.054523217087008,15.496,15.678,15.834,15.6,16.12,49.712,65
208,10082,2097152,4096,random,1000,15.876172,15.73,1.8669512123366387,15.47,15.652,15.782,15.574,15.964,43.914,47
216,9709,2097152,4096,random,1000,16.004586,15.808,2.340068285367798,15.548,15.756,15.886,15.678,16.094,58.734,53
224,9362,2097152,4096,random,1000,21.570692,15.678,175.8099577222503,15.392,15.6,15.73,15.496,16.042,5575.076,67
232,9039,2097152,4096,random,1000,15.785978,15.6,2.413816908463354,15.418,15.548,15.652,15.496,15.756,51.428,18
240,8738,2097152,4096,random,1000,15.699996,15.574,1.7176306398638213,15.366,15.522,15.626,15.444,15.704,46.488,26
248,8456,2097152,4096,random,1000,23.787036,15.6,244.86960913294985,15.366,15.522,15.678,15.444,15.782,7758.894,39
256,8192,2097152,4096,random,1000,45.527222,39.728,171.93630084943817,39.234,39.624,39.832,39.468,40.014,5476.328,29
264,7943,2097152,4096,random,1000,15.887066,15.73,1.8995916118829161,15.444,15.678,15.834,15.574,15.964,50.622,10
272,7710,2097152,4096,random,1000,15.726464,15.574,1.984659933529106,15.34,15.496,15.652,15.418,15.73,47.346,6
280,7489,2097152,4096,random,1000,23.6184,15.73,240.626888756183,15.522,15.704,15.808,15.6,15.886,7624.968,36
288,7281,2097152,4096,random,1000,15.877212,15.756,1.501116505078076,15.47,15.678,15.834,15.548,15.964,40.144,9
296,7084,2097152,4096,random,1000,15.762188,15.6,2.0708089932542166,15.418,15.548,15.652,15.496,15.73,56.16,16
304,6898,2097152,4096,random,1000,23.45837,15.548,242.72648717699596,15.34,15.496,15.626,15.418,15.704,7691.216,19
312,6721,2097152,4096,random,1000,15.78304,15.652,1.717783118219888,15.418,15.574,15.704,15.496,15.808,41.86,11
320,6553,2097152,4096,random,1000,15.852694,15.678,2.1203832850783466,15.522,15.652,15.73,15.6,15.782,48.932,13
328,6393,2097152,4096,random,1000,23.565542,15.574,245.51721554035456,15.392,15.522,15.652,15.47,15.73,7779.486,21
336,6241,2097152,4096,random,1000,15.690818,15.574,1.545819893136978,15.34,15.522,15.626,15.444,15.73,41.08,28
344,6096,2097152,4096,random,1000,15.907268,15.756,2.205581243300005,15.418,15.652,15.834,15.548,15.938,57.096,7
352,5957,2097152,4096,random,1000,23.319218,15.522,239.78316622247723,15.34,15.47,15.574,15.418,15.678,7598.084,33
360,5825,2097152,4096,random,1000,15.718638,15.548,2.2586903335736355,15.34,15.496,15.574,15.444,15.652,55.926,30
368,5698,2097152,4096,random,1000,15.755246,15.626,1.9568099050466012,15.444,15.574,15.652,15.522,15.704,53.768,10
376,5577,2097152,4096,random,1000,23.463674,15.6,242.4553479089529,15.418,15.548,15.678,15.496,15.782,7682.688,18
384,5461,2097152,4096,random,1000,16.49947,16.354,1.7026632624465958,16.042,16.276,16.406,16.198,16.588,44.746,49
392,5349,2097152,4096,random,1000,15.785744,15.652,1.788548934123345,15.418,15.574,15.73,15.496,15.808,43.082,6
400,5242,2097152,4096,random,1000,23.326394,15.626,237.4800713175608,15.392,15.574,15.704,15.496,15.808,7525.362,15
408,5140,2097152,4096,random,1000,15.8067,15.626,1.9574943673477574,15.47,15.574,15.756,15.522,15.86,50.986,6
416,5041,2097152,4096,random,1000,15.687698,15.548,1.7748266649130802,15.392,15.522,15.6,15.444,15.652,44.876,10
424,4946,2097152,4096,random,1000,23.524306,15.6,244.19597758379737,15.444,15.548,15.652,15.522,15.782,7737.652,28
432,4854,2097152,4096,random,1000,15.722408,15.548,2.1853880374913763,15.366,15.496,15.6,15.444,15.652,51.246,7
440,4766,2097152,4096,random,1000,15.616536,15.496,1.5689635302527791,15.262,15.444,15.574,15.34,15.6793,44.798,16
448,4681,2097152,4096,random,1000,23.470642,15.704,240.57911251217337,15.444,15.645499999999998,15.782,15.522,15.86,7623.46,14
456,4599,2097152,4096,random,1000,15.784054,15.678,1.4411500305292626,15.444,15.626,15.756,15.548,15.808,42.484,7
464,4519,2097152,4096,random,1000,15.744586,15.626,1.5132656268684166,15.47,15.6,15.678,15.548,15.756,46.592,16
