footprint_bytes,num_nodes,stride_bytes,align_bytes,offset_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4194304,131072,32,4096,0,random,1000,36.054382,35.464,7.8169159745662755,34.086,35.178,35.724,34.788,36.1673,251.862,24
4707936,147123,32,4096,0,random,1000,36.607142,36.192,3.6920043906063085,35.048,35.958,36.432500000000005,35.568,36.816,79.794,24
5284480,165140,32,4096,0,random,1000,37.435242,37.076,3.551497406343311,35.594,36.712,37.414,36.1907,37.804,81.016,22
5931616,185363,32,4096,0,random,1000,37.935352,37.518,3.3898494425769616,36.582,37.284,37.778,36.972,38.194,76.726,22
6658016,208063,32,4096,0,random,1000,37.049844,36.673,3.3797257109927643,35.646,36.452,36.9005,36.036,37.284,76.7,30
7473376,233543,32,4096,0,random,1000,38.242932,37.778,4.249815079693184,36.556,37.544,37.986,37.232,38.402,126.074,22
8388608,262144,32,4096,0,random,1000,37.802102,37.44,3.1049527347579833,36.426,37.206,37.7,36.868,38.064,71.032,23
9415872,294246,32,4096,0,random,1000,38.595674,38.246,2.9584177997033483,37.102,37.986,38.506,37.648,38.922,68.874,21
10568960,330280,32,4096,0,random,1000,38.457042,38.116,2.9387314373206506,37.102,37.882,38.35,37.57,38.8193,71.162,30
11863264,370727,32,4096,0,random,1000,39.33033,38.974,2.8880533296902837,37.986,38.688,39.26,38.376,39.832,71.292,25
13316064,416127,32,4096,0,random,1000,39.565552,39.078,3.7851505825037166,37.96,38.766,39.416,38.402,40.092,86.216,22
14946784,467087,32,4096,0,random,1000,41.263014,40.82,3.5328294773339852,38.298,40.144,41.574,39.26,42.744,75.816,18
16777216,524288,32,4096,0,random,1000,44.040776,43.498,5.174133634986315,39.988,42.536,44.414500000000004,41.4154,45.942,155.324,20
18831776,588493,32,4096,0,random,1000,54.345096,53.872,5.382891762845925,44.98,51.421499999999995,56.036500000000004,48.646,59.5179,119.392,24
21137952,660561,32,4096,0,random,1000,75.257988,73.463,9.596075423598514,56.68,67.366,82.472,63.2008,90.0146,114.894,13
23726560,741455,32,4096,0,random,1000,195.215228,194.19400000000002,10.931181894270244,160.94,187.694,200.668,179.96550000000002,216.9778,244.79,36
26632160,832255,32,4096,0,random,1000,229.811842,228.969,11.267559007034887,196.534,222.8265,235.079,213.4041,250.2877,283.166,41
29893600,934175,32,4096,0,random,1000,250.341728,249.327,11.998821833638978,221.416,243.0675,255.905,232.8534,272.0406,358.956,40
33554432,1048576,32,4096,0,random,1000,256.97633,255.866,12.402105603424706,226.798,248.833,263.3345,238.8594,282.0168,305.656,37
37663552,1176986,32,4096,0,random,1000,270.328838,269.23,11.671924481372164,242.242,262.652,276.3865,253.3947,293.02779999999996,311.74,36
42275904,1321122,32,4096,0,random,1000,290.420884,289.562,12.063581973384712,261.144,282.386,297.53099999999995,271.8703,311.3916,339.586,24
47453120,1482910,32,4096,0,random,1000,294.07573,293.02,12.996810352792197,263.302,285.7985,301.067,274.274,315.7232,403.884,21
53264320,1664510,32,4096,0,random,1000,306.876804,305.968,12.105772981394498,276.458,298.493,314.2165,288.444,328.77389999999997,351.832,23
59787200,1868350,32,4096,0,random,1000,310.249056,309.504,13.89058009286078,275.626,301.327,317.746,289.42940000000004,333.39799999999997,411.97,23
67108864,2097152,32,4096,0,random,1000,313.674088,312.182,12.763831451785377,285.168,304.772,321.828,295.2794,336.6246,369.98,17
75327136,2353973,32,4096,0,random,1000,319.038798,316.615,12.908614780787083,291.07,311.0315,325.65,301.83140000000003,343.0713,411.06,30
84551840,2642245,32,4096,0,random,1000,325.342446,323.063,13.700132042541307,297.05,315.4255,334.8605,306.52570000000003,349.7585,382.694,14
94906240,2965820,32,4096,0,random,1000,330.537038,328.783,14.300372868381116,301.184,320.892,338.962,310.8534,356.2052,441.168,19
106528672,3329021,32,4096,0,random,1000,335.220366,333.034,13.412220516873305,301.99,325.962,344.00600000000003,315.40340000000003,358.5426,387.738,17
119574400,3736700,32,4096,0,random,1000,337.859938,335.673,12.742919712018237,309.946,328.9715,347.386,319.1747,358.8832,403.546,7
134217728,4194304,32,4096,0,random,1000,336.881116,333.84,13.53555078752489,307.788,328.1395,344.331,319.3944,361.54429999999996,407.498,31
