stride_bytes,num_nodes,footprint_bytes,align_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
8,8388608,67108864,4096,sequential,1000,3.330132,3.276,1.0020930121405802,3.25,3.276,3.302,3.276,3.302,34.632,15
16,4194304,67108864,4096,sequential,1000,3.3384259999999997,3.276,1.2191513148303015,3.224,3.25,3.276,3.25,3.302,31.122,27
24,2796202,67108864,4096,sequential,1000,3.349294,3.302,0.9304625742963367,3.25,3.276,3.302,3.276,3.328,31.33,32
32,2097152,67108864,4096,sequential,1000,3.3562879999999997,3.276,0.8329064546623578,3.224,3.276,3.276,3.25,3.354,20.41,345
40,1677721,67108864,4096,sequential,1000,3.491072,3.38,1.287453211028108,3.25,3.302,3.458,3.276,3.666,41.912,42
48,1398101,67108864,4096,sequential,1000,3.688958,3.588,0.7820997777127279,3.25,3.484,3.744,3.354,4.03,23.556,33
56,1198372,67108864,4096,sequential,1000,4.128306,3.978,1.398690057246508,3.38,3.796,4.16,3.588,5.018,32.838,56
64,1048576,67108864,4096,sequential,1000,4.576312,4.368,1.40398116859799,3.432,4.134,4.628,3.848,6.164599999999997,37.934,80
72,932067,67108864,4096,sequential,1000,5.134844,4.862,1.3614648589758849,3.692,4.576,5.174,4.16,7.2292999999999985,26.338,111
80,838860,67108864,4096,sequential,1000,5.639764,5.356,1.6691874823264028,4.108,5.044,5.72,4.602,7.826,35.152,91
88,762600,67108864,4096,sequential,1000,6.446596,5.941,1.893664403651729,4.576,5.616,6.422,5.1987000000000005,9.258599999999998,29.484,138
96,699050,67108864,4096,sequential,1000,7.464964,6.396,3.004804520915281,4.732,6.032,7.4685,5.5627,12.767299999999999,51.09,142
104,645277,67108864,4096,sequential,1000,7.295444,6.89,1.9254296981158223,5.018,6.5,7.358,5.98,9.909899999999997,35.36,114
112,599186,67108864,4096,sequential,1000,8.15867,7.28,2.465478561991493,5.798,6.968,7.9885,6.474,13.364,31.902,150
120,559240,67108864,4096,sequential,1000,8.700796,7.826,2.7808952171185077,6.266,7.436,8.528,6.942,13.677299999999999,48.724,152
128,524288,67108864,4096,sequential,1000,23.28118,23.348,2.37105281996734,17.472,22.88,23.738,20.332,24.389300000000002,54.548,107
136,493447,67108864,4096,sequential,1000,23.493626,23.4,2.6065777993276833,18.72,22.613500000000002,24.18,20.514,25.116,51.948,57
144,466033,67108864,4096,sequential,1000,23.071646,23.088,2.5912289258245846,17.16,22.256,23.738,20.5907,24.544,58.11,34
152,441505,67108864,4096,sequential,1000,23.319114,23.166,2.753483740230131,18.46,22.49,23.79,21.294,24.622,55.536,26
160,419430,67108864,4096,sequential,1000,22.732476,22.62,3.0086386329780197,14.456,21.58,23.7705,18.9774,25.4553,58.656,43
168,399457,67108864,4096,sequential,1000,22.290086,22.204,2.8537552501277386,17.108,21.398,22.984,19.680699999999998,23.816,60.45,27
176,381300,67108864,4096,sequential,1000,21.519238,21.45,3.10008393689135,12.22,20.306,22.542,17.9634,24.0253,58.006,35
184,364722,67108864,4096,sequential,1000,19.938958,20.02,3.366503515541927,8.112,18.304,21.528,15.5428,23.296,61.672,21
192,349525,67108864,4096,sequential,1000,14.76215,14.534,3.021587993009553,8.112,12.74,16.588,10.6834,19.2153,46.098,4
200,335544,67108864,4096,sequential,1000,19.583772,19.422,4.148971387656414,10.504,16.666,22.386,13.5681,25.4033,50.024,6
208,322638,67108864,4096,sequential,1000,11.596078,11.232,3.0739604549822683,5.278,9.646,13.2665,7.384,16.697199999999995,43.342,4
216,310689,67108864,4096,sequential,1000,11.033464,10.673,3.344719929696971,5.07,8.677499999999998,12.896,6.578,16.796,37.908,6
224,299593,67108864,4096,sequential,1000,9.592154,9.178,2.810699861243458,5.07,7.696,10.848500000000001,6.214,14.383199999999995,37.648,29
232,289262,67108864,4096,sequential,1000,8.885006,8.632,2.117171463762671,5.538,7.67,9.724,6.6547,11.5193,35.594,18
240,279620,67108864,4096,sequential,1000,5.815472,5.408,1.3157442091987486,4.238,5.1415,5.98,5.07,7.775299999999999,32.292,94
248,270600,67108864,4096,sequential,1000,8.384844,7.943,3.0931544720967707,5.018,6.11,9.802,5.1467,12.974,43.186,9
256,262144,67108864,4096,sequential,1000,24.233274,24.232,2.4700410384557694,15.912,23.7055,24.8625,20.7194,26.0273,49.972,103
