machine,vendor,microarch,year,benchmark,ns_per_access_perf,cache_miss_rate_pct,l1_miss_rate_pct,llc_miss_rate_pct,dtlb_misses_per_1000_accesses
sunbird,Intel,Haswell,2014,L1_resident,10.1918,1.2415721098503536,0.6287054588457643,2.705268153773137,0.508
sunbird,Intel,Haswell,2014,LLC_random,542.136774,9.46256733222679,7.539909385998501,7.245745106644219,0.92
sunbird,Intel,Haswell,2014,beyond_LLC,38588.17994,54.933452924361546,12.941439000243344,49.484368556786144,210666.078
thunderbird,Ampere/ARM,Neoverse N1,2020,L1_resident,5.837841,0.19875752411208522,0.19110118978980462,,1.562
thunderbird,Ampere/ARM,Neoverse N1,2020,LLC_random,1296.894892,5.464772168083254,5.4645522131299495,,1638.878
thunderbird,Ampere/ARM,Neoverse N1,2020,beyond_LLC,25154.254693,5.331463575336056,5.335179672624349,,255722.151
skylark,AMD,Zen 2,2019,L1_resident,5.330111,19.469544112056614,0.44492247636525795,,0.691
skylark,AMD,Zen 2,2019,LLC_random,74.03911,46.72269761080338,6.126914147042503,,2.905
skylark,AMD,Zen 2,2019,beyond_LLC,29989.446283,49.08345443087878,5.521800626973333,,10.901
artemisia,Intel,Sapphire Rapids,2023,L1_resident,6.269853,14.037814037814037,0.6140495260489381,8.68798235942668,1.688
artemisia,Intel,Sapphire Rapids,2023,LLC_random,1183.75242,34.889977096002156,8.756153265597753,30.678805570056795,11084.289
artemisia,Intel,Sapphire Rapids,2023,beyond_LLC,35782.531052,80.26191759686571,11.209414233438874,76.71961463685426,251331.327
charnwood,Intel,Sky Lake,2015,L1_resident,4.26883,14.275369649598272,1.0791731859964797,14.004465191800284,2.025
charnwood,Intel,Sky Lake,2015,LLC_random,174.837915,19.789346464978877,8.830149345149373,15.924928900468352,1096.978
charnwood,Intel,Sky Lake,2015,beyond_LLC,28545.545674,55.293586460782095,13.418040120639937,47.52644954146729,253582.411
crux,Intel,Coffee Lake,2019,L1_resident,3.313396,8.18945971618274,1.0526621288399975,5.761346998535871,1.349
crux,Intel,Coffee Lake,2019,LLC_random,88.029793,5.885274149192798,8.80096141642083,3.5929715417250705,1080.275
crux,Intel,Coffee Lake,2019,beyond_LLC,19530.32053,54.376542295568996,13.415385646779034,46.75032976507586,254971.011
ookay,Intel,Kaby Lake,2017,L1_resident,3.707401,13.844024971215498,0.9584719530343363,11.04066161268091,1.838
ookay,Intel,Kaby Lake,2017,LLC_random,136.891399,18.035964761458843,8.789582169101369,16.331011653236168,1091.713
ookay,Intel,Kaby Lake,2017,beyond_LLC,19847.983465,55.407352657035204,13.359381286528224,47.79166602856225,252964.812
upgrade,Intel,Coffee Lake,2017,L1_resident,3.945979,10.483355886332882,0.9411042382755563,8.820960698689955,1.813
upgrade,Intel,Coffee Lake,2017,LLC_random,203.69571,21.650212006012513,9.521567444416847,18.747895202201466,3091.926
upgrade,Intel,Coffee Lake,2017,beyond_LLC,19788.378895,54.64339580677651,13.362682374892664,47.0491887497728,256121.641
