num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,random,1000,7.448688,7.228,3.0918309593729956,7.192,7.218,7.24,7.205900000000001,7.288,59.222,65
3,32768,random,1000,7.42568,7.404,0.4319234370295914,7.368,7.394,7.416,7.382,7.4460999999999995,19.304,48
4,32768,random,1000,7.46551,7.39,2.2551543319606666,7.196,7.232,7.408,7.21,7.438,53.28,4
5,32768,random,1000,7.424848,7.404,0.4013104271694855,7.37,7.394,7.416,7.38,7.446,17.894,43
6,32768,random,1000,7.47844,7.404,1.5136220909573943,7.368,7.394,7.416,7.3819,7.45,53.112,54
7,32768,random,1000,7.434722,7.416,0.402570532639623,7.372,7.402,7.43,7.384,7.454,18.032,28
8,32768,random,1000,7.441206,7.414,0.5745835638406618,7.37,7.404,7.428,7.386,7.46,23.706,42
9,32768,random,1000,18.061936,18.018,0.6259555769288171,17.95,17.998,18.04,17.978,18.064,29.974,5
10,32768,random,1000,21.484432,21.432,0.6823284792015716,21.382,21.408,21.458,21.39,21.474,32.02,6
11,32768,random,1000,21.397396,21.392,2.6653010322994994,20.872,20.926,21.438,20.884,21.47,72.632,9
12,32768,random,1000,21.63754,20.96,4.664481487147735,20.874,20.916,21.43,20.882,21.472,82.822,15
13,32768,random,1000,21.641326,20.954,4.776597029361479,20.874,20.914,21.4205,20.882,21.47,72.734,16
14,32768,random,1000,21.633176,21.43,3.0427443767701496,20.876,21.4,21.456,20.9339,21.474,73.618,97
15,32768,random,1000,21.483904,21.434,0.6764436109113181,21.384,21.406,21.458,21.39,21.478,34.12,6
16,32768,random,1000,21.384652,21.33,2.881838864707418,20.798,20.87,21.37,20.812,21.396,82.54,9
17,32768,random,1000,21.317038,20.924,4.039899782520454,20.872,20.898,20.954,20.88,21.3842,73.062,51
18,32768,random,1000,21.422726,20.924,4.720952664768731,20.874,20.898,20.948,20.88,20.988,82.322,25
19,32768,random,1000,21.31421,20.852,4.372096492489574,20.798,20.828,20.876,20.804,21.3541,73.148,70
20,32768,random,1000,21.949362,21.4,6.004098112381167,20.876,20.936,21.446,20.886,21.474,88.536,18
21,32768,random,1000,21.489232,21.434,0.729495138663263,21.382,21.408,21.458,21.39,21.4761,32.542,6
22,32768,random,1000,21.913348,21.368,5.104273452546834,21.306,21.342,21.392,21.314,21.528899999999997,93.442,53
23,32768,random,1000,21.930792,21.434,5.011295517078941,21.382,21.408,21.46,21.3899,21.4961,93.024,26
24,32768,random,1000,21.699178,21.436,3.574729919632295,21.382,21.408,21.46,21.39,21.478,86.306,15
25,32768,random,1000,21.485578,21.434,0.6936737743501776,21.382,21.408,21.46,21.39,21.474,33.232,6
26,32768,random,1000,21.470574,21.362,2.68161493678589,20.818,21.334,21.394,20.846,21.4141,73.978,199
27,32768,random,1000,21.967844,21.408,5.767896232302607,20.818,20.924,21.452,20.854,21.5901,84.57,20
28,32768,random,1000,21.626838,21.376,3.2706848287484083,21.324,21.35,21.404,21.332,21.424,81.05,16
29,32768,random,1000,21.64493,21.422,3.8571012858660363,20.874,21.39,21.452,20.898,21.472,96.62,213
30,32768,random,1000,21.561892,20.924,5.3290654474193575,20.874,20.898,20.95,20.88,20.988,73.114,31
31,32768,random,1000,23.815188,23.148,4.526150324659734,22.944,23.0535,23.71,22.992,23.79,75.504,16
32,32768,random,1000,23.267328,22.998,2.6619736339873925,22.88,22.966,23.044,22.918,23.57,74.06,168
33,32768,random,1000,23.60639,23.006999999999998,4.675986818697058,22.706,22.884,23.428,22.788,23.6843,83.876,14
34,32768,random,1000,23.61526,22.868,5.728385307102397,22.744,22.832,22.902,22.794,23.404,84.414,65
35,32768,random,1000,23.30324,22.814,4.4941878290345905,22.686,22.782,22.866,22.736,23.1802,84.504,157
36,32768,random,1000,23.406972,22.76,5.091220227275444,22.628,22.722,22.8,22.684,23.34,75.412,140
37,32768,random,1000,23.423786,22.706,5.7095849662379745,22.604,22.672,22.738,22.6399,22.8246,84.29,49
38,32768,random,1000,22.949756,22.666,2.6990622767245736,22.552,22.632,22.71,22.594,23.2541,74.434,175
39,32768,random,1000,23.43299,22.636,5.440082124878762,22.52,22.5975,23.108,22.554,23.216,74.896,20
40,32768,random,1000,23.006084,22.606,3.172215504683147,22.466,22.558,23.096,22.506,23.178,75.04,11
