num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,32768,sequential,1000,7.435412,7.404,0.6575764023906128,7.368,7.394,7.416,7.38,7.448,25.53,45
3,32768,sequential,1000,7.436694,7.404,0.548849770369301,7.368,7.394,7.416,7.382,7.448,20.484,49
4,32768,sequential,1000,7.502674,7.406,2.7552964981135,7.368,7.394,7.418,7.38,7.448,94.122,40
5,32768,sequential,1000,7.425112,7.404,0.4092638419752572,7.368,7.394,7.416,7.382,7.446,17.712,46
6,32768,sequential,1000,7.430204,7.404,0.4658768502765764,7.368,7.394,7.416,7.38,7.448,19.496,44
7,32768,sequential,1000,7.431782,7.404,0.5091291554929583,7.372,7.394,7.416,7.38,7.448,19.014,49
8,32768,sequential,1000,9.500782,9.466,0.5526666055162487,9.348,9.41,9.518,9.374,9.56,21.808,18
9,32768,sequential,1000,20.0294,19.958,0.769165599672606,19.794,19.932,19.99,19.9059,20.1381,35.26,96
10,32768,sequential,1000,20.361004,20.362,1.5590932504977848,19.41,20.3195,20.392,19.86,20.540699999999998,64.742,275
11,32768,sequential,1000,20.391154,20.018,3.3349056280248517,19.744,19.922,20.392,19.7879,20.532,71.602,10
12,32768,sequential,1000,20.777726,20.705,2.1076492692965703,20.092,20.676,20.734,20.1819,20.764,65.68,147
13,32768,sequential,1000,20.794436,20.748,0.7361318604842613,20.52,20.712,20.786,20.6039,20.824,35.238,55
14,32768,sequential,1000,21.00122,20.404,4.524146099489884,19.79,20.36,20.862,19.8699,20.912,72.688,15
15,32768,sequential,1000,20.81576,20.448999999999998,2.6791736535480237,20.17,20.39,20.89,20.346,20.934,72.092,8
16,32768,sequential,1000,21.367502,20.484,5.8486574793114965,20.068,20.446,20.932499999999997,20.41,21.0,82.2,20
17,32768,sequential,1000,20.94735,20.9,0.7363818518484357,20.688,20.872,20.924,20.7978,20.946,35.51,55
18,32768,sequential,1000,21.042908,20.977,2.687324961925332,20.154,20.534,21.016,20.464,21.04,72.612,9
19,32768,sequential,1000,21.173084,20.536,5.060368387495239,20.34,20.504,20.566,20.4219,21.052,81.822,206
20,32768,sequential,1000,21.075692,20.734,3.4265979943598506,20.234,20.548,21.05,20.51,21.094,72.658,11
21,32768,sequential,1000,21.528808,20.958,4.072006365291559,20.874,20.918,21.428,20.882,21.47,74.184,13
22,32768,sequential,1000,21.535976,20.926,5.2987136572800235,20.872,20.898,20.95,20.88,20.9722,82.432,33
23,32768,sequential,1000,21.533348,21.43,2.1293051550539532,20.874,21.4,21.458,20.934,21.474,66.406,92
24,32768,sequential,1000,21.46219,21.428,1.531840359432662,20.876,21.398,21.456,20.919900000000002,21.474,66.114,116
25,32768,sequential,1000,21.501104,21.33,3.876318762477143,20.816,20.868,21.378,20.826,21.414,72.232,13
26,32768,sequential,1000,21.47523,21.37,2.115507282464932,20.818,21.342,21.3985,20.882,21.42,66.008,91
27,32768,sequential,1000,21.507358,21.432,1.5854651619053681,20.876,21.404,21.458,21.384,21.4761,66.282,52
28,32768,sequential,1000,21.441952,20.961,3.4485272186360474,20.872,20.918,21.43,20.882,21.47,73.8,11
29,32768,sequential,1000,21.325412,20.878,3.4615690503796896,20.798,20.8395,21.34,20.81,21.396,73.436,11
30,32768,sequential,1000,21.361784,20.944,3.612161601143667,20.874,20.906,21.394,20.88,21.468,82.388,11
31,32768,sequential,1000,21.489908,21.386,3.756681926731971,20.872,20.924,21.436,20.8839,21.472,91.662,11
32,32768,sequential,1000,21.44488,20.94,4.063113035239992,20.872,20.906,21.392,20.882,21.466,73.462,13
33,32768,sequential,1000,21.16018,20.922,3.09448826289731,20.872,20.898,20.948,20.88,20.9801,72.626,21
34,32768,sequential,1000,22.0397,20.962,6.476203071880022,20.874,20.9235,21.434,20.884,21.472,86.678,22
35,32768,sequential,1000,21.762866,21.427,4.386913107488756,20.874,21.394,21.456,20.906,21.484,92.574,180
36,32768,sequential,1000,21.484792,21.432,0.6940001966923417,21.382,21.408,21.458,21.388,21.478,34.924,6
37,32768,sequential,1000,21.97286,21.329,6.230338861950828,20.874,20.922,21.388,20.882,21.446,85.386,21
38,32768,sequential,1000,21.693466,20.952,5.008726396496315,20.874,20.912,21.42,20.882,21.47,73.142,18
39,32768,sequential,1000,21.582964,20.96,4.307486717858632,20.872,20.916,21.4285,20.884,21.47,73.414,14
40,32768,sequential,1000,21.486584,21.434,0.7044655468159181,21.382,21.41,21.46,21.39,21.476,34.614,6
