num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,8388608,random,1000,7.445466,7.228,3.0270927692222247,7.194,7.216,7.238,7.204,7.284,59.09,68
3,8388608,random,1000,7.517108,7.228,3.724214706420068,7.194,7.216,7.242,7.204,7.388,69.032,87
4,8388608,random,1000,7.518002,7.246,3.482469423452456,7.22,7.238,7.256,7.228,7.4101,69.38,115
5,8388608,random,1000,15.458358,14.928,4.953792524542405,14.876,14.91,14.948,14.888,15.2621,77.26,57
6,8388608,random,1000,15.391226,14.926,4.510932728272835,14.878,14.91,14.946,14.886,14.966,66.624,27
7,8388608,random,1000,15.3679,15.285,2.227133530294437,14.88,15.262,15.306,14.9159,15.328,67.082,158
8,8388608,random,1000,15.380866,15.27,2.902511388850422,14.876,14.942,15.3,14.902,15.328,60.348,8
9,8388608,random,1000,21.398022,21.356,0.5873222547690041,21.308,21.33,21.382,21.3139,21.4,30.836,5
10,8388608,random,1000,21.4013,20.952,3.445002104716556,20.874,20.914,21.418,20.882,21.47,73.064,11
11,8388608,random,1000,21.371502,20.948,3.4151364002962796,20.872,20.91,21.412,20.882,21.468,73.408,10
12,8388608,random,1000,21.715734,20.942999999999998,5.4647350287253795,20.874,20.91,21.4,20.882,21.472,92.352,18
13,8388608,random,1000,21.490354,21.434,0.7586698007371525,21.382,21.408,21.46,21.39,21.476,36.886,7
14,8388608,random,1000,21.486532,21.434,0.7136405873153964,21.382,21.408,21.458,21.39,21.474,35.438,6
15,8388608,random,1000,21.531684,20.926,5.093346053250472,20.874,20.9015,20.952,20.88,21.426199999999998,73.85,70
16,8388608,random,1000,21.452686,20.884,4.053210514256184,20.802,20.84,21.352,20.808,21.394,73.218,13
17,8388608,random,1000,21.543482,20.924999999999997,5.406085890950711,20.872,20.898,20.95,20.88,20.990099999999998,83.11,34
18,8388608,random,1000,21.41362,20.926,4.605026494235686,20.872,20.898,20.95,20.88,20.98,73.696,27
19,8388608,random,1000,21.685956,21.39,4.713874943509538,20.874,20.928,21.438,20.884,21.472,82.592,15
20,8388608,random,1000,21.547482,20.957,4.234587327415684,20.874,20.92,21.428,20.882,21.4741,82.306,13
21,8388608,random,1000,21.486424,21.434,0.7017803672858823,21.384,21.406,21.458,21.39,21.4741,34.076,6
22,8388608,random,1000,21.364112,21.33,2.685847718211407,20.802,20.868,21.37,20.814,21.398,72.918,9
23,8388608,random,1000,21.46034,20.964,3.6078921727693483,20.874,20.918,21.43,20.884,21.47,83.69,11
24,8388608,random,1000,21.56221,20.896,5.129811173383926,20.82,20.856,21.358,20.826,21.412,89.554,14
25,8388608,random,1000,21.70249,20.924,6.105830277962472,20.872,20.898,20.95,20.88,20.9921,82.698,44
26,8388608,random,1000,21.295404,20.896,2.704574240542605,20.798,20.85,21.3665,20.808,21.41,73.29,9
27,8388608,random,1000,21.419816,21.37,0.6926138723127917,21.306,21.342,21.392,21.32,21.4141,35.652,6
28,8388608,random,1000,21.440634,21.36,2.671015253518506,20.818,20.945,21.394,20.836,21.416,72.472,9
29,8388608,random,1000,21.35428,20.898,3.47372399594441,20.816,20.854,21.362,20.826,21.412,73.156,11
30,8388608,random,1000,21.498036,20.95,4.077860689443241,20.872,20.912,21.4165,20.882,21.4701,73.496,13
31,8388608,random,1000,21.339516,20.868,3.9966057377688844,20.798,20.834,20.902,20.808,21.39,73.642,212
32,8388608,random,1000,21.386828,20.904,3.4481290144245063,20.818,20.862,21.374,20.826,21.414,72.672,11
33,8388608,random,1000,21.337718,20.891,3.459289052569216,20.816,20.858,21.356,20.826,21.41,73.548,11
34,8388608,random,1000,21.657834,20.942999999999998,5.257938367489706,20.874,20.908,21.392,20.88,21.472,82.146,17
35,8388608,random,1000,21.633108,21.33,4.8860570866691875,20.816,20.868,21.378,20.828,21.416,83.114,15
36,8388608,random,1000,21.587516,21.434,2.3196753435434547,21.382,21.408,21.4585,21.39,21.48,74.414,10
37,8388608,random,1000,21.469874,21.428,1.5640038798737874,20.878,21.398,21.456,20.92,21.476,65.646,126
38,8388608,random,1000,21.47812,20.87,4.998486450556448,20.8,20.84,20.898,20.822,21.3781,73.056,94
39,8388608,random,1000,21.493046,21.436,0.771979117361112,21.382,21.41,21.46,21.3899,21.48,35.68,8
40,8388608,random,1000,21.58639,21.43,2.6425451187452986,20.876,21.402,21.4565,20.936,21.478,72.886,85
