num_ways_probed,cache_bytes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2,8388608,sequential,1000,7.441892,7.232,2.8451911508756353,7.194,7.22,7.26,7.206,7.4161,68.444,195
3,8388608,sequential,1000,7.428064,7.404,0.4865070822146837,7.368,7.392,7.416,7.38,7.4460999999999995,20.336,39
4,8388608,sequential,1000,7.518018,7.376,2.8611255384940772,7.196,7.228,7.406,7.208,7.43,52.846,6
5,8388608,sequential,1000,15.406174,15.29,2.5672265178043245,15.24,15.2715,15.306,15.252,15.328,94.178,5
6,8388608,sequential,1000,15.346788,15.288,1.547775659631766,14.88,15.268,15.308,14.9319,15.33,59.704,82
7,8388608,sequential,1000,15.538696,14.928,5.390186402067467,14.876,14.9095,14.946,14.89,15.264,76.978,55
8,8388608,sequential,1000,15.25676,14.956,2.6538086763915163,14.876,14.9235,15.284,14.896,15.326,66.732,7
9,8388608,sequential,1000,21.512104,21.354,2.492726345553763,21.288,21.328,21.378,21.31,21.398,83.018,11
10,8388608,sequential,1000,21.47745,21.388,3.437823643659591,20.874,20.922,21.434,20.884,21.472,73.042,11
11,8388608,sequential,1000,21.361904,20.982,2.678418940869185,20.874,20.9215,21.432,20.882,21.47,72.58,9
12,8388608,sequential,1000,21.485966,21.434,0.7054830608832455,21.382,21.408,21.46,21.39,21.474,35.506,6
13,8388608,sequential,1000,21.651318,21.326,4.59647643554261,20.788,20.866,21.368,20.81,21.396,73.562,15
14,8388608,sequential,1000,21.455642,20.85,5.2686668589223125,20.78,20.824,20.874,20.804,20.8963,82.444,39
15,8388608,sequential,1000,21.550004,20.924,5.490690618442406,20.874,20.898,20.95,20.88,20.9881,92.684,29
16,8388608,sequential,1000,21.204326,20.85,3.963166659591254,20.796,20.824,20.874,20.806,20.892,82.394,17
17,8388608,sequential,1000,21.485136,21.312,3.967489308986342,20.798,20.85,21.36,20.808,21.392,72.808,13
18,8388608,sequential,1000,21.566704,21.428,2.659799242874619,20.876,21.398,21.456,20.916,21.474,73.242,124
19,8388608,sequential,1000,21.578116,21.414,3.4371622584531756,20.876,20.958,21.45,20.89,21.474,73.236,11
20,8388608,sequential,1000,21.138,20.86,2.6897668816977203,20.798,20.83,20.886,20.806,21.382,72.726,189
21,8388608,sequential,1000,21.735696,20.94,5.503391443916103,20.872,20.906,21.3945,20.88,21.476,73.384,19
22,8388608,sequential,1000,21.726788,20.936,5.63671869945208,20.874,20.906,20.962,20.88,21.466,83.166,218
23,8388608,sequential,1000,21.875466,20.884,6.257180869311297,20.802,20.844,21.354,20.816,21.4181,83.094,22
24,8388608,sequential,1000,21.527134,21.43,2.1279910582490675,20.874,21.398,21.456,20.926,21.474,66.684,103
25,8388608,sequential,1000,21.52864,21.422,2.7773711175722853,20.874,21.39,21.452,20.894,21.476,77.764,216
26,8388608,sequential,1000,21.764984,20.924,6.209820395880471,20.874,20.898,20.95,20.88,20.9881,82.09,40
27,8388608,sequential,1000,21.666094,21.389000000000003,4.568455586476639,20.876,20.924,21.436,20.882,21.472,72.988,15
28,8388608,sequential,1000,21.586404,20.926,5.52938785244866,20.874,20.9,20.952,20.88,20.978,82.846,41
29,8388608,sequential,1000,21.561272,20.944,4.590024408877374,20.874,20.91,21.4065,20.882,21.468,73.418,15
30,8388608,sequential,1000,21.404372,20.952,3.432419268628419,20.874,20.912,21.42,20.882,21.47,73.164,11
31,8388608,sequential,1000,21.563564,20.924,5.445578044077427,20.874,20.8975,20.95,20.88,20.99,86.038,33
32,8388608,sequential,1000,21.562242,20.898,4.8177633637680115,20.816,20.862,21.3645,20.828,21.414,82.136,14
33,8388608,sequential,1000,21.607602,21.408,3.8239507262454038,20.874,20.948,21.446,20.888,21.472,83.88,12
34,8388608,sequential,1000,23.263078,23.19,0.7472765111390162,23.07,23.156,23.23,23.116,23.408,36.542,97
35,8388608,sequential,1000,25.274322,24.84,4.69848695816132,24.112,24.57,24.898,24.29,25.122,78.17,26
36,8388608,sequential,1000,24.896232,24.817,0.7812698129946508,24.46,24.74,24.9225,24.6439,25.082,39.252,20
37,8388608,sequential,1000,24.671172,24.377000000000002,3.1901787139034457,23.832,24.11,24.7205,23.962,24.942,76.666,11
38,8388608,sequential,1000,24.699378,24.08,4.608961773083147,23.666,23.954,24.53,23.8299,24.7681,76.312,16
39,8388608,sequential,1000,24.701302,24.456,3.977789300165673,23.774,23.9615,24.524,23.852,24.61,76.09,14
40,8388608,sequential,1000,24.573242,24.404,2.6825607291357825,23.616,24.3255,24.4945,23.8417,24.6741,76.662,112
